keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,moveOnKeys.rt,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,0,5.8913,-0.490885417,0.09375,1,0,0,0.9483,,4.7913,,0,0,0,7,1,1.1,images/target_plus.jpg,,001,2022-02-10_10h34.22.684,choiceRTT,2021.2.3,Win32,59.52026665,,,,,,,,,,,,,
v,1,3.5638,,,,,,,,2.0638,,0,1,1,2,1,1.5,images/target_square.jpg,,001,2022-02-10_10h34.22.684,choiceRTT,2021.2.3,Win32,59.52026665,,,,,,,,,,,,,
v,1,3.0385,,,,,,,,1.7385,,0,2,2,8,1,1.3,images/target_square.jpg,,001,2022-02-10_10h34.22.684,choiceRTT,2021.2.3,Win32,59.52026665,,,,,,,,,,,,,
c,1,2.5796,,,,,,,,1.4796,v,0,3,3,0,1,1.1,images/target_cross.jpg,,001,2022-02-10_10h34.22.684,choiceRTT,2021.2.3,Win32,59.52026665,6.5908,,,,,,,,,,,,
v,1,2.8414,,,,,,,,1.7414,v,0,4,4,5,1,1.1,images/target_square.jpg,,001,2022-02-10_10h34.22.684,choiceRTT,2021.2.3,Win32,59.52026665,6.9249,,,,,,,,,,,,
b,1,1.6009,,,,,,,,0.3009,b,0,5,5,1,1,1.3,images/target_plus.jpg,,001,2022-02-10_10h34.22.684,choiceRTT,2021.2.3,Win32,59.52026665,0.8826,,,,,,,,,,,,
b,0,0.2322,,,,,,,,-1.0678,b,0,6,6,3,1,1.3,images/target_cross.jpg,,001,2022-02-10_10h34.22.684,choiceRTT,2021.2.3,Win32,59.52026665,0.2059,,,,,,,,,,,,
b,1,0.1487,,,,,,,,-1.3513,b,0,7,7,4,1,1.5,images/target_plus.jpg,,001,2022-02-10_10h34.22.684,choiceRTT,2021.2.3,Win32,59.52026665,0.1667,,,,,,,,,,,,
b,0,0.1921,,,,,,,,-1.3079,b,0,8,8,6,1,1.5,images/target_cross.jpg,,001,2022-02-10_10h34.22.684,choiceRTT,2021.2.3,Win32,59.52026665,0.1675,,,,,,,,,,,,
v,0,2.1546,,,,,,,,1.0546,,,,,,,1.1,images/target_cross.jpg,,001,2022-02-10_10h34.22.684,choiceRTT,2021.2.3,Win32,59.52026665,,space,6.711,0.096354167,-0.233072917,0,0,0,0,0,0,0,1
v,0,0.8752,,,,,,,,-0.6248,,,,,,,1.5,images/target_plus.jpg,,001,2022-02-10_10h34.22.684,choiceRTT,2021.2.3,Win32,59.52026665,,,,,,,,,0,1,1,4,1
c,0,0.7759,,,,,,,,-0.5241,,,,,,,1.3,images/target_plus.jpg,,001,2022-02-10_10h34.22.684,choiceRTT,2021.2.3,Win32,59.52026665,,,,,,,,,0,2,2,1,1
b,0,0.7896,,,,,,,,-0.7104,,,,,,,1.5,images/target_cross.jpg,,001,2022-02-10_10h34.22.684,choiceRTT,2021.2.3,Win32,59.52026665,,,,,,,,,0,3,3,6,1
c,0,0.7262,,,,,,,,-0.3738,,,,,,,1.1,images/target_square.jpg,,001,2022-02-10_10h34.22.684,choiceRTT,2021.2.3,Win32,59.52026665,,,,,,,,,0,4,4,5,1
v,0,0.9618,,,,,,,,-0.1382,,,,,,,1.1,images/target_plus.jpg,,001,2022-02-10_10h34.22.684,choiceRTT,2021.2.3,Win32,59.52026665,,,,,,,,,0,5,5,7,1
b,0,0.8116,,,,,,,,-0.6884,,,,,,,1.5,images/target_square.jpg,,001,2022-02-10_10h34.22.684,choiceRTT,2021.2.3,Win32,59.52026665,,,,,,,,,0,6,6,2,1
c,0,0.9474,,,,,,,,-0.3526,,,,,,,1.3,images/target_square.jpg,,001,2022-02-10_10h34.22.684,choiceRTT,2021.2.3,Win32,59.52026665,,,,,,,,,0,7,7,8,1
c,1,1.9407,,,,,,,,0.6407,,,,,,,1.3,images/target_cross.jpg,,001,2022-02-10_10h34.22.684,choiceRTT,2021.2.3,Win32,59.52026665,,,,,,,,,0,8,8,3,1
b,0,1.5173,,,,,,,,0.4173,,,,,,,1.1,images/target_square.jpg,,001,2022-02-10_10h34.22.684,choiceRTT,2021.2.3,Win32,59.52026665,,,,,,,,,1,0,9,5,1
c,0,0.2708,,,,,,,,-1.2292,,,,,,,1.5,images/target_plus.jpg,,001,2022-02-10_10h34.22.684,choiceRTT,2021.2.3,Win32,59.52026665,,,,,,,,,1,1,10,4,1
v,0,0.063,,,,,,,,-1.437,,,,,,,1.5,images/target_cross.jpg,,001,2022-02-10_10h34.22.684,choiceRTT,2021.2.3,Win32,59.52026665,,,,,,,,,1,2,11,6,1
b,1,0.1402,,,,,,,,-1.1598,,,,,,,1.3,images/target_plus.jpg,,001,2022-02-10_10h34.22.684,choiceRTT,2021.2.3,Win32,59.52026665,,,,,,,,,1,3,12,1,1
c,0,0.1746,,,,,,,,-1.3254,,,,,,,1.5,images/target_square.jpg,,001,2022-02-10_10h34.22.684,choiceRTT,2021.2.3,Win32,59.52026665,,,,,,,,,1,4,13,2,1
v,0,0.0829,,,,,,,,-1.0171,,,,,,,1.1,images/target_cross.jpg,,001,2022-02-10_10h34.22.684,choiceRTT,2021.2.3,Win32,59.52026665,,,,,,,,,1,5,14,0,1
b,0,0.0978,,,,,,,,-1.2022,,,,,,,1.3,images/target_cross.jpg,,001,2022-02-10_10h34.22.684,choiceRTT,2021.2.3,Win32,59.52026665,,,,,,,,,1,6,15,3,1
v,1,0.2043,,,,,,,,-1.0957,,,,,,,1.3,images/target_square.jpg,,001,2022-02-10_10h34.22.684,choiceRTT,2021.2.3,Win32,59.52026665,,,,,,,,,1,7,16,8,1
