keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran,correctMouseResp
c,0,3.1306,,,,,,,,1.8306,space,3.4011,0,0,0,8,1,1.3,images/target_square.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,
b,1,2.5356,,,,,,,,1.0356,space,0.9298,0,1,1,4,1,1.5,images/target_plus.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,
c,1,1.6427,,,,,,,,0.5427,space,3.6356,0,2,2,0,1,1.1,images/target_cross.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,
v,0,0.7179,,,,,,,,-0.5821,space,0.5679,0,3,3,3,1,1.3,images/target_cross.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,
v,0,0.6722,,,,,,,,-0.8278,space,0.359,0,4,4,6,1,1.5,images/target_cross.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,
b,1,0.9896,,,,,,,,-0.1104,space,0.6049,0,5,5,7,1,1.1,images/target_plus.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,
b,0,0.4452,,,,,,,,-1.0548,space,0.3156,0,6,6,2,1,1.5,images/target_square.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,
b,1,0.3867,,,,,,,,-0.9133,space,0.2963,0,7,7,1,1,1.3,images/target_plus.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,
b,0,0.387,,,,,,,,-0.713,space,0.3029,0,8,8,5,1,1.1,images/target_square.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,
v,0,1.3905,,,,,,,,0.0905,,,,,,,,1.3,images/target_cross.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,-0.011788194,-0.227708333,1,0,0,0,0,0,3,1,
,0,,-0.011788194,-0.227708333,1,0,0,7.0185,square_button,5.7185,,,,,,,,1.3,images/target_square.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,0,1,1,8,1,1
b,0,3.1213,,,,,,,,2.0213,,,,,,,,1.1,images/target_square.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,0,2,2,5,1,
c,0,1.8589,,,,,,,,0.7589,,,,,,,,1.1,images/target_plus.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,0,3,3,7,1,
b,0,1.8056,,,,,,,,0.3056,,,,,,,,1.5,images/target_cross.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,0,4,4,6,1,
v,0,1.7233,,,,,,,,0.4233,,,,,,,,1.3,images/target_plus.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,0,5,5,1,1,
b,0,1.4752,,,,,,,,0.3752,,,,,,,,1.1,images/target_cross.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,0,6,6,0,1,
v,1,1.8725,,,,,,,,0.3725,,,,,,,,1.5,images/target_square.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,0,7,7,2,1,
b,1,1.823,,,,,,,,0.323,,,,,,,,1.5,images/target_plus.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,0,8,8,4,1,
c,0,1.5807,,,,,,,,0.2807,,,,,,,,1.3,images/target_square.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,1,0,9,8,1,
b,1,1.7587,,,,,,,,0.2587,,,,,,,,1.5,images/target_plus.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,1,1,10,4,1,
b,0,1.6295,,,,,,,,0.3295,,,,,,,,1.3,images/target_cross.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,1,2,11,3,1,
b,1,1.5594,,,,,,,,0.2594,,,,,,,,1.3,images/target_plus.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,1,3,12,1,1,
v,0,0.998,,,,,,,,-0.102,,,,,,,,1.1,images/target_cross.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,1,4,13,0,1,
v,0,3.207,,,,,,,,2.107,,,,,,,,1.1,images/target_plus.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,1,5,14,7,1,
b,0,1.8129,,,,,,,,0.3129,,,,,,,,1.5,images/target_cross.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,1,6,15,6,1,
v,1,1.8752,,,,,,,,0.3752,,,,,,,,1.5,images/target_square.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,1,7,16,2,1,
b,0,1.4739,,,,,,,,0.3739,,,,,,,,1.1,images/target_square.jpg,,001,2022-02-11_15h45.19.543,choiceRTT,2021.2.3,MacIntel,59.99880002,,,,,,,1,8,17,5,1,
