keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.rt,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,-0.221354167,-0.272135417,1,0,0,3.3304,cross_button,1,1.8304,,0,0,0,6,1,1.5,images/target_cross.jpg,,001,2022-02-17_06h11.06.841,choiceRTT,2021.2.3,Win32,72.41129616,,,,,,,,,,,,,
,0,-0.239583333,-0.264322917,1,0,0,2.3737,cross_button,1,1.2737,,0,1,1,0,1,1.1,images/target_cross.jpg,,001,2022-02-17_06h11.06.841,choiceRTT,2021.2.3,Win32,72.41129616,,,,,,,,,,,,,
,0,0.216145833,-0.264322917,1,0,0,3.3052,plus_button,1,1.8052,,0,2,2,4,1,1.5,images/target_plus.jpg,,001,2022-02-17_06h11.06.841,choiceRTT,2021.2.3,Win32,72.41129616,,,,,,,,,,,,,
b,1,,,,,,,,,1.8579,,0,3,3,7,1,1.1,images/target_plus.jpg,,001,2022-02-17_06h11.06.841,choiceRTT,2021.2.3,Win32,72.41129616,2.9579,,,,,,,,,,,,
,0,0.036458333,-0.244791667,1,0,0,5.9082,square_button,1,4.6082,,0,4,4,8,1,1.3,images/target_square.jpg,,001,2022-02-17_06h11.06.841,choiceRTT,2021.2.3,Win32,72.41129616,,,,,,,,,,,,,
,0,0.013020833,-0.26953125,1,0,0,2.4219,square_button,1,1.3219,,0,5,5,5,1,1.1,images/target_square.jpg,,001,2022-02-17_06h11.06.841,choiceRTT,2021.2.3,Win32,72.41129616,,,,,,,,,,,,,
,0,-0.2109375,-0.25390625,1,0,0,2.7174,cross_button,1,1.4174,,0,6,6,3,1,1.3,images/target_cross.jpg,,001,2022-02-17_06h11.06.841,choiceRTT,2021.2.3,Win32,72.41129616,,,,,,,,,,,,,
,0,0.055989583,-0.147135417,1,0,0,0.5471,square_button,0,-0.7529,,0,7,7,1,1,1.3,images/target_plus.jpg,,001,2022-02-17_06h11.06.841,choiceRTT,2021.2.3,Win32,72.41129616,,,,,,,,,,,,,
,0,-0.049479167,-0.25,1,0,0,4.1106,square_button,1,2.6106,,0,8,8,2,1,1.5,images/target_square.jpg,,001,2022-02-17_06h11.06.841,choiceRTT,2021.2.3,Win32,72.41129616,,,,,,,,,,,,,
v,1,,,,,,,,,2.4381,,,,,,,1.5,images/target_square.jpg,,001,2022-02-17_06h11.06.841,choiceRTT,2021.2.3,Win32,72.41129616,3.9381,space,4.8167,-0.048177083,-0.158854167,0,0,0,0,0,0,2,1
v,1,,,,,,,,,2.016,,,,,,,1.3,images/target_square.jpg,,001,2022-02-17_06h11.06.841,choiceRTT,2021.2.3,Win32,72.41129616,3.316,,,,,,,,0,1,1,8,1
v,0,,,,,,,,,2.7679,,,,,,,1.1,images/target_plus.jpg,,001,2022-02-17_06h11.06.841,choiceRTT,2021.2.3,Win32,72.41129616,3.8679,,,,,,,,0,2,2,7,1
c,1,,,,,,,,,2.1094,,,,,,,1.5,images/target_cross.jpg,,001,2022-02-17_06h11.06.841,choiceRTT,2021.2.3,Win32,72.41129616,3.6094,,,,,,,,0,3,3,6,1
c,0,,,,,,,,,3.3624,,,,,,,1.3,images/target_plus.jpg,,001,2022-02-17_06h11.06.841,choiceRTT,2021.2.3,Win32,72.41129616,4.6624,,,,,,,,0,4,4,1,1
b,1,,,,,,,,,2.1866,,,,,,,1.5,images/target_plus.jpg,,001,2022-02-17_06h11.06.841,choiceRTT,2021.2.3,Win32,72.41129616,3.6866,,,,,,,,0,5,5,4,1
c,1,,,,,,,,,1.6758,,,,,,,1.3,images/target_cross.jpg,,001,2022-02-17_06h11.06.841,choiceRTT,2021.2.3,Win32,72.41129616,2.9758,,,,,,,,0,6,6,3,1
c,0,,,,,,,,,2.6362,,,,,,,1.1,images/target_square.jpg,,001,2022-02-17_06h11.06.841,choiceRTT,2021.2.3,Win32,72.41129616,3.7362,,,,,,,,0,7,7,5,1
c,1,,,,,,,,,1.3976,,,,,,,1.1,images/target_cross.jpg,,001,2022-02-17_06h11.06.841,choiceRTT,2021.2.3,Win32,72.41129616,2.4976,,,,,,,,0,8,8,0,1
v,1,,,,,,,,,1.9158,,,,,,,1.3,images/target_square.jpg,,001,2022-02-17_06h11.06.841,choiceRTT,2021.2.3,Win32,72.41129616,3.2158,,,,,,,,1,0,9,8,1
v,0,,,,,,,,,2.4951,,,,,,,1.1,images/target_cross.jpg,,001,2022-02-17_06h11.06.841,choiceRTT,2021.2.3,Win32,72.41129616,3.5951,,,,,,,,1,1,10,0,1
v,1,,,,,,,,,2.2462,,,,,,,1.5,images/target_square.jpg,,001,2022-02-17_06h11.06.841,choiceRTT,2021.2.3,Win32,72.41129616,3.7462,,,,,,,,1,2,11,2,1
v,1,,,,,,,,,1.4121,,,,,,,1.1,images/target_square.jpg,,001,2022-02-17_06h11.06.841,choiceRTT,2021.2.3,Win32,72.41129616,2.5121,,,,,,,,1,3,12,5,1
