keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,-0.050925926,-0.241666667,1,0,0,1.8315,square_button,1,0.5315,,0,0,0,8,1,1.3,images/target_square.jpg,,001,2022-02-28_15h39.47.062,choiceRTT,2021.2.3,Win32,59.81934558,,,,,,,,,,,,
,0,-0.25,-0.244444444,1,0,0,2.3119,cross_button,0,0.8119,,0,1,1,4,1,1.5,images/target_plus.jpg,,001,2022-02-28_15h39.47.062,choiceRTT,2021.2.3,Win32,59.81934558,,,,,,,,,,,,
c,1,,,,,,,,,0.9439,,0,2,2,3,1,1.3,images/target_cross.jpg,,001,2022-02-28_15h39.47.062,choiceRTT,2021.2.3,Win32,59.81934558,2.2439,,,,,,,,,,,
,0,0.007407407,-0.261111111,1,0,0,1.6012,square_button,1,0.5012,,0,3,3,5,1,1.1,images/target_square.jpg,,001,2022-02-28_15h39.47.062,choiceRTT,2021.2.3,Win32,59.81934558,,,,,,,,,,,,
,0,0,-0.25462963,1,0,0,2.1616,square_button,1,0.6616,,0,4,4,2,1,1.5,images/target_square.jpg,,001,2022-02-28_15h39.47.062,choiceRTT,2021.2.3,Win32,59.81934558,,,,,,,,,,,,
,0,-0.260185185,-0.24537037,1,0,0,2.1282,cross_button,0,1.0282,,0,5,5,7,1,1.1,images/target_plus.jpg,,001,2022-02-28_15h39.47.062,choiceRTT,2021.2.3,Win32,59.81934558,,,,,,,,,,,,
,0,-0.182407407,-0.256481481,1,0,0,2.6015,cross_button,1,1.1015,,0,6,6,6,1,1.5,images/target_cross.jpg,,001,2022-02-28_15h39.47.062,choiceRTT,2021.2.3,Win32,59.81934558,,,,,,,,,,,,
,0,-0.252777778,-0.278703704,1,0,0,2.2957,cross_button,1,1.1957,,0,7,7,0,1,1.1,images/target_cross.jpg,,001,2022-02-28_15h39.47.062,choiceRTT,2021.2.3,Win32,59.81934558,,,,,,,,,,,,
,0,0.223148148,-0.227777778,1,0,0,2.1291,plus_button,1,0.8291,,0,8,8,1,1,1.3,images/target_plus.jpg,,001,2022-02-28_15h39.47.062,choiceRTT,2021.2.3,Win32,59.81934558,,,,,,,,,,,,
,0,0.22037037,-0.239814815,1,0,0,2.8114,plus_button,1,1.3114,,,,,,,1.5,images/target_plus.jpg,,001,2022-02-28_15h39.47.062,choiceRTT,2021.2.3,Win32,59.81934558,,,0.022222222,-0.248148148,1,0,0,0,0,0,4,1
