keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.rt,moveOnKeys.rt,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,-0.021296296,-0.223148148,1,0,0,2.3993,square_button,1,1.2993,,0,0,0,5,1,1.1,images/target_square.jpg,,001,2022-03-24_24h11.34.610,choiceRTT,2021.2.3,Win32,59.9880024,,,,,,,,,,,,,,
b,1,,,,,,,,,0.9605,space,0,1,1,1,1,1.3,images/target_plus.jpg,,001,2022-03-24_24h11.34.610,choiceRTT,2021.2.3,Win32,59.9880024,2.2605,3.7022,,,,,,,,,,,,
c,1,,,,,,,,,2.2098,space,0,2,2,0,1,1.1,images/target_cross.jpg,,001,2022-03-24_24h11.34.610,choiceRTT,2021.2.3,Win32,59.9880024,3.3098,2.1711,,,,,,,,,,,,
c,1,,,,,,,,,0.89,space,0,3,3,3,1,1.3,images/target_cross.jpg,,001,2022-03-24_24h11.34.610,choiceRTT,2021.2.3,Win32,59.9880024,2.19,1.9523,,,,,,,,,,,,
b,1,,,,,,,,,1.9906,space,0,4,4,4,1,1.5,images/target_plus.jpg,,001,2022-03-24_24h11.34.610,choiceRTT,2021.2.3,Win32,59.9880024,3.4906,0.8716,,,,,,,,,,,,
v,1,,,,,,,,,1.4722,space,0,5,5,2,1,1.5,images/target_square.jpg,,001,2022-03-24_24h11.34.610,choiceRTT,2021.2.3,Win32,59.9880024,2.9722,1.0216,,,,,,,,,,,,
b,1,,,,,,,,,0.4214,space,0,6,6,7,1,1.1,images/target_plus.jpg,,001,2022-03-24_24h11.34.610,choiceRTT,2021.2.3,Win32,59.9880024,1.5214,3.6895,,,,,,,,,,,,
b,0,,,,,,,,,0.6059,space,0,7,7,6,1,1.5,images/target_cross.jpg,,001,2022-03-24_24h11.34.610,choiceRTT,2021.2.3,Win32,59.9880024,2.1059,1.054,,,,,,,,,,,,
b,0,,,,,,,,,-0.44,space,0,8,8,8,1,1.3,images/target_square.jpg,,001,2022-03-24_24h11.34.610,choiceRTT,2021.2.3,Win32,59.9880024,0.86,0.6207,,,,,,,,,,,,
b,0,,,,,,,,,0.741,,,,,,,1.3,images/target_cross.jpg,,001,2022-03-24_24h11.34.610,choiceRTT,2021.2.3,Win32,59.9880024,2.041,,space,1.9592,-0.039814815,-0.182407407,0,0,0,0,0,0,3,1
b,0,,,,,,,,,-0.4891,,,,,,,1.3,images/target_square.jpg,,001,2022-03-24_24h11.34.610,choiceRTT,2021.2.3,Win32,59.9880024,0.8109,,,,,,,,,0,1,1,8,1
c,1,,,,,,,,,-0.4569,,,,,,,1.1,images/target_cross.jpg,,001,2022-03-24_24h11.34.610,choiceRTT,2021.2.3,Win32,59.9880024,0.6431,,,,,,,,,0,2,2,0,1
v,1,,,,,,,,,-0.5225,,,,,,,1.1,images/target_square.jpg,,001,2022-03-24_24h11.34.610,choiceRTT,2021.2.3,Win32,59.9880024,0.5775,,,,,,,,,0,3,3,5,1
c,0,,,,,,,,,-0.8584,,,,,,,1.1,images/target_plus.jpg,,001,2022-03-24_24h11.34.610,choiceRTT,2021.2.3,Win32,59.9880024,0.2416,,,,,,,,,0,4,4,7,1
v,0,,,,,,,,,-1.3425,,,,,,,1.5,images/target_cross.jpg,,001,2022-03-24_24h11.34.610,choiceRTT,2021.2.3,Win32,59.9880024,0.1575,,,,,,,,,0,5,5,6,1
c,0,,,,,,,,,-1.0208,,,,,,,1.3,images/target_plus.jpg,,001,2022-03-24_24h11.34.610,choiceRTT,2021.2.3,Win32,59.9880024,0.2792,,,,,,,,,0,6,6,1,1
v,1,,,,,,,,,-0.6022,,,,,,,1.5,images/target_square.jpg,,001,2022-03-24_24h11.34.610,choiceRTT,2021.2.3,Win32,59.9880024,0.8978,,,,,,,,,0,7,7,2,1
c,0,,,,,,,,,-1.1078,,,,,,,1.5,images/target_plus.jpg,,001,2022-03-24_24h11.34.610,choiceRTT,2021.2.3,Win32,59.9880024,0.3922,,,,,,,,,0,8,8,4,1
v,1,,,,,,,,,-0.6912,,,,,,,1.1,images/target_square.jpg,,001,2022-03-24_24h11.34.610,choiceRTT,2021.2.3,Win32,59.9880024,0.4088,,,,,,,,,1,0,9,5,1
c,0,,,,,,,,,-1.2414,,,,,,,1.5,images/target_plus.jpg,,001,2022-03-24_24h11.34.610,choiceRTT,2021.2.3,Win32,59.9880024,0.2586,,,,,,,,,1,1,10,4,1
v,1,,,,,,,,,-1.2742,,,,,,,1.5,images/target_square.jpg,,001,2022-03-24_24h11.34.610,choiceRTT,2021.2.3,Win32,59.9880024,0.2258,,,,,,,,,1,2,11,2,1
b,0,,,,,,,,,-0.8692,,,,,,,1.1,images/target_cross.jpg,,001,2022-03-24_24h11.34.610,choiceRTT,2021.2.3,Win32,59.9880024,0.2308,,,,,,,,,1,3,12,0,1
c,1,,,,,,,,,-1.0582,,,,,,,1.3,images/target_cross.jpg,,001,2022-03-24_24h11.34.610,choiceRTT,2021.2.3,Win32,59.9880024,0.2418,,,,,,,,,1,4,13,3,1
