keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,0.00427945,-0.238723095,1,0,0,2.8079,square_button,1,1.5079,,0,0,0,8,1,1.3,images/target_square.jpg,,001,2022-04-06_22h47.08.092,choiceRTT,2021.2.3,Linux aarch64,59.81934558,,,,,,,,,,,
,0,0.044066645,-0.264631043,1,0,0,1.8516,square_button,1,0.7516,,0,1,1,5,1,1.1,images/target_square.jpg,,001,2022-04-06_22h47.08.092,choiceRTT,2021.2.3,Linux aarch64,59.81934558,,,,,,,,,,,
,0,0.028336814,-0.271108069,1,0,0,2.2313,square_button,1,0.7313,,0,2,2,2,1,1.5,images/target_square.jpg,,001,2022-04-06_22h47.08.092,choiceRTT,2021.2.3,Linux aarch64,59.81934558,,,,,,,,,,,
,0,-0.234443665,-0.267406978,1,0,0,1.9598,cross_button,1,0.8598,,0,3,3,0,1,1.1,images/target_cross.jpg,,001,2022-04-06_22h47.08.092,choiceRTT,2021.2.3,Linux aarch64,59.81934558,,,,,,,,,,,
,0,-0.193731196,-0.26833229,1,0,0,2.9197,cross_button,1,1.4197,,0,4,4,6,1,1.5,images/target_cross.jpg,,001,2022-04-06_22h47.08.092,choiceRTT,2021.2.3,Linux aarch64,59.81934558,,,,,,,,,,,
,0,0.262433545,-0.247976056,1,0,0,2.5817,plus_button,1,1.0817,,0,5,5,4,1,1.5,images/target_plus.jpg,,001,2022-04-06_22h47.08.092,choiceRTT,2021.2.3,Linux aarch64,59.81934558,,,,,,,,,,,
,0,-0.220564418,-0.270182758,1,0,0,2.4812,cross_button,1,1.1812,,0,6,6,3,1,1.3,images/target_cross.jpg,,001,2022-04-06_22h47.08.092,choiceRTT,2021.2.3,Linux aarch64,59.81934558,,,,,,,,,,,
,0,0.273536896,-0.250751835,1,0,0,2.5524,plus_button,1,1.4524,,0,7,7,7,1,1.1,images/target_plus.jpg,,001,2022-04-06_22h47.08.092,choiceRTT,2021.2.3,Linux aarch64,59.81934558,,,,,,,,,,,
,0,0.256881908,-0.281286186,1,0,0,2.2709,plus_button,1,0.9709,,0,8,8,1,1,1.3,images/target_plus.jpg,,001,2022-04-06_22h47.08.092,choiceRTT,2021.2.3,Linux aarch64,59.81934558,,,,,,,,,,,
,0,0.019083969,-0.260004641,1,0,0,2.0623,square_button,1,0.9623,,,,,,,1.1,images/target_square.jpg,,001,2022-04-06_22h47.08.092,choiceRTT,2021.2.3,Linux aarch64,59.81934558,,0.328128727,-0.096229611,1,0,0,0,0,0,5,1
,0,0.266134636,-0.210964756,1,0,0,2.4804,plus_button,1,1.3804,,,,,,,1.1,images/target_plus.jpg,,001,2022-04-06_22h47.08.092,choiceRTT,2021.2.3,Linux aarch64,59.81934558,,,,,,,0,1,1,7,1
,0,0.303146013,-0.239648406,1,0,0,1.9247,plus_button,1,0.6247,,,,,,,1.3,images/target_plus.jpg,,001,2022-04-06_22h47.08.092,choiceRTT,2021.2.3,Linux aarch64,59.81934558,,,,,,,0,2,2,1,1
,0,0.28649087,-0.264631043,1,0,0,2.1806,plus_button,1,0.6806,,,,,,,1.5,images/target_plus.jpg,,001,2022-04-06_22h47.08.092,choiceRTT,2021.2.3,Linux aarch64,59.81934558,,,,,,,0,3,3,4,1
,0,-0.226116112,-0.260929952,1,0,0,2.3417,cross_button,1,1.0417,,,,,,,1.3,images/target_cross.jpg,,001,2022-04-06_22h47.08.092,choiceRTT,2021.2.3,Linux aarch64,59.81934558,,,,,,,0,4,4,3,1
,0,-0.22889197,-0.234096692,1,0,0,2.5313,cross_button,1,1.0313,,,,,,,1.5,images/target_cross.jpg,,001,2022-04-06_22h47.08.092,choiceRTT,2021.2.3,Linux aarch64,59.81934558,,,,,,,0,5,5,6,1
