keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,0,5.7203,,,,,,,,4.2203,space,8.0345,0,0,0,6,1,1.5,images/target_cross.jpg,,001,2022-06-21_09h21.06.112,choiceRTT,2021.2.3,Win32,60.12867537,,,,,,,,,,,,
v,1,3.4722,,,,,,,,1.9722,space,3.3999,0,1,1,2,1,1.5,images/target_square.jpg,,001,2022-06-21_09h21.06.112,choiceRTT,2021.2.3,Win32,60.12867537,,,,,,,,,,,,
b,1,3.5042,,,,,,,,2.0042,space,3.6489,0,2,2,4,1,1.5,images/target_plus.jpg,,001,2022-06-21_09h21.06.112,choiceRTT,2021.2.3,Win32,60.12867537,,,,,,,,,,,,
c,1,3.1481,,,,,,,,2.0481,space,4.1332,0,3,3,0,1,1.1,images/target_cross.jpg,,001,2022-06-21_09h21.06.112,choiceRTT,2021.2.3,Win32,60.12867537,,,,,,,,,,,,
b,1,3.028,,,,,,,,1.928,space,2.9994,0,4,4,7,1,1.1,images/target_plus.jpg,,001,2022-06-21_09h21.06.112,choiceRTT,2021.2.3,Win32,60.12867537,,,,,,,,,,,,
v,1,4.3177,,,,,,,,3.0177,space,3.6579,0,5,5,8,1,1.3,images/target_square.jpg,,001,2022-06-21_09h21.06.112,choiceRTT,2021.2.3,Win32,60.12867537,,,,,,,,,,,,
v,1,1.9784,,,,,,,,0.8784,space,3.6315,0,6,6,5,1,1.1,images/target_square.jpg,,001,2022-06-21_09h21.06.112,choiceRTT,2021.2.3,Win32,60.12867537,,,,,,,,,,,,
b,1,2.3373,,,,,,,,1.0373,space,4.5152,0,7,7,1,1,1.3,images/target_plus.jpg,,001,2022-06-21_09h21.06.112,choiceRTT,2021.2.3,Win32,60.12867537,,,,,,,,,,,,
c,1,2.4775,,,,,,,,1.1775,space,1.3528,0,8,8,3,1,1.3,images/target_cross.jpg,,001,2022-06-21_09h21.06.112,choiceRTT,2021.2.3,Win32,60.12867537,,,,,,,,,,,,
v,1,2.6082,,,,,,,,1.1082,,,,,,,,1.5,images/target_square.jpg,,001,2022-06-21_09h21.06.112,choiceRTT,2021.2.3,Win32,60.12867537,space,5.2095,0.459259288,0.138888889,0,0,0,0,0,0,2,1
c,0,2.9705,,,,,,,,1.4705,,,,,,,,1.5,images/target_plus.jpg,,001,2022-06-21_09h21.06.112,choiceRTT,2021.2.3,Win32,60.12867537,,,,,,,,0,1,1,4,1
c,1,2.3531,,,,,,,,1.2531,,,,,,,,1.1,images/target_cross.jpg,,001,2022-06-21_09h21.06.112,choiceRTT,2021.2.3,Win32,60.12867537,,,,,,,,0,2,2,0,1
b,1,2.9873,,,,,,,,1.6873,,,,,,,,1.3,images/target_plus.jpg,,001,2022-06-21_09h21.06.112,choiceRTT,2021.2.3,Win32,60.12867537,,,,,,,,0,3,3,1,1
c,1,2.4014,,,,,,,,1.1014,,,,,,,,1.3,images/target_cross.jpg,,001,2022-06-21_09h21.06.112,choiceRTT,2021.2.3,Win32,60.12867537,,,,,,,,0,4,4,3,1
b,1,2.1425,,,,,,,,1.0425,,,,,,,,1.1,images/target_plus.jpg,,001,2022-06-21_09h21.06.112,choiceRTT,2021.2.3,Win32,60.12867537,,,,,,,,0,5,5,7,1
c,1,2.8371,,,,,,,,1.3371,,,,,,,,1.5,images/target_cross.jpg,,001,2022-06-21_09h21.06.112,choiceRTT,2021.2.3,Win32,60.12867537,,,,,,,,0,6,6,6,1
