keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,moveOnKeys.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,0,4.1865,,,,,,,,2.8865,,0,0,0,8,1,1.3,images/target_square.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,,,,,,,,,,,,
c,0,1.9721,,,,,,,,0.8721,space,0,1,1,5,1,1.1,images/target_square.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,4.519,,,,,,,,,,,
b,1,3.1203,,,,,,,,1.8203,space,0,2,2,1,1,1.3,images/target_plus.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,4.5137,,,,,,,,,,,
c,1,2.5011,,,,,,,,1.2011,space,0,3,3,3,1,1.3,images/target_cross.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,1.5993,,,,,,,,,,,
c,1,3.617,,,,,,,,2.117,space,0,4,4,6,1,1.5,images/target_cross.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,0.9385,,,,,,,,,,,
v,1,3.3025,,,,,,,,1.8025,space,0,5,5,2,1,1.5,images/target_square.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,1.333,,,,,,,,,,,
c,0,2.5146,,,,,,,,1.0146,space,0,6,6,4,1,1.5,images/target_plus.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,1.3517,,,,,,,,,,,
c,1,2.0506,,,,,,,,0.9506,space,0,7,7,0,1,1.1,images/target_cross.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,1.0685,,,,,,,,,,,
c,0,2.0341,,,,,,,,0.9341,space,0,8,8,7,1,1.1,images/target_plus.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,0.9676,,,,,,,,,,,
b,1,3.2164,,,,,,,,2.1164,,,,,,,1.1,images/target_plus.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,,,0.042592621,-0.255555556,1,0,0,0,0,0,7,1
b,1,2.1098,,,,,,,,0.8098,,,,,,,1.3,images/target_plus.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,,,,,,,,0,1,1,1,1
c,1,2.3222,,,,,,,,1.0222,,,,,,,1.3,images/target_cross.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,,,,,,,,0,2,2,3,1
c,1,2.1347,,,,,,,,0.6347,,,,,,,1.5,images/target_cross.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,,,,,,,,0,3,3,6,1
v,1,2.7716,,,,,,,,1.4716,,,,,,,1.3,images/target_square.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,,,,,,,,0,4,4,8,1
b,1,3.1822,,,,,,,,1.6822,,,,,,,1.5,images/target_plus.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,,,,,,,,0,5,5,4,1
c,1,1.9402,,,,,,,,0.8402,,,,,,,1.1,images/target_cross.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,,,,,,,,0,6,6,0,1
v,1,2.1732,,,,,,,,1.0732,,,,,,,1.1,images/target_square.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,,,,,,,,0,7,7,5,1
v,1,2.4726,,,,,,,,0.9726,,,,,,,1.5,images/target_square.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,,,,,,,,0,8,8,2,1
v,1,2.0063,,,,,,,,0.7063,,,,,,,1.3,images/target_square.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,,,,,,,,1,0,9,8,1
c,0,2.46,,,,,,,,0.96,,,,,,,1.5,images/target_plus.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,,,,,,,,1,1,10,4,1
v,0,1.8165,,,,,,,,0.7165,,,,,,,1.1,images/target_plus.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,,,,,,,,1,2,11,7,1
b,1,1.9719,,,,,,,,0.6719,,,,,,,1.3,images/target_plus.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,,,,,,,,1,3,12,1,1
c,1,2.0397,,,,,,,,0.9397,,,,,,,1.1,images/target_cross.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,,,,,,,,1,4,13,0,1
c,1,2.0944,,,,,,,,0.7944,,,,,,,1.3,images/target_cross.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,,,,,,,,1,5,14,3,1
v,1,2.125,,,,,,,,1.025,,,,,,,1.1,images/target_square.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,,,,,,,,1,6,15,5,1
v,1,2.1307,,,,,,,,0.6307,,,,,,,1.5,images/target_square.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,,,,,,,,1,7,16,2,1
c,1,2.7566,,,,,,,,1.2566,,,,,,,1.5,images/target_cross.jpg,,001,2022-08-02_17h11.11.494,choiceRTT,2021.2.3,Win32,58.85468778,,,,,,,,1,8,17,6,1
