keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,correctMouseResp,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,0,2.131,,,,,,,,1.031,space,13.141,0,0,0,7,1,1.1,images/target_plus.jpg,,001,2023-01-11_12h01.32.869,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
c,0,2.656,,,,,,,,1.156,space,5.265,0,1,1,4,1,1.5,images/target_plus.jpg,,001,2023-01-11_12h01.32.869,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
v,1,3.27,,,,,,,,1.77,,,0,2,2,2,1,1.5,images/target_square.jpg,,001,2023-01-11_12h01.32.869,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
,0,,-0.215740741,-0.225,1,0,0,2.013,cross_button,0.713,,,0,3,3,3,1,1.3,images/target_cross.jpg,,001,2023-01-11_12h01.32.869,choiceRTT,2021.2.3,Win32,60.0240096,1,,,,,,,,,,,,
,0,,-0.228703704,-0.244444444,1,0,0,2.996,cross_button,1.496,,,0,4,4,6,1,1.5,images/target_cross.jpg,,001,2023-01-11_12h01.32.869,choiceRTT,2021.2.3,Win32,60.0240096,1,,,,,,,,,,,,
,0,,-0.07962963,-0.246296296,1,0,0,1.998,square_button,0.698,space,5.295,0,5,5,8,1,1.3,images/target_square.jpg,,001,2023-01-11_12h01.32.869,choiceRTT,2021.2.3,Win32,60.0240096,1,,,,,,,,,,,,
b,1,2.321,,,,,,,,1.021,v,3.142,0,6,6,1,1,1.3,images/target_plus.jpg,,001,2023-01-11_12h01.32.869,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
c,1,2.04,,,,,,,,0.94,space,5.852,0,7,7,0,1,1.1,images/target_cross.jpg,,001,2023-01-11_12h01.32.869,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
v,1,1.953,,,,,,,,0.853,space,2.527,0,8,8,5,1,1.1,images/target_square.jpg,,001,2023-01-11_12h01.32.869,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,
v,1,1.815,,,,,,,,0.515,,,,,,,,1.3,images/target_square.jpg,,001,2023-01-11_12h01.32.869,choiceRTT,2021.2.3,Win32,60.0240096,,space,3.061,-0.12037037,-0.263888889,0,0,0,0,0,0,8,1
b,1,2.377,,,,,,,,1.077,,,,,,,,1.3,images/target_plus.jpg,,001,2023-01-11_12h01.32.869,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,0,1,1,1,1
