keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.rt,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,0.067708333,-0.270833333,1,0,0,3.294,square_button,1,1.994,space,13.089,0,0,0,8,1,1.3,images/target_square.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,
v,0,,,,,,,,,1.957,space,5.306,0,1,1,4,1,1.5,images/target_plus.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,3.457,,,,,,,,,,,,
c,1,,,,,,,,,4.816,space,2.412,0,2,2,6,1,1.5,images/target_cross.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,6.316,,,,,,,,,,,,
c,0,,,,,,,,,1.411,space,8.591,0,3,3,7,1,1.1,images/target_plus.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,2.511,,,,,,,,,,,,
c,0,,,,,,,,,2.991,space,8.913,0,4,4,1,1,1.3,images/target_plus.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,4.291,,,,,,,,,,,,
v,0,,,,,,,,,5.911,space,1.815,0,5,5,0,1,1.1,images/target_cross.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,7.011,,,,,,,,,,,,
b,0,,,,,,,,,3.111,space,3.633,0,6,6,3,1,1.3,images/target_cross.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,4.411,,,,,,,,,,,,
v,1,,,,,,,,,2.775,space,2.282,0,7,7,5,1,1.1,images/target_square.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,3.875,,,,,,,,,,,,
v,1,,,,,,,,,1.86,space,2.133,0,8,8,2,1,1.5,images/target_square.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,3.36,,,,,,,,,,,,
v,1,,,,,,,,,1.664,,,,,,,,1.3,images/target_square.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,2.964,space,4.084,0.080729167,-0.266927083,0,0,0,0,0,0,8,1
c,1,,,,,,,,,2.794,,,,,,,,1.5,images/target_cross.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,4.294,,,,,,,,0,1,1,6,1
v,1,,,,,,,,,1.355,,,,,,,,1.5,images/target_square.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,2.855,,,,,,,,0,2,2,2,1
c,1,,,,,,,,,4.046,,,,,,,,1.1,images/target_cross.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,5.146,,,,,,,,0,3,3,0,1
c,0,,,,,,,,,1.987,,,,,,,,1.3,images/target_plus.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,3.287,,,,,,,,0,4,4,1,1
b,1,,,,,,,,,3.022,,,,,,,,1.5,images/target_plus.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,4.522,,,,,,,,0,5,5,4,1
c,1,,,,,,,,,1.756,,,,,,,,1.3,images/target_cross.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,3.056,,,,,,,,0,6,6,3,1
v,1,,,,,,,,,1.041,,,,,,,,1.1,images/target_square.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,2.141,,,,,,,,0,7,7,5,1
b,1,,,,,,,,,1.858,,,,,,,,1.1,images/target_plus.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,2.958,,,,,,,,0,8,8,7,1
c,1,,,,,,,,,1.028,,,,,,,,1.3,images/target_cross.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,2.328,,,,,,,,1,0,9,3,1
c,0,,,,,,,,,0.855,,,,,,,,1.1,images/target_plus.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,1.955,,,,,,,,1,1,10,7,1
v,1,,,,,,,,,2.046,,,,,,,,1.5,images/target_square.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,3.546,,,,,,,,1,2,11,2,1
v,1,,,,,,,,,1.507,,,,,,,,1.3,images/target_square.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,2.807,,,,,,,,1,3,12,8,1
v,1,,,,,,,,,0.807,,,,,,,,1.1,images/target_square.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,1.907,,,,,,,,1,4,13,5,1
b,1,,,,,,,,,1.824,,,,,,,,1.5,images/target_plus.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,3.324,,,,,,,,1,5,14,4,1
c,1,,,,,,,,,0.814,,,,,,,,1.5,images/target_cross.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,2.314,,,,,,,,1,6,15,6,1
c,1,,,,,,,,,4.009,,,,,,,,1.1,images/target_cross.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,5.109,,,,,,,,1,7,16,0,1
b,1,,,,,,,,,1.578,,,,,,,,1.3,images/target_plus.jpg,,001,2023-01-17_20h55.57.382,choiceRTT,2021.2.3,Win32,59.95203837,2.878,,,,,,,,1,8,17,1,1
