keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,moveOnKeys.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran,correctMouseResp
v,1,3.4007,,,,,,,,2.3007,,0,0,0,5,1,1.1,images/target_square.jpg,,001,2023-01-27_16h02.49.806,choiceRTT,2021.2.3,Win32,60.12506013,,,,,,,,,,,,,
c,1,3.0614,,,,,,,,1.7614,,0,1,1,3,1,1.3,images/target_cross.jpg,,001,2023-01-27_16h02.49.806,choiceRTT,2021.2.3,Win32,60.12506013,,,,,,,,,,,,,
c,1,1.7473,,,,,,,,0.6473,,0,2,2,0,1,1.1,images/target_cross.jpg,,001,2023-01-27_16h02.49.806,choiceRTT,2021.2.3,Win32,60.12506013,,,,,,,,,,,,,
b,1,1.9901,,,,,,,,0.6901,v,0,3,3,1,1,1.3,images/target_plus.jpg,,001,2023-01-27_16h02.49.806,choiceRTT,2021.2.3,Win32,60.12506013,0.6974,,,,,,,,,,,,
c,1,0.4411,-0.091666667,-0.168518519,1,0,0,0.116,,-1.0589,v,0,4,4,6,1,1.5,images/target_cross.jpg,,001,2023-01-27_16h02.49.806,choiceRTT,2021.2.3,Win32,60.12506013,0.3066,,,,,,,,,,,,
v,0,0.3308,-0.091666667,-0.17962963,1,0,0,0.1162,,-1.1692,b,0,5,5,4,1,1.5,images/target_plus.jpg,,001,2023-01-27_16h02.49.806,choiceRTT,2021.2.3,Win32,60.12506013,0.2013,,,,,,,,,,,,
v,1,0.2521,-0.091666667,-0.182407407,1,0,0,0.0493,,-1.2479,,0,6,6,2,1,1.5,images/target_square.jpg,,001,2023-01-27_16h02.49.806,choiceRTT,2021.2.3,Win32,60.12506013,,,,,,,,,,,,,
b,1,0.262,,,,,,,,-0.838,,0,7,7,7,1,1.1,images/target_plus.jpg,,001,2023-01-27_16h02.49.806,choiceRTT,2021.2.3,Win32,60.12506013,,,,,,,,,,,,,
v,1,0.2642,,,,,,,,-1.0358,,0,8,8,8,1,1.3,images/target_square.jpg,,001,2023-01-27_16h02.49.806,choiceRTT,2021.2.3,Win32,60.12506013,,,,,,,,,,,,,
c,0,0.2233,,,,,,,,-1.2767,,,,,,,1.5,images/target_square.jpg,,001,2023-01-27_16h02.49.806,choiceRTT,2021.2.3,Win32,60.12506013,,,-0.089814815,-0.186111111,1,0,0,0,0,0,2,1,
v,0,0.2871,-0.089814815,-0.186111111,1,0,0,0.0329,,-1.0129,,,,,,,1.3,images/target_plus.jpg,,001,2023-01-27_16h02.49.806,choiceRTT,2021.2.3,Win32,60.12506013,,,,,,,,0,1,1,1,1,
b,1,0.3386,-0.026851852,-0.187037037,1,0,0,0.0993,,-1.1614,,,,,,,1.5,images/target_plus.jpg,,001,2023-01-27_16h02.49.806,choiceRTT,2021.2.3,Win32,60.12506013,,,,,,,,0,2,2,4,1,
v,0,0.2128,,,,,,,,-0.8872,,,,,,,1.1,images/target_cross.jpg,,001,2023-01-27_16h02.49.806,choiceRTT,2021.2.3,Win32,60.12506013,,,,,,,,0,3,3,0,1,
c,1,0.2202,,,,,,,,-1.0798,,,,,,,1.3,images/target_cross.jpg,,001,2023-01-27_16h02.49.806,choiceRTT,2021.2.3,Win32,60.12506013,,,,,,,,0,4,4,3,1,
,0,,-0.00462963,-0.237037037,1,0,0,0.2661,square_button,-1.0339,,,,,,,1.3,images/target_square.jpg,,001,2023-01-27_16h02.49.806,choiceRTT,2021.2.3,Win32,60.12506013,,,,,,,,0,5,5,8,1,1
v,0,0.0319,,,,,,,,-1.4681,,,,,,,1.5,images/target_cross.jpg,,001,2023-01-27_16h02.49.806,choiceRTT,2021.2.3,Win32,60.12506013,,,,,,,,0,6,6,6,1,
c,0,0.255,,,,,,,,-0.845,,,,,,,1.1,images/target_square.jpg,,001,2023-01-27_16h02.49.806,choiceRTT,2021.2.3,Win32,60.12506013,,,,,,,,0,7,7,5,1,
v,0,0.0854,,,,,,,,-1.0146,,,,,,,1.1,images/target_plus.jpg,,001,2023-01-27_16h02.49.806,choiceRTT,2021.2.3,Win32,60.12506013,,,,,,,,0,8,8,7,1,
,0,,-0.156481481,-0.22962963,1,0,0,0.0162,cross_button,-1.0838,,,,,,,1.1,images/target_cross.jpg,,001,2023-01-27_16h02.49.806,choiceRTT,2021.2.3,Win32,60.12506013,,,,,,,,1,0,9,0,1,1
