keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,-0.005833282,-0.235833359,1,0,0,1.9195,square_button,0,0.8195,space,2.6804,0,0,0,0,1,1.1,images/target_cross.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,,,,,
,0,-0.221666641,-0.2675,1,0,0,2.0654,cross_button,0,0.9654,space,2.2075,0,1,1,7,1,1.1,images/target_plus.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,,,,,
,0,-0.246666641,-0.206666718,1,0,0,1.3779,cross_button,0,0.2779,space,3.7114,0,2,2,5,1,1.1,images/target_square.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,,,,,
,0,-0.028333282,-0.2325,1,0,0,1.1438,square_button,0,-0.3562,space,11.7269,0,3,3,4,1,1.5,images/target_plus.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,,,,,
,0,-0.215,-0.244166718,1,0,0,1.3108,cross_button,1,0.0108,space,4.2414,0,4,4,3,1,1.3,images/target_cross.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,,,,,
,0,0.214166718,-0.263333359,1,0,0,1.3531,plus_button,1,0.0531,space,3.9002,0,5,5,1,1,1.3,images/target_plus.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,,,,,
,0,-0.1275,-0.236666718,1,0,0,1.2942,cross_button,0,-0.2058,space,2.9026,0,6,6,2,1,1.5,images/target_square.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,,,,,
,0,-0.049166641,-0.250833359,1,0,0,1.3106,square_button,0,-0.1894,space,3.2747,0,7,7,6,1,1.5,images/target_cross.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,,,,,
,0,-0.049166641,-0.250833359,1,0,0,1.6108,square_button,1,0.3108,,,0,8,8,8,1,1.3,images/target_square.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,,,,,
,0,-0.049166641,-0.250833359,1,0,0,1.061,square_button,0,-0.439,,,,,,,,1.5,images/target_plus.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,space,0.0528,-0.049166641,-0.250833359,1,0,0,0,0,0,4,1
,0,-0.049166641,-0.250833359,1,0,0,1.4162,square_button,0,0.3162,,,,,,,,1.1,images/target_cross.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,0,1,1,0,1
,0,-0.194166641,-0.250833359,1,0,0,4.0823,cross_button,1,2.7823,,,,,,,,1.3,images/target_cross.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,0,2,2,3,1
,0,-0.0375,-0.2575,1,0,0,3.0274,square_button,1,1.7274,,,,,,,,1.3,images/target_square.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,0,3,3,8,1
,0,-0.228333321,-0.254166718,1,0,0,3.3775,cross_button,1,1.8775,,,,,,,,1.5,images/target_cross.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,0,4,4,6,1
,0,0.0025,-0.268333359,1,0,0,2.8105,square_button,1,1.3105,,,,,,,,1.5,images/target_square.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,0,5,5,2,1
,0,-0.02,-0.3125,1,0,0,2.6828,square_button,1,1.5828,,,,,,,,1.1,images/target_square.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,0,6,6,5,1
,0,0.274166718,-0.240833359,1,0,0,4.3609,plus_button,1,3.2609,,,,,,,,1.1,images/target_plus.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,0,7,7,7,1
,0,0.208333359,-0.2475,1,0,0,3.6277,plus_button,1,2.3277,,,,,,,,1.3,images/target_plus.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,0,8,8,1,1
,0,0.015833359,-0.248333359,1,0,0,0.994,square_button,0,-0.506,,,,,,,,1.5,images/target_cross.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,1,0,9,6,1
,0,0.129166718,-0.2675,1,0,0,0.7662,plus_button,0,-0.3338,,,,,,,,1.1,images/target_square.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,1,1,10,5,1
,0,0.018333359,-0.256666718,1,0,0,0.6826,square_button,0,-0.4174,,,,,,,,1.1,images/target_cross.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,1,2,11,0,1
,0,-0.1525,-0.2475,1,0,0,1.1663,cross_button,1,-0.1337,,,,,,,,1.3,images/target_cross.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,1,3,12,3,1
,0,-0.065,-0.253333359,1,0,0,0.8327,square_button,1,-0.4673,,,,,,,,1.3,images/target_square.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,1,4,13,8,1
,0,0.170833359,-0.240833359,1,0,0,1.1661,plus_button,1,-0.1339,,,,,,,,1.3,images/target_plus.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,1,5,14,1,1
,0,-0.003333282,-0.251666718,1,0,0,0.8831,square_button,0,-0.2169,,,,,,,,1.1,images/target_plus.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,1,6,15,7,1
,0,-0.255833321,-0.244166718,1,0,0,0.8489,cross_button,0,-0.6511,,,,,,,,1.5,images/target_square.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,1,7,16,2,1
,0,0.020833359,-0.2675,1,0,0,0.8497,square_button,0,-0.6503,,,,,,,,1.5,images/target_plus.jpg,,001,2023-05-14_11h02.44.898,choiceRTT,2021.2.3,Win32,60.08171113,,,,,,,,1,8,17,4,1
