response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.12314808,-0.000925933,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,,,,,,
,0,-0.425925919,0.0074074,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,,,,,,
,0,0.397222354,0.001851844,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,,,,,,
,0,0.137037052,-7.4558E-09,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,,,,,,
,0,-0.366666659,-0.049074082,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,,,,,,
,0,0.150925941,-0.021296304,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,,,,,,
,0,0.452777911,0.063888854,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,,,,,,
,0,-0.179629619,0.017592585,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,,,,,,
,0,-0.292592584,0.024074067,1,0,0,targImage,,,,,,,2.7776,-0.375,c,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,0.146296312,-0.034259267,1,0,0,targImage,,,,,,,1.6666,0.125,b,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,-0.396296289,0.016666659,1,0,0,targImage,,,,,,,2.9998,-0.375,c,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,-0.081481413,-0.014814822,1,0,0,targImage,,,,,,,1.6666,-0.125,v,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,0.388888908,0.019444437,1,0,0,targImage,,,,,,,1,0.375,n,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,-0.124074063,0.0074074,1,0,0,targImage,,,,,,,1.4444,-0.125,v,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,-0.385185178,-0.000925933,1,0,0,targImage,,,,,,,1,-0.375,c,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,0.350926057,-0.003703711,1,0,0,targImage,,,,,,,2.7776,0.375,n,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,-0.44629629,0.034259252,1,0,0,targImage,,,,,,,2.3332,-0.375,c,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,0.341666798,0.043518512,1,0,0,targImage,,,,,,,1.4444,0.375,n,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,0.113888904,-0.019444452,1,0,0,targImage,,,,,,,2.3332,0.125,b,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,0.113888904,-0.019444452,1,0,0,targImage,,,,,,,1.4444,0.125,b,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,0.333333352,-0.009259267,1,0,0,targImage,,,,,,,2.5554,0.375,n,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,-0.142592581,-0.012962971,1,0,0,targImage,,,,,,,1.8888,-0.125,v,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,0.092592607,-0.005555563,1,0,0,targImage,,,,,,,2.9998,0.125,b,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,0.32222224,-0.027777786,1,0,0,targImage,,,,,,,2.9998,0.375,n,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,-0.091666655,-0.020370378,1,0,0,targImage,,,,,,,2.111,-0.125,v,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,0.123148163,0.038888882,1,0,0,targImage,,,,,,,2.111,0.125,b,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,0.123148163,0.03703703,1,0,0,targImage,,,,,,,2.7776,0.125,b,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,-0.353703696,0.045370335,1,0,0,targImage,,,,,,,2.5554,-0.375,c,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,-0.181481471,0.026851817,1,0,0,targImage,,,,,,,1.2222,-0.125,v,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,0.316666685,0.031481446,1,0,0,targImage,,,,,,,1.2222,0.375,n,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,0.136111126,-0.000925933,1,0,0,targImage,,,,,,,2.5554,0.125,b,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,-0.350925918,-0.010185193,1,0,0,targImage,,,,,,,1.2222,-0.375,c,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,0.14444446,0.025925919,1,0,0,targImage,,,,,,,1.8888,0.125,b,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,0.446296316,-0.032407415,1,0,0,targImage,,,,,,,2.111,0.375,n,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,23,1,39
,0,0.462962983,-0.001851859,1,0,0,targImage,,,,,,,1.8888,0.375,n,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,0.329629648,-0.027777786,1,0,0,targImage,,,,,,,2.3332,0.375,n,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,-0.415740705,0.055555549,1,0,0,targImage,,,,,,,2.111,-0.375,c,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,-0.142592581,-0.004629637,1,0,0,targImage,,,,,,,2.3332,-0.125,v,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,-0.374074066,-0.000925933,1,0,0,targImage,,,,,,,1.6666,-0.375,c,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,-0.122222211,-0.008333341,1,0,0,targImage,,,,,,,1,-0.125,v,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,-0.354629622,0.004629622,1,0,0,targImage,,,,,,,1.4444,-0.375,c,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,-0.114814803,-0.041666675,1,0,0,targImage,,,,,,,2.5554,-0.125,v,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,-0.033333321,-0.039814823,1,0,0,targImage,,,,,,,2.7776,-0.125,v,PG,001,2020-11-25_17h15.29.151,choiceRTT,3.1.3,60,1,0,40,33,1,39
