response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.189782744,-0.025196483,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,Piet,001,2020-07-22_05h59.29.163,choiceRTT,3.1.3,60,,,,,,
,0,0.42464173,-0.016874739,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,Piet,001,2020-07-22_05h59.29.163,choiceRTT,3.1.3,60,,,,,,
,0,0.169440631,-0.035367651,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,Piet,001,2020-07-22_05h59.29.163,choiceRTT,3.1.3,60,,,,,,
,0,0.397827074,-0.029819748,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,Piet,001,2020-07-22_05h59.29.163,choiceRTT,3.1.3,60,,,,,,
,0,-0.156957904,-0.073277964,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,Piet,001,2020-07-22_05h59.29.163,choiceRTT,3.1.3,60,,,,,,
,0,-0.362228384,-0.027970397,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,Piet,001,2020-07-22_05h59.29.163,choiceRTT,3.1.3,60,,,,,,
,0,-0.16250577,-0.052935776,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,Piet,001,2020-07-22_05h59.29.163,choiceRTT,3.1.3,60,,,,,,
,0,-0.366851594,-0.062182158,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,Piet,001,2020-07-22_05h59.29.163,choiceRTT,3.1.3,60,,,,,,
,0,-0.117198314,-0.062182158,1,0,0,targImage,,,,,,,1.8888,-0.125,v,Piet,001,2020-07-22_05h59.29.163,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,-0.087609782,-0.097318557,1,0,0,targImage,,,,,,,1,-0.125,v,Piet,001,2020-07-22_05h59.29.163,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,-0.133841876,-0.069579337,1,0,0,targImage,,,,,,,1.4444,-0.125,v,Piet,001,2020-07-22_05h59.29.163,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,0.188858106,-0.018724016,1,0,0,targImage,,,,,,,1.4444,0.125,b,Piet,001,2020-07-22_05h59.29.163,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,-0.165279685,-0.06125752,1,0,0,targImage,,,,,,,1.2222,-0.125,v,Piet,001,2020-07-22_05h59.29.163,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,-0.084835867,-0.029819748,1,0,0,targImage,,,,,,,2.111,-0.125,v,Piet,001,2020-07-22_05h59.29.163,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,0.101017109,-0.038141491,1,0,0,targImage,,,,,,,2.5554,0.125,b,Piet,001,2020-07-22_05h59.29.163,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,0.37748496,0.029357392,1,0,0,targImage,,,,,,,1.2222,0.375,n,Piet,001,2020-07-22_05h59.29.163,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,-0.119047628,-0.026121121,1,0,0,targImage,,,,,,,1.6666,-0.125,v,Piet,001,2020-07-22_05h59.29.163,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,0.10933889,0.017337021,1,0,0,targImage,,,,,,,1,0.125,b,Piet,001,2020-07-22_05h59.29.163,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,0.367313941,-0.027045759,1,0,0,targImage,,,,,,,2.5554,0.375,n,Piet,001,2020-07-22_05h59.29.163,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,-0.287332405,0.015487745,1,0,0,targImage,,,,,,,2.3332,-0.375,c,Piet,001,2020-07-22_05h59.29.163,choiceRTT,3.1.3,60,1,0,40,24,1,39
