keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,1,5.9456,-0.258424037,0.002547474,1,0,0,5.5816,,4.8456,c,0.6072,0,0,0,0,1,1.1,images/target_cross.jpg,SDS ,001,2022-07-19_10h41.41.940,choiceRTT,2021.2.3,Win32,30.00480077,,,,,,,,,,,
c,0,0.8791,,,,,,,,-0.6209,c,0.4354,0,1,1,2,1,1.5,images/target_square.jpg,SDS ,001,2022-07-19_10h41.41.940,choiceRTT,2021.2.3,Win32,30.00480077,,,,,,,,,,,
b,1,4.8596,,,,,,,,3.5596,,,0,2,2,1,1,1.3,images/target_plus.jpg,SDS ,001,2022-07-19_10h41.41.940,choiceRTT,2021.2.3,Win32,30.00480077,,,,,,,,,,,
b,0,0.5336,,,,,,,,-0.5664,b,1.0582,0,3,3,5,1,1.1,images/target_square.jpg,SDS ,001,2022-07-19_10h41.41.940,choiceRTT,2021.2.3,Win32,30.00480077,,,,,,,,,,,
b,1,0.2232,,,,,,,,-1.2768,b,0.138,0,4,4,4,1,1.5,images/target_plus.jpg,SDS ,001,2022-07-19_10h41.41.940,choiceRTT,2021.2.3,Win32,30.00480077,,,,,,,,,,,
b,1,0.1831,,,,,,,,-0.9169,b,0.1042,0,5,5,7,1,1.1,images/target_plus.jpg,SDS ,001,2022-07-19_10h41.41.940,choiceRTT,2021.2.3,Win32,30.00480077,,,,,,,,,,,
b,0,0.1821,,,,,,,,-1.1179,b,0.1339,0,6,6,3,1,1.3,images/target_cross.jpg,SDS ,001,2022-07-19_10h41.41.940,choiceRTT,2021.2.3,Win32,30.00480077,,,,,,,,,,,
c,1,2.5155,,,,,,,,1.0155,c,7.7398,0,7,7,6,1,1.5,images/target_cross.jpg,SDS ,001,2022-07-19_10h41.41.940,choiceRTT,2021.2.3,Win32,30.00480077,,,,,,,,,,,
c,0,3.4381,,,,,,,,2.1381,c,0.8927,0,8,8,8,1,1.3,images/target_square.jpg,SDS ,001,2022-07-19_10h41.41.940,choiceRTT,2021.2.3,Win32,30.00480077,,,,,,,,,,,
c,0,0.5872,,,,,,,,-0.9128,,,,,,,,1.5,images/target_square.jpg,SDS ,001,2022-07-19_10h41.41.940,choiceRTT,2021.2.3,Win32,30.00480077,,-0.107428205,0.009958312,1,0,0,0,0,0,2,1
c,0,0.4451,,,,,,,,-0.6549,,,,,,,,1.1,images/target_plus.jpg,SDS ,001,2022-07-19_10h41.41.940,choiceRTT,2021.2.3,Win32,30.00480077,,,,,,,0,1,1,7,1
