response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.308333333,0.003472222,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,S,001,2020-11-22_15h33.10.070,choiceRTT,3.1.3,60,,,,,,
,0,-0.084027778,-0.024305556,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,S,001,2020-11-22_15h33.10.070,choiceRTT,3.1.3,60,,,,,,
,0,-0.434722222,0.029861111,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,S,001,2020-11-22_15h33.10.070,choiceRTT,3.1.3,60,,,,,,
,0,0.365972222,-0.055555556,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,S,001,2020-11-22_15h33.10.070,choiceRTT,3.1.3,60,,,,,,
,0,0.11875,0.007638889,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,S,001,2020-11-22_15h33.10.070,choiceRTT,3.1.3,60,,,,,,
,0,0.411805556,-0.0375,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,S,001,2020-11-22_15h33.10.070,choiceRTT,3.1.3,60,,,,,,
,0,0.179166667,-0.027083333,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,S,001,2020-11-22_15h33.10.070,choiceRTT,3.1.3,60,,,,,,
,0,-0.159027778,0.0125,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,S,001,2020-11-22_15h33.10.070,choiceRTT,3.1.3,60,,,,,,
,0,-0.286805556,-0.040277778,1,0,0,targImage,,,,,,,2.7776,-0.375,c,S,001,2020-11-22_15h33.10.070,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,0.122916667,0.020138889,1,0,0,targImage,,,,,,,1.2222,0.125,b,S,001,2020-11-22_15h33.10.070,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,-0.340277778,0.036111111,1,0,0,targImage,,,,,,,2.111,-0.375,c,S,001,2020-11-22_15h33.10.070,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,0.351388889,-0.024305556,1,0,0,targImage,,,,,,,1.8888,0.375,n,S,001,2020-11-22_15h33.10.070,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,-0.09375,-0.028472222,1,0,0,targImage,,,,,,,2.9998,-0.125,v,S,001,2020-11-22_15h33.10.070,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,-0.103472222,-0.040277778,1,0,0,targImage,,,,,,,2.3332,-0.125,v,S,001,2020-11-22_15h33.10.070,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,0.098611111,-0.059722222,1,0,0,targImage,,,,,,,2.7776,0.125,b,S,001,2020-11-22_15h33.10.070,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,0.411111111,-0.011805556,1,0,0,targImage,,,,,,,1.6666,0.375,n,S,001,2020-11-22_15h33.10.070,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,-0.202083333,0.000694444,1,0,0,targImage,,,,,,,1.4444,-0.125,v,S,001,2020-11-22_15h33.10.070,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,-0.097222222,0.002777778,1,0,0,targImage,,,,,,,1,-0.125,v,S,001,2020-11-22_15h33.10.070,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,0.136805556,-0.002777778,1,0,0,targImage,,,,,,,2.9998,0.125,b,S,001,2020-11-22_15h33.10.070,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,0.1375,-0.002777778,1,0,0,targImage,,,,,,,2.5554,0.125,b,S,001,2020-11-22_15h33.10.070,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,-0.068055556,-0.013194444,1,0,0,targImage,,,,,,,2.5554,-0.125,v,S,001,2020-11-22_15h33.10.070,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,-0.068055556,-0.013194444,1,0,0,targImage,,,,,,,1.6666,-0.125,v,S,001,2020-11-22_15h33.10.070,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,-0.409722222,-0.0125,1,0,0,targImage,,,,,,,2.5554,-0.375,c,S,001,2020-11-22_15h33.10.070,choiceRTT,3.1.3,60,1,0,40,28,1,39
