participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
Ss,001,2024-01-21_15h24.48.962,choiceRTT,2023.1.3,Linux armv81,119.047619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ss,001,2024-01-21_15h24.48.962,choiceRTT,2023.1.3,Linux armv81,119.047619,,0,0.023376825,-0.251942329,1,0,0,3.3461,square_button,1,2.0461,,0,0,0,8,1,1.3,images/target_square.jpg,,,,,,,,,,,
Ss,001,2024-01-21_15h24.48.962,choiceRTT,2023.1.3,Linux armv81,119.047619,,0,0.236450267,-0.250786116,1,0,0,2.7042,plus_button,1,1.4042,,0,1,1,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,
Ss,001,2024-01-21_15h24.48.962,choiceRTT,2023.1.3,Linux armv81,119.047619,,0,-0.221605625,-0.202113457,1,0,0,1.9421,cross_button,1,0.6421,,0,2,2,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,
Ss,001,2024-01-21_15h24.48.962,choiceRTT,2023.1.3,Linux armv81,119.047619,,0,0.260613208,-0.294025205,1,0,0,2.2566,plus_button,1,1.1566,,0,3,3,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,
Ss,001,2024-01-21_15h24.48.962,choiceRTT,2023.1.3,Linux armv81,119.047619,,0,0.002104165,-0.242808936,1,0,0,2.9126,square_button,1,1.4126,,0,4,4,2,1,1.5,images/target_square.jpg,,,,,,,,,,,
Ss,001,2024-01-21_15h24.48.962,choiceRTT,2023.1.3,Linux armv81,119.047619,,0,0.031122819,-0.247549093,1,0,0,1.9361,square_button,1,0.8361,,0,5,5,5,1,1.1,images/target_square.jpg,,,,,,,,,,,
Ss,001,2024-01-21_15h24.48.962,choiceRTT,2023.1.3,Linux armv81,119.047619,,0,-0.243803186,-0.240612246,1,0,0,2.013,cross_button,1,0.913,,0,6,6,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,
Ss,001,2024-01-21_15h24.48.962,choiceRTT,2023.1.3,Linux armv81,119.047619,,0,0.197026451,-0.280498577,1,0,0,2.5241,plus_button,1,1.0241,,0,7,7,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,
Ss,001,2024-01-21_15h24.48.962,choiceRTT,2023.1.3,Linux armv81,119.047619,,0,-0.213859594,-0.252982805,1,0,0,2.2794,cross_button,1,0.7794,,0,8,8,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,
Ss,001,2024-01-21_15h24.48.962,choiceRTT,2023.1.3,Linux armv81,119.047619,,,,,,,,,,,,,,,,,,,,,0.022451905,-0.247317764,1,0,0,,,,,
Ss,001,2024-01-21_15h24.48.962,choiceRTT,2023.1.3,Linux armv81,119.047619,,0,-0.227848683,-0.256798078,1,0,0,2.2416,cross_button,1,1.1416,,,,,,,1.1,images/target_cross.jpg,,,,,,,0,0,0,0,1
Ss,001,2024-01-21_15h24.48.962,choiceRTT,2023.1.3,Linux armv81,119.047619,,0,0.235756568,-0.239109399,1,0,0,2.0116,plus_button,1,0.7116,,,,,,,1.3,images/target_plus.jpg,,,,,,,0,1,1,1,1
