keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,correctMouseResp,moveOnKeys.rt,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,1,9.3058,,,,,,,,8.0058,,0,0,0,1,1,1.3,images/target_plus.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,,,,,,,,,,,,,,
,0,,-0.159259259,-0.256481481,1,0,0,4.5531,cross_button,3.2531,c,0,1,1,8,1,1.3,images/target_square.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,0,3.1058,,,,,,,,,,,,
c,1,1.2375,,,,,,,,-0.2625,c,0,2,2,6,1,1.5,images/target_cross.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,,0.8504,,,,,,,,,,,,
v,1,4.2896,-0.059259259,-0.169444444,1,0,0,0.7452,,2.7896,v,0,3,3,2,1,1.5,images/target_square.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,,4.9452,,,,,,,,,,,,
b,0,3.3017,,,,,,,,2.0017,b,0,4,4,3,1,1.3,images/target_cross.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,,4.3408,,,,,,,,,,,,
c,0,3.7969,,,,,,,,2.6969,space,0,5,5,5,1,1.1,images/target_square.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,,3.6092,,,,,,,,,,,,
c,0,3.3092,,,,,,,,2.2092,space,0,6,6,7,1,1.1,images/target_plus.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,,0.2257,,,,,,,,,,,,
c,1,2.371,,,,,,,,1.271,space,0,7,7,0,1,1.1,images/target_cross.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,,0.3609,,,,,,,,,,,,
b,1,4.5647,,,,,,,,3.0647,space,0,8,8,4,1,1.5,images/target_plus.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,,0.4917,,,,,,,,,,,,
c,0,2.9696,,,,,,,,1.8696,,,,,,,1.1,images/target_plus.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,,,space,1.7657,-0.059259259,-0.169444444,0,0,0,0,0,0,7,1
v,1,2.7274,,,,,,,,1.6274,,,,,,,1.1,images/target_square.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,,,,,,,,,,0,1,1,5,1
c,1,2.4801,,,,,,,,0.9801,,,,,,,1.5,images/target_cross.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,,,,,,,,,,0,2,2,6,1
v,1,2.6697,,,,,,,,1.1697,,,,,,,1.5,images/target_square.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,,,,,,,,,,0,3,3,2,1
v,1,2.1801,,,,,,,,0.8801,,,,,,,1.3,images/target_square.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,,,,,,,,,,0,4,4,8,1
c,0,3.1125,,,,,,,,1.6125,,,,,,,1.5,images/target_plus.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,,,,,,,,,,0,5,5,4,1
c,1,3.0522,,,,,,,,1.7522,,,,,,,1.3,images/target_cross.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,,,,,,,,,,0,6,6,3,1
c,1,1.9793,,,,,,,,0.8793,,,,,,,1.1,images/target_cross.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,,,,,,,,,,0,7,7,0,1
b,1,3.1596,,,,,,,,1.8596,,,,,,,1.3,images/target_plus.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,,,,,,,,,,0,8,8,1,1
v,1,2.7563,,,,,,,,1.4563,,,,,,,1.3,images/target_square.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,,,,,,,,,,1,0,9,8,1
b,1,3.2991,,,,,,,,1.7991,,,,,,,1.5,images/target_plus.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,,,,,,,,,,1,1,10,4,1
c,1,3.2918,,,,,,,,1.9918,,,,,,,1.3,images/target_cross.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,,,,,,,,,,1,2,11,3,1
c,1,3.7872,,,,,,,,2.6872,,,,,,,1.1,images/target_cross.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,,,,,,,,,,1,3,12,0,1
c,1,2.6841,,,,,,,,1.1841,,,,,,,1.5,images/target_cross.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,,,,,,,,,,1,4,13,6,1
v,1,3.6134,,,,,,,,2.5134,,,,,,,1.1,images/target_square.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,,,,,,,,,,1,5,14,5,1
b,1,2.803,,,,,,,,1.703,,,,,,,1.1,images/target_plus.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,,,,,,,,,,1,6,15,7,1
b,1,2.5165,,,,,,,,1.2165,,,,,,,1.3,images/target_plus.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,,,,,,,,,,1,7,16,1,1
v,1,2.6353,,,,,,,,1.1353,,,,,,,1.5,images/target_square.jpg,Tania ,001,2023-04-02_21h25.02.537,choiceRTT,2021.2.3,Win32,74.615729,,,,,,,,,,1,8,17,2,1
