participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
Téo,001,2023-09-01_12h28.12.818,choiceRTT,2023.1.3,MacIntel,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Téo,001,2023-09-01_12h28.12.818,choiceRTT,2023.1.3,MacIntel,60.0240096,c,1,0.065,,,,,,,,,-1.035,space,3.199,,0,0,0,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
Téo,001,2023-09-01_12h28.12.818,choiceRTT,2023.1.3,MacIntel,60.0240096,c,1,3.262,,,,,,,,,1.962,space,1.417,,0,1,1,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,
Téo,001,2023-09-01_12h28.12.818,choiceRTT,2023.1.3,MacIntel,60.0240096,v,1,2.691,,,,,,,,,1.591,space,0.835,,0,2,2,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
Téo,001,2023-09-01_12h28.12.818,choiceRTT,2023.1.3,MacIntel,60.0240096,b,1,1.741,,,,,,,,,0.441,space,0.408,,0,3,3,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
Téo,001,2023-09-01_12h28.12.818,choiceRTT,2023.1.3,MacIntel,60.0240096,b,0,2.494,,,,,,,,,1.194,space,0.119,,0,4,4,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
Téo,001,2023-09-01_12h28.12.818,choiceRTT,2023.1.3,MacIntel,60.0240096,v,1,1.911,,,,,,,,,0.411,space,0.384,,0,5,5,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
Téo,001,2023-09-01_12h28.12.818,choiceRTT,2023.1.3,MacIntel,60.0240096,b,1,1.784,,,,,,,,,0.684,space,0.429,,0,6,6,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
Téo,001,2023-09-01_12h28.12.818,choiceRTT,2023.1.3,MacIntel,60.0240096,c,1,1.907,,,,,,,,,0.407,space,0.415,,0,7,7,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
Téo,001,2023-09-01_12h28.12.818,choiceRTT,2023.1.3,MacIntel,60.0240096,b,1,2.108,,,,,,,,,0.608,space,0.389,,0,8,8,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
Téo,001,2023-09-01_12h28.12.818,choiceRTT,2023.1.3,MacIntel,60.0240096,,,,,,,,,,,,,,,,,,,,,,,space,2.221,,-0.16,0.17,0,0,0,,,,,
Téo,001,2023-09-01_12h28.12.818,choiceRTT,2023.1.3,MacIntel,60.0240096,b,1,1.985,,,,,,,,,0.685,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,0,0,0,1,1
Téo,001,2023-09-01_12h28.12.818,choiceRTT,2023.1.3,MacIntel,60.0240096,v,1,2.196,,,,,,,,,0.696,,,,,,,,,1.5,images/target_square.jpg,,,,,,,,,0,1,1,2,1
Téo,001,2023-09-01_12h28.12.818,choiceRTT,2023.1.3,MacIntel,60.0240096,c,1,1.893,,,,,,,,,0.793,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,0,2,2,0,1
Téo,001,2023-09-01_12h28.12.818,choiceRTT,2023.1.3,MacIntel,60.0240096,c,1,2.361,,,,,,,,,1.061,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,0,3,3,3,1
Téo,001,2023-09-01_12h28.12.818,choiceRTT,2023.1.3,MacIntel,60.0240096,c,1,1.899,,,,,,,,,0.399,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,0,4,4,6,1
Téo,001,2023-09-01_12h28.12.818,choiceRTT,2023.1.3,MacIntel,60.0240096,v,1,2.114,,,,,,,,,0.814,,,,,,,,,1.3,images/target_square.jpg,,,,,,,,,0,5,5,8,1
Téo,001,2023-09-01_12h28.12.818,choiceRTT,2023.1.3,MacIntel,60.0240096,b,1,1.678,,,,,,,,,0.578,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,0,6,6,7,1
Téo,001,2023-09-01_12h28.12.818,choiceRTT,2023.1.3,MacIntel,60.0240096,b,1,1.812,,,,,,,,,0.312,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,0,7,7,4,1
Téo,001,2023-09-01_12h28.12.818,choiceRTT,2023.1.3,MacIntel,60.0240096,c,0,1.529,,,,,,,,,0.429,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,,0,8,8,5,1
Téo,001,2023-09-01_12h28.12.818,choiceRTT,2023.1.3,MacIntel,60.0240096,c,0,0.066,,,,,,,,,-1.434,,,,,,,,,1.5,images/target_square.jpg,,,,,,,,,1,0,9,2,1
Téo,001,2023-09-01_12h28.12.818,choiceRTT,2023.1.3,MacIntel,60.0240096,v,1,2.628,,,,,,,,,1.528,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,,1,1,10,5,1
