participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,moveOnKeys.rt,moveOnKeys.duration
Tester,001,2024-02-15_10h38.27.077,choiceRTT,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,
Tester,001,2024-02-15_10h38.27.077,choiceRTT,2023.1.3,MacIntel,59.88023952,c,1,2.8995,,,,,,,,,1.3995,,0,0,0,6,1,1.5,images/target_cross.jpg,,
Tester,001,2024-02-15_10h38.27.077,choiceRTT,2023.1.3,MacIntel,59.88023952,c,1,1.8721,,,,,,,,,0.7721,space,0,1,1,0,1,1.1,images/target_cross.jpg,1.1874,
Tester,001,2024-02-15_10h38.27.077,choiceRTT,2023.1.3,MacIntel,59.88023952,b,1,2.6703,,,,,,,,,1.5703,space,0,2,2,7,1,1.1,images/target_plus.jpg,0.8237,
Tester,001,2024-02-15_10h38.27.077,choiceRTT,2023.1.3,MacIntel,59.88023952,b,0,2.7808,,,,,,,,,1.2808,space,0,3,3,2,1,1.5,images/target_square.jpg,1.1522,
Tester,001,2024-02-15_10h38.27.077,choiceRTT,2023.1.3,MacIntel,59.88023952,b,1,3.2526,,,,,,,,,1.9526,space,0,4,4,1,1,1.3,images/target_plus.jpg,0.6574,
Tester,001,2024-02-15_10h38.27.077,choiceRTT,2023.1.3,MacIntel,59.88023952,b,1,2.5193,,,,,,,,,1.0193,space,0,5,5,4,1,1.5,images/target_plus.jpg,0.4874,
Tester,001,2024-02-15_10h38.27.077,choiceRTT,2023.1.3,MacIntel,59.88023952,v,1,3.1218,,,,,,,,,1.8218,space,0,6,6,8,1,1.3,images/target_square.jpg,0.5047,
Tester,001,2024-02-15_10h38.27.077,choiceRTT,2023.1.3,MacIntel,59.88023952,c,1,2.428,,,,,,,,,1.128,space,0,7,7,3,1,1.3,images/target_cross.jpg,0.532,
Tester,001,2024-02-15_10h38.27.077,choiceRTT,2023.1.3,MacIntel,59.88023952,v,1,2.508,,,,,,,,,1.408,space,0,8,8,5,1,1.1,images/target_square.jpg,0.509,
