participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
Tjalle,001,2023-10-31_18h31.00.022,choiceRTT,2023.1.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tjalle,001,2023-10-31_18h31.00.022,choiceRTT,2023.1.3,Win32,60.0240096,v,0,3.41,,,,,,,,,2.11,,0,0,0,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,
Tjalle,001,2023-10-31_18h31.00.022,choiceRTT,2023.1.3,Win32,60.0240096,b,1,3.168,,,,,,,,,1.668,,0,1,1,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,
Tjalle,001,2023-10-31_18h31.00.022,choiceRTT,2023.1.3,Win32,60.0240096,v,1,2.578,,,,,,,,,1.478,,0,2,2,5,1,1.1,images/target_square.jpg,,,,,,,,,,,
Tjalle,001,2023-10-31_18h31.00.022,choiceRTT,2023.1.3,Win32,60.0240096,c,1,2.754,,,,,,,,,1.654,,0,3,3,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,
Tjalle,001,2023-10-31_18h31.00.022,choiceRTT,2023.1.3,Win32,60.0240096,b,1,2.604,,,,,,,,,1.304,,0,4,4,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,
Tjalle,001,2023-10-31_18h31.00.022,choiceRTT,2023.1.3,Win32,60.0240096,v,1,2.359,,,,,,,,,0.859,,0,5,5,2,1,1.5,images/target_square.jpg,,,,,,,,,,,
Tjalle,001,2023-10-31_18h31.00.022,choiceRTT,2023.1.3,Win32,60.0240096,c,1,3.19,,,,,,,,,1.69,,0,6,6,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,
Tjalle,001,2023-10-31_18h31.00.022,choiceRTT,2023.1.3,Win32,60.0240096,v,1,2.58,,,,,,,,,1.28,,0,7,7,8,1,1.3,images/target_square.jpg,,,,,,,,,,,
Tjalle,001,2023-10-31_18h31.00.022,choiceRTT,2023.1.3,Win32,60.0240096,b,1,2.087,,,,,,,,,0.987,,0,8,8,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,
Tjalle,001,2023-10-31_18h31.00.022,choiceRTT,2023.1.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,-0.013888889,-0.247222222,1,0,0,,,,,
Tjalle,001,2023-10-31_18h31.00.022,choiceRTT,2023.1.3,Win32,60.0240096,b,1,1.973,,,,,,,,,0.873,,,,,,,1.1,images/target_plus.jpg,,,,,,,0,0,0,7,1
Tjalle,001,2023-10-31_18h31.00.022,choiceRTT,2023.1.3,Win32,60.0240096,b,1,2.293,,,,,,,,,0.793,,,,,,,1.5,images/target_plus.jpg,,,,,,,0,1,1,4,1
Tjalle,001,2023-10-31_18h31.00.022,choiceRTT,2023.1.3,Win32,60.0240096,c,1,2.89,,,,,,,,,1.39,,,,,,,1.5,images/target_cross.jpg,,,,,,,0,2,2,6,1
Tjalle,001,2023-10-31_18h31.00.022,choiceRTT,2023.1.3,Win32,60.0240096,b,0,2.428,,,,,,,,,0.928,,,,,,,1.5,images/target_square.jpg,,,,,,,0,3,3,2,1
Tjalle,001,2023-10-31_18h31.00.022,choiceRTT,2023.1.3,Win32,60.0240096,b,0,2.939,,,,,,,,,1.839,,,,,,,1.1,images/target_cross.jpg,,,,,,,0,4,4,0,1
Tjalle,001,2023-10-31_18h31.00.022,choiceRTT,2023.1.3,Win32,60.0240096,v,1,2.039,,,,,,,,,0.939,,,,,,,1.1,images/target_square.jpg,,,,,,,0,5,5,5,1
Tjalle,001,2023-10-31_18h31.00.022,choiceRTT,2023.1.3,Win32,60.0240096,c,1,1.838,,,,,,,,,0.538,,,,,,,1.3,images/target_cross.jpg,,,,,,,0,6,6,3,1
Tjalle,001,2023-10-31_18h31.00.022,choiceRTT,2023.1.3,Win32,60.0240096,v,1,3.228,,,,,,,,,1.928,,,,,,,1.3,images/target_square.jpg,,,,,,,0,7,7,8,1
Tjalle,001,2023-10-31_18h31.00.022,choiceRTT,2023.1.3,Win32,60.0240096,b,1,2.226,,,,,,,,,0.926,,,,,,,1.3,images/target_plus.jpg,,,,,,,0,8,8,1,1
Tjalle,001,2023-10-31_18h31.00.022,choiceRTT,2023.1.3,Win32,60.0240096,b,0,2.24,,,,,,,,,0.94,,,,,,,1.3,images/target_square.jpg,,,,,,,1,0,9,8,1
