keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,0,2.93,,,,,,,,1.83,space,1.108,0,0,0,7,1,1.1,images/target_plus.jpg,Vanessa,001,2023-04-30_17h48.21.889,choiceRTT,2021.2.3,Win32,58.82352941,,,,,,,,,,,,
c,1,2.379,,,,,,,,0.879,space,1.18,0,1,1,6,1,1.5,images/target_cross.jpg,Vanessa,001,2023-04-30_17h48.21.889,choiceRTT,2021.2.3,Win32,58.82352941,,,,,,,,,,,,
c,1,2.128,,,,,,,,1.028,space,0.73,0,2,2,0,1,1.1,images/target_cross.jpg,Vanessa,001,2023-04-30_17h48.21.889,choiceRTT,2021.2.3,Win32,58.82352941,,,,,,,,,,,,
v,1,1.878,,,,,,,,0.578,space,0.713,0,3,3,8,1,1.3,images/target_square.jpg,Vanessa,001,2023-04-30_17h48.21.889,choiceRTT,2021.2.3,Win32,58.82352941,,,,,,,,,,,,
c,0,1.912,,,,,,,,0.612,space,0.722,0,4,4,1,1,1.3,images/target_plus.jpg,Vanessa,001,2023-04-30_17h48.21.889,choiceRTT,2021.2.3,Win32,58.82352941,,,,,,,,,,,,
v,1,1.804,,,,,,,,0.704,space,0.65,0,5,5,5,1,1.1,images/target_square.jpg,Vanessa,001,2023-04-30_17h48.21.889,choiceRTT,2021.2.3,Win32,58.82352941,,,,,,,,,,,,
b,1,1.807,,,,,,,,0.307,space,0.568,0,6,6,4,1,1.5,images/target_plus.jpg,Vanessa,001,2023-04-30_17h48.21.889,choiceRTT,2021.2.3,Win32,58.82352941,,,,,,,,,,,,
c,1,1.813,,,,,,,,0.513,space,0.568,0,7,7,3,1,1.3,images/target_cross.jpg,Vanessa,001,2023-04-30_17h48.21.889,choiceRTT,2021.2.3,Win32,58.82352941,,,,,,,,,,,,
v,1,2.011,,,,,,,,0.511,space,0.53,0,8,8,2,1,1.5,images/target_square.jpg,Vanessa,001,2023-04-30_17h48.21.889,choiceRTT,2021.2.3,Win32,58.82352941,,,,,,,,,,,,
v,1,1.845,,,,,,,,0.345,,,,,,,,1.5,images/target_square.jpg,Vanessa,001,2023-04-30_17h48.21.889,choiceRTT,2021.2.3,Win32,58.82352941,space,1.915,0.009259259,0.124074053,0,0,0,0,0,0,2,1
b,1,1.621,,,,,,,,0.521,,,,,,,,1.1,images/target_plus.jpg,Vanessa,001,2023-04-30_17h48.21.889,choiceRTT,2021.2.3,Win32,58.82352941,,,,,,,,0,1,1,7,1
c,1,1.819,,,,,,,,0.519,,,,,,,,1.3,images/target_cross.jpg,Vanessa,001,2023-04-30_17h48.21.889,choiceRTT,2021.2.3,Win32,58.82352941,,,,,,,,0,2,2,3,1
c,1,2.041,,,,,,,,0.541,,,,,,,,1.5,images/target_cross.jpg,Vanessa,001,2023-04-30_17h48.21.889,choiceRTT,2021.2.3,Win32,58.82352941,,,,,,,,0,3,3,6,1
c,0,1.922,,,,,,,,0.422,,,,,,,,1.5,images/target_plus.jpg,Vanessa,001,2023-04-30_17h48.21.889,choiceRTT,2021.2.3,Win32,58.82352941,,,,,,,,0,4,4,4,1
v,1,1.902,,,,,,,,0.602,,,,,,,,1.3,images/target_square.jpg,Vanessa,001,2023-04-30_17h48.21.889,choiceRTT,2021.2.3,Win32,58.82352941,,,,,,,,0,5,5,8,1
c,1,1.633,,,,,,,,0.533,,,,,,,,1.1,images/target_cross.jpg,Vanessa,001,2023-04-30_17h48.21.889,choiceRTT,2021.2.3,Win32,58.82352941,,,,,,,,0,6,6,0,1
v,1,1.82,,,,,,,,0.72,,,,,,,,1.1,images/target_square.jpg,Vanessa,001,2023-04-30_17h48.21.889,choiceRTT,2021.2.3,Win32,58.82352941,,,,,,,,0,7,7,5,1
c,0,2.436,,,,,,,,1.136,,,,,,,,1.3,images/target_plus.jpg,Vanessa,001,2023-04-30_17h48.21.889,choiceRTT,2021.2.3,Win32,58.82352941,,,,,,,,0,8,8,1,1
b,1,2.007,,,,,,,,0.707,,,,,,,,1.3,images/target_plus.jpg,Vanessa,001,2023-04-30_17h48.21.889,choiceRTT,2021.2.3,Win32,58.82352941,,,,,,,,1,0,9,1,1
v,1,1.973,,,,,,,,0.473,,,,,,,,1.5,images/target_square.jpg,Vanessa,001,2023-04-30_17h48.21.889,choiceRTT,2021.2.3,Win32,58.82352941,,,,,,,,1,1,10,2,1
v,1,2.09,,,,,,,,0.79,,,,,,,,1.3,images/target_square.jpg,Vanessa,001,2023-04-30_17h48.21.889,choiceRTT,2021.2.3,Win32,58.82352941,,,,,,,,1,2,11,8,1
c,1,1.937,,,,,,,,0.837,,,,,,,,1.1,images/target_cross.jpg,Vanessa,001,2023-04-30_17h48.21.889,choiceRTT,2021.2.3,Win32,58.82352941,,,,,,,,1,3,12,0,1
c,1,2.204,,,,,,,,0.904,,,,,,,,1.3,images/target_cross.jpg,Vanessa,001,2023-04-30_17h48.21.889,choiceRTT,2021.2.3,Win32,58.82352941,,,,,,,,1,4,13,3,1
v,1,1.682,,,,,,,,0.582,,,,,,,,1.1,images/target_square.jpg,Vanessa,001,2023-04-30_17h48.21.889,choiceRTT,2021.2.3,Win32,58.82352941,,,,,,,,1,5,14,5,1
c,1,2.137,,,,,,,,0.637,,,,,,,,1.5,images/target_cross.jpg,Vanessa,001,2023-04-30_17h48.21.889,choiceRTT,2021.2.3,Win32,58.82352941,,,,,,,,1,6,15,6,1
v,0,1.582,,,,,,,,0.482,,,,,,,,1.1,images/target_plus.jpg,Vanessa,001,2023-04-30_17h48.21.889,choiceRTT,2021.2.3,Win32,58.82352941,,,,,,,,1,7,16,7,1
