response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.091203692,-0.033796304,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,Veron,001,2021-10-26_23h27.12.973,choiceRTT,3.1.3,60,,,,,,
,0,-0.34814814,-0.021759267,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,Veron,001,2021-10-26_23h27.12.973,choiceRTT,3.1.3,60,,,,,,
,0,0.167592608,-0.021759267,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,Veron,001,2021-10-26_23h27.12.973,choiceRTT,3.1.3,60,,,,,,
,0,0.049537051,-0.031944452,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,Veron,001,2021-10-26_23h27.12.973,choiceRTT,3.1.3,60,,,,,,
,0,-0.079166598,-0.020370378,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,Veron,001,2021-10-26_23h27.12.973,choiceRTT,3.1.3,60,,,,,,
,0,0.472685205,0.027777771,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,Veron,001,2021-10-26_23h27.12.973,choiceRTT,3.1.3,60,,,,,,
,0,0.364351871,0.017129622,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,Veron,001,2021-10-26_23h27.12.973,choiceRTT,3.1.3,60,,,,,,
,0,-0.426388882,0.017592585,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,Veron,001,2021-10-26_23h27.12.973,choiceRTT,3.1.3,60,,,,,,
,0,-0.311574065,0.001388881,1,0,0,targImage,,,,,,,2.5554,-0.375,c,Veron,001,2021-10-26_23h27.12.973,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,0.31388902,0.033333326,1,0,0,targImage,,,,,,,1.2222,0.375,n,Veron,001,2021-10-26_23h27.12.973,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,0.078703718,-0.018518526,1,0,0,targImage,,,,,,,1.4444,0.125,b,Veron,001,2021-10-26_23h27.12.973,choiceRTT,3.1.3,60,1,0,40,10,1,39
