response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.100320171,-0.012273212,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,WM,001,2020-04-24_10h49.13.051,choiceRTT,3.1.3,60,,,,,,
,0,-0.104589114,-0.017609392,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,WM,001,2020-04-24_10h49.13.051,choiceRTT,3.1.3,60,,,,,,
,0,0.184631804,0.00266809,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,WM,001,2020-04-24_10h49.13.051,choiceRTT,3.1.3,60,,,,,,
,0,0.359658485,-0.00266809,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,WM,001,2020-04-24_10h49.13.051,choiceRTT,3.1.3,60,,,,,,
,0,-0.341515475,-0.01547492,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,WM,001,2020-04-24_10h49.13.051,choiceRTT,3.1.3,60,,,,,,
,0,-0.334044824,0.001600854,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,WM,001,2020-04-24_10h49.13.051,choiceRTT,3.1.3,60,,,,,,
,0,0.385272145,-0.030416222,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,WM,001,2020-04-24_10h49.13.051,choiceRTT,3.1.3,60,,,,,,
,0,0.173959445,-0.031483458,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,WM,001,2020-04-24_10h49.13.051,choiceRTT,3.1.3,60,,,,,,
,0,0.110992529,-0.031483458,1,0,0,targImage,,,,,,,1,0.125,b,WM,001,2020-04-24_10h49.13.051,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,-0.383137673,-0.044290288,1,0,0,targImage,,,,,,,1.2222,-0.375,c,WM,001,2020-04-24_10h49.13.051,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,0.350053362,0.016542156,1,0,0,targImage,,,,,,,1,0.375,n,WM,001,2020-04-24_10h49.13.051,choiceRTT,3.1.3,60,1,0,40,3,1,39
