keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,1,2.981,,,,,,,,1.881,space,5.461,0,0,0,0,1,1.1,images/target_cross.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,
v,1,2.9421,,,,,,,,1.4421,space,2.8456,0,1,1,2,1,1.5,images/target_square.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,
c,0,2.7616,,,,,,,,1.2616,space,6.8672,0,2,2,4,1,1.5,images/target_plus.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,
v,1,2.2722,,,,,,,,1.1722,space,2.6987,0,3,3,5,1,1.1,images/target_square.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,
c,1,2.9901,,,,,,,,1.4901,space,1.6244,0,4,4,6,1,1.5,images/target_cross.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,
v,1,2.0081,,,,,,,,0.7081,space,1.1777,0,5,5,8,1,1.3,images/target_square.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,
b,1,2.1162,,,,,,,,0.8162,space,1.1564,0,6,6,1,1,1.3,images/target_plus.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,
c,1,1.9764,,,,,,,,0.6764,space,1.0471,0,7,7,3,1,1.3,images/target_cross.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,
b,1,2.3955,,,,,,,,1.2955,space,2.3417,0,8,8,7,1,1.1,images/target_plus.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,
v,1,2.1695,,,,,,,,1.0695,,,,,,,,1.1,images/target_square.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,-0.045030653,-0.265471327,1,0,0,0,0,0,5,1
v,1,2.0245,,,,,,,,0.7245,,,,,,,,1.3,images/target_square.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,0,1,1,8,1
b,1,1.9128,,,,,,,,0.8128,,,,,,,,1.1,images/target_plus.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,0,2,2,7,1
c,1,2.3804,,,,,,,,1.0804,,,,,,,,1.3,images/target_cross.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,0,3,3,3,1
v,1,2.4269,,,,,,,,0.9269,,,,,,,,1.5,images/target_square.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,0,4,4,2,1
c,1,2.3388,,,,,,,,1.2388,,,,,,,,1.1,images/target_cross.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,0,5,5,0,1
b,1,1.9951,,,,,,,,0.6951,,,,,,,,1.3,images/target_plus.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,0,6,6,1,1
c,1,2.1975,,,,,,,,0.6975,,,,,,,,1.5,images/target_cross.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,0,7,7,6,1
b,1,2.3666,,,,,,,,0.8666,,,,,,,,1.5,images/target_plus.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,0,8,8,4,1
c,0,2.5274,,,,,,,,1.2274,,,,,,,,1.3,images/target_plus.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,1,0,9,1,1
c,1,1.8791,,,,,,,,0.7791,,,,,,,,1.1,images/target_cross.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,1,1,10,0,1
b,1,2.1465,,,,,,,,0.6465,,,,,,,,1.5,images/target_plus.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,1,2,11,4,1
c,1,1.9476,,,,,,,,0.6476,,,,,,,,1.3,images/target_cross.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,1,3,12,3,1
c,1,2.4574,,,,,,,,0.9574,,,,,,,,1.5,images/target_cross.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,1,4,13,6,1
v,1,2.1465,,,,,,,,0.8465,,,,,,,,1.3,images/target_square.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,1,5,14,8,1
b,1,2.0897,,,,,,,,0.9897,,,,,,,,1.1,images/target_plus.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,1,6,15,7,1
v,1,1.7929,,,,,,,,0.6929,,,,,,,,1.1,images/target_square.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,1,7,16,5,1
v,1,2.0767,,,,,,,,0.5767,,,,,,,,1.5,images/target_square.jpg,WPJ,001,2023-04-09_09h05.01.037,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,1,8,17,2,1
