keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,1,3.2923,,,,,,,,1.9923,c,11.5834,0,0,0,8,1,1.3,images/target_square.jpg,WPT,001,2023-04-09_18h28.14.377,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,,
b,1,2.1609,,,,,,,,1.0609,space,4.7901,0,1,1,7,1,1.1,images/target_plus.jpg,WPT,001,2023-04-09_18h28.14.377,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,,
b,0,2.0243,,,,,,,,0.5243,space,3.3234,0,2,2,6,1,1.5,images/target_cross.jpg,WPT,001,2023-04-09_18h28.14.377,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,,
c,1,1.9399,,,,,,,,0.6399,space,2.6918,0,3,3,3,1,1.3,images/target_cross.jpg,WPT,001,2023-04-09_18h28.14.377,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,,
b,1,2.1751,,,,,,,,0.6751,space,1.0773,0,4,4,4,1,1.5,images/target_plus.jpg,WPT,001,2023-04-09_18h28.14.377,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,,
v,1,2.1082,,,,,,,,1.0082,space,1.3858,0,5,5,5,1,1.1,images/target_square.jpg,WPT,001,2023-04-09_18h28.14.377,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,,
b,0,1.7288,,,,,,,,0.6288,space,1.3926,0,6,6,0,1,1.1,images/target_cross.jpg,WPT,001,2023-04-09_18h28.14.377,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,,
v,1,2.1104,,,,,,,,0.6104,space,0.9748,0,7,7,2,1,1.5,images/target_square.jpg,WPT,001,2023-04-09_18h28.14.377,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,,
b,1,1.9108,,,,,,,,0.6108,space,0.482,0,8,8,1,1,1.3,images/target_plus.jpg,WPT,001,2023-04-09_18h28.14.377,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,,
b,0,1.9035,,,,,,,,0.6035,,,,,,,,1.3,images/target_cross.jpg,WPT,001,2023-04-09_18h28.14.377,choiceRTT,2021.2.3,MacIntel,60.04202942,space,10.2088,0.048616943,-0.261404351,0,0,0,0,0,0,3,1
v,1,1.9286,,,,,,,,0.8286,,,,,,,,1.1,images/target_square.jpg,WPT,001,2023-04-09_18h28.14.377,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,0,1,1,5,1
b,1,1.7751,,,,,,,,0.6751,,,,,,,,1.1,images/target_plus.jpg,WPT,001,2023-04-09_18h28.14.377,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,0,2,2,7,1
v,1,1.9441,,,,,,,,0.6441,,,,,,,,1.3,images/target_square.jpg,WPT,001,2023-04-09_18h28.14.377,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,0,3,3,8,1
c,1,1.6639,,,,,,,,0.5639,,,,,,,,1.1,images/target_cross.jpg,WPT,001,2023-04-09_18h28.14.377,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,0,4,4,0,1
b,1,2.1236,,,,,,,,0.6236,,,,,,,,1.5,images/target_plus.jpg,WPT,001,2023-04-09_18h28.14.377,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,0,5,5,4,1
v,0,1.8743,,,,,,,,0.5743,,,,,,,,1.3,images/target_plus.jpg,WPT,001,2023-04-09_18h28.14.377,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,0,6,6,1,1
b,0,0.0216,,,,,,,,-1.4784,,,,,,,,1.5,images/target_square.jpg,WPT,001,2023-04-09_18h28.14.377,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,0,7,7,2,1
c,1,2.0631,,,,,,,,0.5631,,,,,,,,1.5,images/target_cross.jpg,WPT,001,2023-04-09_18h28.14.377,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,0,8,8,6,1
b,1,1.9178,,,,,,,,0.6178,,,,,,,,1.3,images/target_plus.jpg,WPT,001,2023-04-09_18h28.14.377,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,1,0,9,1,1
c,0,1.6763,,,,,,,,0.5763,,,,,,,,1.1,images/target_plus.jpg,WPT,001,2023-04-09_18h28.14.377,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,1,1,10,7,1
c,1,2.3159,,,,,,,,0.8159,,,,,,,,1.5,images/target_cross.jpg,WPT,001,2023-04-09_18h28.14.377,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,1,2,11,6,1
v,1,2.1219,,,,,,,,0.6219,,,,,,,,1.5,images/target_square.jpg,WPT,001,2023-04-09_18h28.14.377,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,1,3,12,2,1
b,0,2.2139,,,,,,,,0.9139,,,,,,,,1.3,images/target_cross.jpg,WPT,001,2023-04-09_18h28.14.377,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,1,4,13,3,1
c,1,1.8514,,,,,,,,0.7514,,,,,,,,1.1,images/target_cross.jpg,WPT,001,2023-04-09_18h28.14.377,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,1,5,14,0,1
