response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.35586977,-0.076144338,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,Zephyr,001,2021-08-18_10h53.13.264,choiceRTT,3.1.3,60,,,,,,
,0,0.061631362,-0.002908071,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,Zephyr,001,2021-08-18_10h53.13.264,choiceRTT,3.1.3,60,,,,,,
,0,0.122722546,-0.01832211,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,Zephyr,001,2021-08-18_10h53.13.264,choiceRTT,3.1.3,60,,,,,,
,0,-0.404142817,0.025742372,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,Zephyr,001,2021-08-18_10h53.13.264,choiceRTT,3.1.3,60,,,,,,
,0,-0.054040909,-0.007386645,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,Zephyr,001,2021-08-18_10h53.13.264,choiceRTT,3.1.3,60,,,,,,
,0,0.441414754,0.019045273,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,Zephyr,001,2021-08-18_10h53.13.264,choiceRTT,3.1.3,60,,,,,,
,0,-0.451241692,0.056210637,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,Zephyr,001,2021-08-18_10h53.13.264,choiceRTT,3.1.3,60,,,,,,
,0,-0.076859315,0.029101849,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,Zephyr,001,2021-08-18_10h53.13.264,choiceRTT,3.1.3,60,,,,,,
,0,0.06688873,-0.015088518,1,0,0,targImage,,,,,,,1.2222,0.125,b,Zephyr,001,2021-08-18_10h53.13.264,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,-0.097712994,7.1277E-05,1,0,0,targImage,,,,,,,1.6666,-0.125,v,Zephyr,001,2021-08-18_10h53.13.264,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,0.109606822,-0.005398075,1,0,0,targImage,,,,,,,2.7776,0.125,b,Zephyr,001,2021-08-18_10h53.13.264,choiceRTT,3.1.3,60,1,0,40,34,1,39
