response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.0390625,-0.024739583,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,,,,,,
,0,-0.436197917,0.01953125,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,,,,,,
,0,0.15234375,-0.04296875,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,,,,,,
,0,0.447916667,-0.045572917,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,,,,,,
,0,-0.447916667,0.0625,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,,,,,,
,0,-0.147135417,-0.03125,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,,,,,,
,0,-0.11328125,-0.046875,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,,,,,,
,0,0.375,0.002604167,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,,,,,,
,0,-0.040364583,-0.04296875,1,0,0,targImage,,,,,,,1.4444,-0.125,v,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,0.390625,-0.006510417,1,0,0,targImage,,,,,,,2.111,0.375,n,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,23,1,39
,0,-0.052083333,-0.036458333,1,0,0,targImage,,,,,,,1.8888,-0.125,v,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,0.1171875,0.016927083,1,0,0,targImage,,,,,,,1.4444,0.125,b,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,0.095052083,0.037760417,1,0,0,targImage,,,,,,,2.5554,0.125,b,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,0.305989583,-0.037760417,1,0,0,targImage,,,,,,,2.9998,0.375,n,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,-0.421875,0.0546875,1,0,0,targImage,,,,,,,1.4444,-0.375,c,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,-0.309895833,-0.006510417,1,0,0,targImage,,,,,,,2.9998,-0.375,c,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,0.330729167,0.001302083,1,0,0,targImage,,,,,,,2.3332,0.375,n,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,-0.471354167,0.065104167,1,0,0,targImage,,,,,,,2.3332,-0.375,c,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,0.055989583,0,1,0,0,targImage,,,,,,,1.2222,0.125,b,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,0.3671875,-0.020833333,1,0,0,targImage,,,,,,,1.6666,0.375,n,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,-0.114583333,0.01171875,1,0,0,targImage,,,,,,,1.2222,-0.125,v,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,0.143229167,-0.0625,1,0,0,targImage,,,,,,,2.111,0.125,b,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,0.104166667,0.092447917,1,0,0,targImage,,,,,,,1,0.125,b,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,0.33203125,-0.016927083,1,0,0,targImage,,,,,,,1.4444,0.375,n,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,0.092447917,-0.020833333,1,0,0,targImage,,,,,,,2.3332,0.125,b,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,-0.325520833,0.014322917,1,0,0,targImage,,,,,,,1.8888,-0.375,c,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,0.114583333,-0.045572917,1,0,0,targImage,,,,,,,1.6666,0.125,b,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,0.302083333,-0.015625,1,0,0,targImage,,,,,,,1.8888,0.375,n,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,-0.3515625,-0.0234375,1,0,0,targImage,,,,,,,2.7776,-0.375,c,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,0.178385417,0.0234375,1,0,0,targImage,,,,,,,2.7776,0.125,b,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,-0.075520833,-0.041666667,1,0,0,targImage,,,,,,,2.3332,-0.125,v,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,-0.11328125,-0.024739583,1,0,0,targImage,,,,,,,2.7776,-0.125,v,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,33,1,39
,0,0.138020833,0.05078125,1,0,0,targImage,,,,,,,2.9998,0.125,b,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,-0.364583333,0.024739583,1,0,0,targImage,,,,,,,2.5554,-0.375,c,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,-0.083333333,0.046875,1,0,0,targImage,,,,,,,1.6666,-0.125,v,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,0.057291667,-0.061197917,1,0,0,targImage,,,,,,,1.8888,0.125,b,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,-0.46484375,-0.048177083,1,0,0,targImage,,,,,,,1,-0.375,c,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,0.328125,-0.072916667,1,0,0,targImage,,,,,,,2.7776,0.375,n,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,0.44140625,0.096354167,1,0,0,targImage,,,,,,,2.5554,0.375,n,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,0.311197917,-0.0703125,1,0,0,targImage,,,,,,,1,0.375,n,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,-0.412760417,0.033854167,1,0,0,targImage,,,,,,,1.2222,-0.375,c,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,-0.06640625,-0.057291667,1,0,0,targImage,,,,,,,2.5554,-0.125,v,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,-0.40625,0.040364583,1,0,0,targImage,,,,,,,1.6666,-0.375,c,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,-0.053385417,-0.0390625,1,0,0,targImage,,,,,,,2.9998,-0.125,v,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,-0.078125,0.002604167,1,0,0,targImage,,,,,,,1,-0.125,v,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,0.279947917,-0.020833333,1,0,0,targImage,,,,,,,1.2222,0.375,n,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,-0.1171875,0.001302083,1,0,0,targImage,,,,,,,2.111,-0.125,v,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,-0.3125,-0.06640625,1,0,0,targImage,,,,,,,2.111,-0.375,c,a,001,2020-06-20_17h56.36.955,choiceRTT,3.1.3,60,1,0,40,20,1,39
