keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,1,2.3706,,,,,,,,1.0706,space,6.9096,0,0,0,1,1,1.3,images/target_plus.jpg,a,001,2023-07-07_14h12.50.469,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
b,0,2.3715,,,,,,,,0.8715,space,1.3932,0,1,1,6,1,1.5,images/target_cross.jpg,a,001,2023-07-07_14h12.50.469,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
v,1,2.2968,,,,,,,,1.1968,space,1.3982,0,2,2,5,1,1.1,images/target_square.jpg,a,001,2023-07-07_14h12.50.469,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
v,1,2.3622,,,,,,,,0.8622,space,0.8727,0,3,3,2,1,1.5,images/target_square.jpg,a,001,2023-07-07_14h12.50.469,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
b,1,2.2216,,,,,,,,0.7216,space,0.5308,0,4,4,4,1,1.5,images/target_plus.jpg,a,001,2023-07-07_14h12.50.469,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
c,1,2.0947,,,,,,,,0.9947,c,1.4043,0,5,5,0,1,1.1,images/target_cross.jpg,a,001,2023-07-07_14h12.50.469,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
b,1,2.2727,,,,,,,,1.1727,c,1.344,0,6,6,7,1,1.1,images/target_plus.jpg,a,001,2023-07-07_14h12.50.469,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
c,1,2.177,,,,,,,,0.877,c,0.8654,0,7,7,3,1,1.3,images/target_cross.jpg,a,001,2023-07-07_14h12.50.469,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
v,1,2.1616,,,,,,,,0.8616,v,0.665,0,8,8,8,1,1.3,images/target_square.jpg,a,001,2023-07-07_14h12.50.469,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
c,1,2.3339,,,,,,,,0.8339,,,,,,,,1.5,images/target_cross.jpg,a,001,2023-07-07_14h12.50.469,choiceRTT,2021.2.3,MacIntel,60.0024001,space,4.0221,0.016523438,0.010421007,0,0,0,0,0,0,6,1
v,0,2.3359,,,,,,,,1.0359,,,,,,,,1.3,images/target_plus.jpg,a,001,2023-07-07_14h12.50.469,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,1,1,1,1
v,1,2.1157,,,,,,,,0.8157,,,,,,,,1.3,images/target_square.jpg,a,001,2023-07-07_14h12.50.469,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,2,2,8,1
v,1,2.3766,,,,,,,,0.8766,,,,,,,,1.5,images/target_square.jpg,a,001,2023-07-07_14h12.50.469,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,3,3,2,1
b,1,2.1647,,,,,,,,1.0647,,,,,,,,1.1,images/target_plus.jpg,a,001,2023-07-07_14h12.50.469,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,4,4,7,1
c,1,1.7533,,,,,,,,0.6533,,,,,,,,1.1,images/target_cross.jpg,a,001,2023-07-07_14h12.50.469,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,5,5,0,1
c,1,2.0884,,,,,,,,0.7884,,,,,,,,1.3,images/target_cross.jpg,a,001,2023-07-07_14h12.50.469,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,6,6,3,1
v,1,1.7199,,,,,,,,0.6199,,,,,,,,1.1,images/target_square.jpg,a,001,2023-07-07_14h12.50.469,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,7,7,5,1
b,1,3.172,,,,,,,,1.672,,,,,,,,1.5,images/target_plus.jpg,a,001,2023-07-07_14h12.50.469,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,8,8,4,1
c,1,1.7625,,,,,,,,0.6625,,,,,,,,1.1,images/target_cross.jpg,a,001,2023-07-07_14h12.50.469,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,1,0,9,0,1
c,0,1.8749,,,,,,,,0.5749,,,,,,,,1.3,images/target_plus.jpg,a,001,2023-07-07_14h12.50.469,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,1,1,10,1,1
