response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,response.rt,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.327777778,0.022916667,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,aaa,001,2021-02-08_15h48.34.358,choiceRTT,3.1.3,60,,,,,,,
,0,-0.372916667,0.007638889,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,aaa,001,2021-02-08_15h48.34.358,choiceRTT,3.1.3,60,,,,,,,
,0,0.136111111,0.016666667,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,aaa,001,2021-02-08_15h48.34.358,choiceRTT,3.1.3,60,,,,,,,
n,1,0.135416667,0.023611111,0,0,0,,1,0,8,3,1,7,1,0.375,n,aaa,001,2021-02-08_15h48.34.358,choiceRTT,3.1.3,60,1.861999989,,,,,,
v,1,0.135416667,0.023611111,0,0,0,,1,0,8,5,1,7,1,-0.125,v,aaa,001,2021-02-08_15h48.34.358,choiceRTT,3.1.3,60,1.013000011,,,,,,
n,1,0.135416667,0.023611111,0,0,0,,1,0,8,7,1,7,1,0.375,n,aaa,001,2021-02-08_15h48.34.358,choiceRTT,3.1.3,60,0.478000164,,,,,,
n,0,0.135416667,0.023611111,0,0,0,,1,0,8,6,1,7,1,0.125,b,aaa,001,2021-02-08_15h48.34.358,choiceRTT,3.1.3,60,0.361999989,,,,,,
n,0,0.135416667,0.023611111,0,0,0,,1,0,8,1,1,7,1,-0.125,v,aaa,001,2021-02-08_15h48.34.358,choiceRTT,3.1.3,60,0.194000006,,,,,,
n,0,0.135416667,0.023611111,0,0,0,,,,,,,,2.111,-0.375,c,aaa,001,2021-02-08_15h48.34.358,choiceRTT,3.1.3,60,1.513000011,1,0,40,20,1,39
v,0,0.135416667,0.023611111,0,0,0,,,,,,,,2.3332,0.375,n,aaa,001,2021-02-08_15h48.34.358,choiceRTT,3.1.3,60,1.161999941,1,0,40,27,1,39
v,1,0.135416667,0.023611111,0,0,0,,,,,,,,1.2222,-0.125,v,aaa,001,2021-02-08_15h48.34.358,choiceRTT,3.1.3,60,1.646999836,1,0,40,5,1,39
n,0,0.135416667,0.023611111,0,0,0,,,,,,,,1.6666,-0.125,v,aaa,001,2021-02-08_15h48.34.358,choiceRTT,3.1.3,60,0.312999964,1,0,40,13,1,39
v,0,0.135416667,0.023611111,0,0,0,,,,,,,,1.6666,-0.375,c,aaa,001,2021-02-08_15h48.34.358,choiceRTT,3.1.3,60,0.463000059,1,0,40,12,1,39
b,0,0.135416667,0.023611111,0,0,0,,,,,,,,2.7776,-0.125,v,aaa,001,2021-02-08_15h48.34.358,choiceRTT,3.1.3,60,0.930000067,1,0,40,33,1,39
v,0,0.135416667,0.023611111,0,0,0,,,,,,,,1.2222,-0.375,c,aaa,001,2021-02-08_15h48.34.358,choiceRTT,3.1.3,60,0.595999956,1,0,40,4,1,39
n,1,0.096527778,0.044444444,0,0,0,,,,,,,,2.111,0.375,n,aaa,001,2021-02-08_15h48.34.358,choiceRTT,3.1.3,60,1.894999981,1,0,40,23,1,39
n,1,0.096527778,0.044444444,0,0,0,,,,,,,,1.2222,0.375,n,aaa,001,2021-02-08_15h48.34.358,choiceRTT,3.1.3,60,0.630000114,1,0,40,7,1,39
n,1,0.096527778,0.044444444,0,0,0,,,,,,,,2.7776,0.375,n,aaa,001,2021-02-08_15h48.34.358,choiceRTT,3.1.3,60,0.511999846,1,0,40,35,1,39
c,1,0.096527778,0.044444444,0,0,0,,,,,,,,2.5554,-0.375,c,aaa,001,2021-02-08_15h48.34.358,choiceRTT,3.1.3,60,0.362999916,1,0,40,28,1,39
n,1,0.096527778,0.044444444,0,0,0,,,,,,,,2.9998,0.375,n,aaa,001,2021-02-08_15h48.34.358,choiceRTT,3.1.3,60,0.378000021,1,0,40,39,1,39
b,1,0.184722222,0.5,0,0,0,,,,,,,,2.3332,0.125,b,aaa,001,2021-02-08_15h48.34.358,choiceRTT,3.1.3,60,0.529000044,1,0,40,26,1,39
b,1,0.184722222,0.5,0,0,0,,,,,,,,2.5554,0.125,b,aaa,001,2021-02-08_15h48.34.358,choiceRTT,3.1.3,60,0.445999861,1,0,40,30,1,39
b,1,0.184722222,0.5,0,0,0,,,,,,,,1.4444,0.125,b,aaa,001,2021-02-08_15h48.34.358,choiceRTT,3.1.3,60,0.479000092,1,0,40,10,1,39
b,0,0.38702111,0.388193901,0,0,0,,,,,,,,1,-0.375,c,aaa,001,2021-02-08_15h48.34.358,choiceRTT,3.1.3,60,10.00399995,1,0,40,0,1,39
