response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.397222222,-0.042592593,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,adfadf,001,2021-07-21_18h52.25.011,choiceRTT,3.1.3,60,,,,,,
,0,-0.075,-0.048148148,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,adfadf,001,2021-07-21_18h52.25.011,choiceRTT,3.1.3,60,,,,,,
,0,-0.412962963,-0.053703704,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,adfadf,001,2021-07-21_18h52.25.011,choiceRTT,3.1.3,60,,,,,,
,0,0.082407407,-0.026851852,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,adfadf,001,2021-07-21_18h52.25.011,choiceRTT,3.1.3,60,,,,,,
,0,-0.324074074,-0.025925926,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,adfadf,001,2021-07-21_18h52.25.011,choiceRTT,3.1.3,60,,,,,,
,0,0.078703704,-0.012962963,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,adfadf,001,2021-07-21_18h52.25.011,choiceRTT,3.1.3,60,,,,,,
,0,-0.056491576,-0.027254708,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,adfadf,001,2021-07-21_18h52.25.011,choiceRTT,3.1.3,60,,,,,,
,0,0.399405352,-0.014370664,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,adfadf,001,2021-07-21_18h52.25.011,choiceRTT,3.1.3,60,,,,,,
,0,-0.113974232,0.023290387,1,0,0,targImage,,,,,,,2.5554,-0.125,v,adfadf,001,2021-07-21_18h52.25.011,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,-0.362735382,-0.011397423,1,0,0,targImage,,,,,,,1.6666,-0.375,c,adfadf,001,2021-07-21_18h52.25.011,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,-0.136769078,-0.030227948,1,0,0,targImage,,,,,,,2.7776,-0.125,v,adfadf,001,2021-07-21_18h52.25.011,choiceRTT,3.1.3,60,1,0,40,33,1,39
