keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,0,8.0178,,,,,,,,6.7178,b,14.9197,0,0,0,8,1,1.3,images/target_square.jpg,adolfo,001,03-21-2023_14h40.36.620,choiceRTT,2021.2.3,Win32,60.0528465,,,,,,,,,,,
c,0,2.0889,,,,,,,,0.9889,c,2.0291,0,1,1,5,1,1.1,images/target_square.jpg,adolfo,001,03-21-2023_14h40.36.620,choiceRTT,2021.2.3,Win32,60.0528465,,,,,,,,,,,
b,1,1.7761,,,,,,,,0.6761,b,16.7416,0,2,2,7,1,1.1,images/target_plus.jpg,adolfo,001,03-21-2023_14h40.36.620,choiceRTT,2021.2.3,Win32,60.0528465,,,,,,,,,,,
c,1,1.6105,,,,,,,,0.5105,b,0.568,0,3,3,0,1,1.1,images/target_cross.jpg,adolfo,001,03-21-2023_14h40.36.620,choiceRTT,2021.2.3,Win32,60.0528465,,,,,,,,,,,
c,0,2.1851,,,,,,,,0.6851,v,2.6291,0,4,4,2,1,1.5,images/target_square.jpg,adolfo,001,03-21-2023_14h40.36.620,choiceRTT,2021.2.3,Win32,60.0528465,,,,,,,,,,,
b,1,1.8382,,,,,,,,0.5382,b,3.3621,0,5,5,1,1,1.3,images/target_plus.jpg,adolfo,001,03-21-2023_14h40.36.620,choiceRTT,2021.2.3,Win32,60.0528465,,,,,,,,,,,
v,0,2.1904,,,,,,,,0.6904,v,1.5621,0,6,6,4,1,1.5,images/target_plus.jpg,adolfo,001,03-21-2023_14h40.36.620,choiceRTT,2021.2.3,Win32,60.0528465,,,,,,,,,,,
v,0,1.9313,,,,,,,,0.6313,v,4.4302,0,7,7,3,1,1.3,images/target_cross.jpg,adolfo,001,03-21-2023_14h40.36.620,choiceRTT,2021.2.3,Win32,60.0528465,,,,,,,,,,,
v,0,2.1045,,,,,,,,0.6045,v,6.4638,0,8,8,6,1,1.5,images/target_cross.jpg,adolfo,001,03-21-2023_14h40.36.620,choiceRTT,2021.2.3,Win32,60.0528465,,,,,,,,,,,
c,0,2.2716,,,,,,,,0.7716,,,,,,,,1.5,images/target_square.jpg,adolfo,001,03-21-2023_14h40.36.620,choiceRTT,2021.2.3,Win32,60.0528465,,0.02962963,-0.242592593,1,0,0,0,0,0,2,1
v,1,2.0047,,,,,,,,0.7047,,,,,,,,1.3,images/target_square.jpg,adolfo,001,03-21-2023_14h40.36.620,choiceRTT,2021.2.3,Win32,60.0528465,,,,,,,0,1,1,8,1
c,1,1.7891,,,,,,,,0.6891,,,,,,,,1.1,images/target_cross.jpg,adolfo,001,03-21-2023_14h40.36.620,choiceRTT,2021.2.3,Win32,60.0528465,,,,,,,0,2,2,0,1
b,1,1.7975,,,,,,,,0.6975,,,,,,,,1.1,images/target_plus.jpg,adolfo,001,03-21-2023_14h40.36.620,choiceRTT,2021.2.3,Win32,60.0528465,,,,,,,0,3,3,7,1
b,1,1.9381,,,,,,,,0.6381,,,,,,,,1.3,images/target_plus.jpg,adolfo,001,03-21-2023_14h40.36.620,choiceRTT,2021.2.3,Win32,60.0528465,,,,,,,0,4,4,1,1
b,1,2.0152,,,,,,,,0.5152,,,,,,,,1.5,images/target_plus.jpg,adolfo,001,03-21-2023_14h40.36.620,choiceRTT,2021.2.3,Win32,60.0528465,,,,,,,0,5,5,4,1
v,1,2.0142,,,,,,,,0.9142,,,,,,,,1.1,images/target_square.jpg,adolfo,001,03-21-2023_14h40.36.620,choiceRTT,2021.2.3,Win32,60.0528465,,,,,,,0,6,6,5,1
c,1,2.029,,,,,,,,0.529,,,,,,,,1.5,images/target_cross.jpg,adolfo,001,03-21-2023_14h40.36.620,choiceRTT,2021.2.3,Win32,60.0528465,,,,,,,0,7,7,6,1
c,1,1.8548,,,,,,,,0.5548,,,,,,,,1.3,images/target_cross.jpg,adolfo,001,03-21-2023_14h40.36.620,choiceRTT,2021.2.3,Win32,60.0528465,,,,,,,0,8,8,3,1
c,1,1.9939,,,,,,,,0.4939,,,,,,,,1.5,images/target_cross.jpg,adolfo,001,03-21-2023_14h40.36.620,choiceRTT,2021.2.3,Win32,60.0528465,,,,,,,1,0,9,6,1
v,0,3.4738,,,,,,,,1.9738,,,,,,,,1.5,images/target_plus.jpg,adolfo,001,03-21-2023_14h40.36.620,choiceRTT,2021.2.3,Win32,60.0528465,,,,,,,1,1,10,4,1
b,1,1.7003,,,,,,,,0.6003,,,,,,,,1.1,images/target_plus.jpg,adolfo,001,03-21-2023_14h40.36.620,choiceRTT,2021.2.3,Win32,60.0528465,,,,,,,1,2,11,7,1
