response.keys,response.corr,response.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
n,1,4.274999857,-0.888888889,0.5,0,0,0,1,0,8,3,1,7,1,0.375,n,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,,,,,,
b,1,0.761000156,-0.888888889,0.5,0,0,0,1,0,8,2,1,7,1,0.125,b,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,,,,,,
b,0,0.625,-0.888888889,0.5,0,0,0,1,0,8,1,1,7,1,-0.125,v,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,,,,,,
b,0,0.792999983,-0.888888889,0.5,0,0,0,1,0,8,5,1,7,1,-0.125,v,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,,,,,,
v,0,0.943000078,-0.888888889,0.5,0,0,0,1,0,8,0,1,7,1,-0.375,c,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,,,,,,
b,1,0.859999895,-0.888888889,0.5,0,0,0,1,0,8,6,1,7,1,0.125,b,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,,,,,,
v,0,0.358999968,-0.888888889,0.5,0,0,0,1,0,8,4,1,7,1,-0.375,c,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,,,,,,
b,0,0.375999928,-0.888888889,0.5,0,0,0,1,0,8,7,1,7,1,0.375,n,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,,,,,,
b,0,1.292000055,-0.888888889,0.5,0,0,0,,,,,,,2.7776,0.375,n,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,35,1,39
b,0,0.609999895,-0.888888889,0.5,0,0,0,,,,,,,1.8888,0.375,n,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,19,1,39
b,0,0.409000158,-0.888888889,0.5,0,0,0,,,,,,,1.2222,0.375,n,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,7,1,39
v,0,0.691999912,-0.888888889,0.5,0,0,0,,,,,,,2.5554,0.125,b,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,30,1,39
v,1,0.458999872,-0.888888889,0.5,0,0,0,,,,,,,2.9998,-0.125,v,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,37,1,39
v,0,0.50999999,-0.888888889,0.5,0,0,0,,,,,,,2.9998,0.375,n,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,39,1,39
v,1,0.42599988,-0.888888889,0.5,0,0,0,,,,,,,2.3332,-0.125,v,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,25,1,39
v,0,0.592999935,-0.888888889,0.5,0,0,0,,,,,,,1.4444,0.125,b,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,10,1,39
v,1,0.776000023,-0.888888889,0.5,0,0,0,,,,,,,1,-0.125,v,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,1,1,39
v,0,0.493000031,-0.888888889,0.5,0,0,0,,,,,,,2.111,0.125,b,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,22,1,39
v,0,0.494000196,-0.888888889,0.5,0,0,0,,,,,,,2.5554,0.375,n,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,31,1,39
v,0,0.493000031,-0.888888889,0.5,0,0,0,,,,,,,1.6666,-0.375,c,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,12,1,39
v,0,0.975000143,-0.888888889,0.5,0,0,0,,,,,,,1,0.125,b,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,2,1,39
v,0,0.559999943,-0.888888889,0.5,0,0,0,,,,,,,1,0.375,n,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,3,1,39
v,0,0.911000013,-0.888888889,0.5,0,0,0,,,,,,,2.9998,0.125,b,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,38,1,39
v,0,0.475999832,-0.888888889,0.5,0,0,0,,,,,,,2.7776,0.125,b,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,34,1,39
v,0,0.509000063,-0.888888889,0.5,0,0,0,,,,,,,1.6666,0.125,b,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,14,1,39
v,1,0.844000101,-0.888888889,0.5,0,0,0,,,,,,,1.6666,-0.125,v,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,13,1,39
v,1,0.508999825,-0.888888889,0.5,0,0,0,,,,,,,2.5554,-0.125,v,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,29,1,39
v,1,0.509000063,-0.888888889,0.5,0,0,0,,,,,,,2.7776,-0.125,v,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,33,1,39
v,0,0.474999905,-0.888888889,0.5,0,0,0,,,,,,,1.4444,-0.375,c,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,8,1,39
v,1,0.593000174,-0.888888889,0.5,0,0,0,,,,,,,1.4444,-0.125,v,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,9,1,39
v,0,0.85800004,0.829166667,-0.195138889,0,0,0,,,,,,,1.8888,-0.375,c,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,16,1,39
n,1,7.461000204,0.051388889,-0.11875,0,0,0,,,,,,,2.111,0.375,n,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,23,1,39
n,1,0.626000166,0.051388889,-0.11875,0,0,0,,,,,,,1.6666,0.375,n,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,15,1,39
b,0,0.525000095,0.051388889,-0.11875,0,0,0,,,,,,,2.3332,-0.375,c,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,24,1,39
b,0,0.557999849,0.051388889,-0.11875,0,0,0,,,,,,,2.7776,-0.375,c,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,32,1,39
v,0,0.607000113,0.051388889,-0.11875,0,0,0,,,,,,,1.2222,-0.375,c,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,4,1,39
b,0,0.493000031,0.051388889,-0.11875,0,0,0,,,,,,,1,-0.375,c,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,0,1,39
n,1,0.242999792,0.051388889,-0.11875,0,0,0,,,,,,,1.4444,0.375,n,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,11,1,39
b,0,0.042999983,0.051388889,-0.11875,0,0,0,,,,,,,2.111,-0.375,c,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,20,1,39
v,0,0.309999943,0.051388889,-0.11875,0,0,0,,,,,,,1.8888,0.125,b,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,18,1,39
b,0,0.576999903,0.051388889,-0.11875,0,0,0,,,,,,,2.3332,0.375,n,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,27,1,39
n,0,0.493000031,0.051388889,-0.11875,0,0,0,,,,,,,2.3332,0.125,b,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,26,1,39
b,1,0.424999952,0.051388889,-0.11875,0,0,0,,,,,,,1.2222,0.125,b,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,6,1,39
b,0,0.759000063,0.051388889,-0.11875,0,0,0,,,,,,,2.5554,-0.375,c,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,28,1,39
n,0,0.258999825,0.051388889,-0.11875,0,0,0,,,,,,,2.9998,-0.375,c,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,36,1,39
b,0,0.691999912,0.051388889,-0.11875,0,0,0,,,,,,,1.8888,-0.125,v,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,17,1,39
b,0,0.493000031,0.864583333,0.113194444,0,0,0,,,,,,,1.2222,-0.125,v,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,5,1,39
b,0,2.59499979,0.436805556,0.186805556,0,0,0,,,,,,,2.111,-0.125,v,albert,001,2020-10-20_15h41.35.392,choiceRTT,3.1.3,60,1,0,40,21,1,39
