keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,1,2.7,,,,,,,,1.2,c,15.353,0,0,0,6,1,1.5,images/target_cross.jpg,ano,001,2023-01-30_20h37.15.188,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
v,1,2.171,,,,,,,,0.671,c,9.007,0,1,1,2,1,1.5,images/target_square.jpg,ano,001,2023-01-30_20h37.15.188,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
b,0,1.755,,,,,,,,0.455,c,7.228,0,2,2,3,1,1.3,images/target_cross.jpg,ano,001,2023-01-30_20h37.15.188,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
v,1,2.011,,,,,,,,0.711,space,109.647,0,3,3,8,1,1.3,images/target_square.jpg,ano,001,2023-01-30_20h37.15.188,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
v,0,1.855,,,,,,,,0.755,space,1.966,0,4,4,0,1,1.1,images/target_cross.jpg,ano,001,2023-01-30_20h37.15.188,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
b,1,3.039,,,,,,,,1.939,space,2.037,0,5,5,7,1,1.1,images/target_plus.jpg,ano,001,2023-01-30_20h37.15.188,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
b,1,1.924,,,,,,,,0.424,space,2.996,0,6,6,4,1,1.5,images/target_plus.jpg,ano,001,2023-01-30_20h37.15.188,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
v,1,1.807,,,,,,,,0.707,space,1.562,0,7,7,5,1,1.1,images/target_square.jpg,ano,001,2023-01-30_20h37.15.188,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
v,0,1.822,,,,,,,,0.522,c,0.113,0,8,8,1,1,1.3,images/target_plus.jpg,ano,001,2023-01-30_20h37.15.188,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
b,1,2.094,,,,,,,,0.794,,,,,,,,1.3,images/target_plus.jpg,ano,001,2023-01-30_20h37.15.188,choiceRTT,2021.2.3,Win32,60.0240096,space,8.254,0.219907407,-0.303240741,0,0,0,0,0,0,1,1
v,1,1.726,,,,,,,,0.626,,,,,,,,1.1,images/target_square.jpg,ano,001,2023-01-30_20h37.15.188,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,0,1,1,5,1
v,1,1.877,,,,,,,,0.577,,,,,,,,1.3,images/target_square.jpg,ano,001,2023-01-30_20h37.15.188,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,0,2,2,8,1
b,0,1.643,,,,,,,,0.543,,,,,,,,1.1,images/target_cross.jpg,ano,001,2023-01-30_20h37.15.188,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,0,3,3,0,1
