response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.123697917,0.001302083,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,as,001,2021-11-30_16h08.41.273,choiceRTT,3.1.3,60,,,,,,
,0,0.123697917,0.001302083,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,as,001,2021-11-30_16h08.41.273,choiceRTT,3.1.3,60,,,,,,
,0,0.372395833,0.013020833,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,as,001,2021-11-30_16h08.41.273,choiceRTT,3.1.3,60,,,,,,
,0,-0.12109375,-0.005208333,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,as,001,2021-11-30_16h08.41.273,choiceRTT,3.1.3,60,,,,,,
,0,0.375,0,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,as,001,2021-11-30_16h08.41.273,choiceRTT,3.1.3,60,,,,,,
,0,-0.372395833,-0.002604167,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,as,001,2021-11-30_16h08.41.273,choiceRTT,3.1.3,60,,,,,,
,0,-0.375,-0.0078125,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,as,001,2021-11-30_16h08.41.273,choiceRTT,3.1.3,60,,,,,,
,0,-0.12109375,0.001302083,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,as,001,2021-11-30_16h08.41.273,choiceRTT,3.1.3,60,,,,,,
,0,0.125,0,1,0,0,targImage,,,,,,,1,0.125,b,as,001,2021-11-30_16h08.41.273,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,-0.37109375,0.001302083,1,0,0,targImage,,,,,,,1.4444,-0.375,c,as,001,2021-11-30_16h08.41.273,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,-0.358072917,-0.015625,1,0,0,targImage,,,,,,,2.7776,-0.375,c,as,001,2021-11-30_16h08.41.273,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,-0.125,0.002604167,1,0,0,targImage,,,,,,,2.9998,-0.125,v,as,001,2021-11-30_16h08.41.273,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,-0.125,0.002604167,1,0,0,targImage,,,,,,,1.6666,-0.125,v,as,001,2021-11-30_16h08.41.273,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,0.365885417,-0.001302083,1,0,0,targImage,,,,,,,2.3332,0.375,n,as,001,2021-11-30_16h08.41.273,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,0.122395833,-0.009114583,1,0,0,targImage,,,,,,,2.3332,0.125,b,as,001,2021-11-30_16h08.41.273,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,-0.125,-0.002604167,1,0,0,targImage,,,,,,,1.8888,-0.125,v,as,001,2021-11-30_16h08.41.273,choiceRTT,3.1.3,60,1,0,40,17,1,39
