response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.206481481,-0.000925926,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,asdf,001,2022-01-06_08h09.15.147,choiceRTT,3.1.3,60,,,,,,
,0,0.160185185,-0.012962963,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,asdf,001,2022-01-06_08h09.15.147,choiceRTT,3.1.3,60,,,,,,
,0,-0.137962963,-0.001851852,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,asdf,001,2022-01-06_08h09.15.147,choiceRTT,3.1.3,60,,,,,,
,0,-0.437037037,0.040740741,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,asdf,001,2022-01-06_08h09.15.147,choiceRTT,3.1.3,60,,,,,,
,0,-0.099074074,-0.003703704,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,asdf,001,2022-01-06_08h09.15.147,choiceRTT,3.1.3,60,,,,,,
,0,-0.325925926,0.030555556,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,asdf,001,2022-01-06_08h09.15.147,choiceRTT,3.1.3,60,,,,,,
,0,0.382407407,-0.062962963,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,asdf,001,2022-01-06_08h09.15.147,choiceRTT,3.1.3,60,,,,,,
,0,0.399074074,-0.023148148,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,asdf,001,2022-01-06_08h09.15.147,choiceRTT,3.1.3,60,,,,,,
,0,0.134259259,-0.007407407,1,0,0,targImage,,,,,,,1.6666,0.125,b,asdf,001,2022-01-06_08h09.15.147,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,0.134259259,-0.007407407,1,0,0,targImage,,,,,,,1,0.125,b,asdf,001,2022-01-06_08h09.15.147,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,0.324074074,-0.006481481,1,0,0,targImage,,,,,,,1.8888,0.375,n,asdf,001,2022-01-06_08h09.15.147,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,-0.087962963,0.006481481,1,0,0,targImage,,,,,,,1,-0.125,v,asdf,001,2022-01-06_08h09.15.147,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,-0.156481481,0.006481481,1,0,0,targImage,,,,,,,2.111,-0.125,v,asdf,001,2022-01-06_08h09.15.147,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,-0.125,-0.00462963,1,0,0,targImage,,,,,,,2.7776,-0.125,v,asdf,001,2022-01-06_08h09.15.147,choiceRTT,3.1.3,60,1,0,40,33,1,39
,0,0.421296296,-0.05,1,0,0,targImage,,,,,,,2.3332,0.375,n,asdf,001,2022-01-06_08h09.15.147,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,-0.325,-0.02037037,1,0,0,targImage,,,,,,,2.9998,-0.375,c,asdf,001,2022-01-06_08h09.15.147,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,0.334259259,-0.025,1,0,0,targImage,,,,,,,2.7776,0.375,n,asdf,001,2022-01-06_08h09.15.147,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,0.086111111,-0.046296296,1,0,0,targImage,,,,,,,2.111,0.125,b,asdf,001,2022-01-06_08h09.15.147,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,-0.07037037,-0.04537037,1,0,0,targImage,,,,,,,2.3332,-0.125,v,asdf,001,2022-01-06_08h09.15.147,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,-0.356481481,-0.04537037,1,0,0,targImage,,,,,,,1,-0.375,c,asdf,001,2022-01-06_08h09.15.147,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,-0.368518519,-0.028703704,1,0,0,targImage,,,,,,,1.4444,-0.375,c,asdf,001,2022-01-06_08h09.15.147,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,-0.396296296,0.021296296,1,0,0,targImage,,,,,,,1.8888,-0.375,c,asdf,001,2022-01-06_08h09.15.147,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,0.085185185,-0.02037037,1,0,0,targImage,,,,,,,1.8888,0.125,b,asdf,001,2022-01-06_08h09.15.147,choiceRTT,3.1.3,60,1,0,40,18,1,39
