keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,-0.214814801,-0.241203732,1,0,0,3.4208,cross_button,1,1.9208,,0,0,0,6,1,1.5,images/target_cross.jpg,asdf,001,2023-01-10_23h39.08.150,choiceRTT,2021.2.3,Win32,19.9676524,,,,,,,,,,,,
,0,-0.255555556,-0.281018575,1,0,0,2.3693,cross_button,1,1.0693,,0,1,1,3,1,1.3,images/target_cross.jpg,asdf,001,2023-01-10_23h39.08.150,choiceRTT,2021.2.3,Win32,19.9676524,,,,,,,,,,,,
,0,-0.230555556,-0.265740797,1,0,0,1.9044,cross_button,1,0.8044,,0,2,2,0,1,1.1,images/target_cross.jpg,asdf,001,2023-01-10_23h39.08.150,choiceRTT,2021.2.3,Win32,19.9676524,,,,,,,,,,,,
,0,0.252777778,-0.227777778,1,0,0,2.5585,plus_button,1,1.2585,,0,3,3,1,1,1.3,images/target_plus.jpg,asdf,001,2023-01-10_23h39.08.150,choiceRTT,2021.2.3,Win32,19.9676524,,,,,,,,,,,,
,0,-0.006944444,-0.256944444,1,0,0,1.7741,square_button,1,0.4741,,0,4,4,8,1,1.3,images/target_square.jpg,asdf,001,2023-01-10_23h39.08.150,choiceRTT,2021.2.3,Win32,19.9676524,,,,,,,,,,,,
,0,-0.2125,-0.258333333,1,0,0,3.1439,cross_button,0,2.0439,,0,5,5,7,1,1.1,images/target_plus.jpg,asdf,001,2023-01-10_23h39.08.150,choiceRTT,2021.2.3,Win32,19.9676524,,,,,,,,,,,,
,0,0.211111111,-0.226388889,1,0,0,3.6174,plus_button,0,2.1174,,0,6,6,2,1,1.5,images/target_square.jpg,asdf,001,2023-01-10_23h39.08.150,choiceRTT,2021.2.3,Win32,19.9676524,,,,,,,,,,,,
b,1,,,,,,,,,0.5369,,0,7,7,4,1,1.5,images/target_plus.jpg,asdf,001,2023-01-10_23h39.08.150,choiceRTT,2021.2.3,Win32,19.9676524,2.0369,,,,,,,,,,,
v,1,,,,,,,,,1.0769,,0,8,8,5,1,1.1,images/target_square.jpg,asdf,001,2023-01-10_23h39.08.150,choiceRTT,2021.2.3,Win32,19.9676524,2.1769,,,,,,,,,,,
b,1,,,,,,,,,0.7536,,,,,,,1.3,images/target_plus.jpg,asdf,001,2023-01-10_23h39.08.150,choiceRTT,2021.2.3,Win32,19.9676524,2.0536,,0.046759288,-0.245370399,1,0,0,0,0,0,1,1
c,1,,,,,,,,,1.4457,,,,,,,1.1,images/target_cross.jpg,asdf,001,2023-01-10_23h39.08.150,choiceRTT,2021.2.3,Win32,19.9676524,2.5457,,,,,,,0,1,1,0,1
b,1,,,,,,,,,0.8737,,,,,,,1.1,images/target_plus.jpg,asdf,001,2023-01-10_23h39.08.150,choiceRTT,2021.2.3,Win32,19.9676524,1.9737,,,,,,,0,2,2,7,1
v,1,,,,,,,,,0.8427,,,,,,,1.5,images/target_square.jpg,asdf,001,2023-01-10_23h39.08.150,choiceRTT,2021.2.3,Win32,19.9676524,2.3427,,,,,,,0,3,3,2,1
v,1,,,,,,,,,1.3063,,,,,,,1.3,images/target_square.jpg,asdf,001,2023-01-10_23h39.08.150,choiceRTT,2021.2.3,Win32,19.9676524,2.6063,,,,,,,0,4,4,8,1
b,1,,,,,,,,,1.1635,,,,,,,1.5,images/target_plus.jpg,asdf,001,2023-01-10_23h39.08.150,choiceRTT,2021.2.3,Win32,19.9676524,2.6635,,,,,,,0,5,5,4,1
c,1,,,,,,,,,0.5818,,,,,,,1.5,images/target_cross.jpg,asdf,001,2023-01-10_23h39.08.150,choiceRTT,2021.2.3,Win32,19.9676524,2.0818,,,,,,,0,6,6,6,1
v,1,,,,,,,,,0.9709,,,,,,,1.1,images/target_square.jpg,asdf,001,2023-01-10_23h39.08.150,choiceRTT,2021.2.3,Win32,19.9676524,2.0709,,,,,,,0,7,7,5,1
c,1,,,,,,,,,0.8332,,,,,,,1.3,images/target_cross.jpg,asdf,001,2023-01-10_23h39.08.150,choiceRTT,2021.2.3,Win32,19.9676524,2.1332,,,,,,,0,8,8,3,1
