keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,correctMouseResp,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,1,3.3882,,,,,,,,1.8882,v,5.9995,0,0,0,2,1,1.5,images/target_square.jpg,asdfa,001,2022-10-25_19h14.29.664,choiceRTT,2021.2.3,Win32,60.16485169,,,,,,,,,,,,
c,0,3.0965,,,,,,,,1.7965,v,2.5273,0,1,1,1,1,1.3,images/target_plus.jpg,asdfa,001,2022-10-25_19h14.29.664,choiceRTT,2021.2.3,Win32,60.16485169,,,,,,,,,,,,
v,1,2.3775,,,,,,,,1.0775,v,1.3311,0,2,2,8,1,1.3,images/target_square.jpg,asdfa,001,2022-10-25_19h14.29.664,choiceRTT,2021.2.3,Win32,60.16485169,,,,,,,,,,,,
v,0,2.2371,,,,,,,,0.7371,v,0.8551,0,3,3,6,1,1.5,images/target_cross.jpg,asdfa,001,2022-10-25_19h14.29.664,choiceRTT,2021.2.3,Win32,60.16485169,,,,,,,,,,,,
c,0,2.5847,,,,,,,,1.0847,c,0.517,0,4,4,4,1,1.5,images/target_plus.jpg,asdfa,001,2022-10-25_19h14.29.664,choiceRTT,2021.2.3,Win32,60.16485169,,,,,,,,,,,,
v,1,2.2213,,,,,,,,1.1213,v,0.2146,0,5,5,5,1,1.1,images/target_square.jpg,asdfa,001,2022-10-25_19h14.29.664,choiceRTT,2021.2.3,Win32,60.16485169,,,,,,,,,,,,
c,1,1.9756,,,,,,,,0.6756,c,0.6184,0,6,6,3,1,1.3,images/target_cross.jpg,asdfa,001,2022-10-25_19h14.29.664,choiceRTT,2021.2.3,Win32,60.16485169,,,,,,,,,,,,
c,1,2.2095,,,,,,,,1.1095,c,0.4699,0,7,7,0,1,1.1,images/target_cross.jpg,asdfa,001,2022-10-25_19h14.29.664,choiceRTT,2021.2.3,Win32,60.16485169,,,,,,,,,,,,
b,1,2.0749,,,,,,,,0.9749,b,0.7342,0,8,8,7,1,1.1,images/target_plus.jpg,asdfa,001,2022-10-25_19h14.29.664,choiceRTT,2021.2.3,Win32,60.16485169,,,,,,,,,,,,
,0,,0.025925926,-0.25,1,0,0,2.0752,square_button,0.9752,,,,,,,,1.1,images/target_square.jpg,asdfa,001,2022-10-25_19h14.29.664,choiceRTT,2021.2.3,Win32,60.16485169,,0.05,-0.232407407,1,0,0,1,0,0,0,5,1
,0,,0.008333333,-0.238888889,1,0,0,2.4078,square_button,0.9078,,,,,,,,1.5,images/target_square.jpg,asdfa,001,2022-10-25_19h14.29.664,choiceRTT,2021.2.3,Win32,60.16485169,,,,,,,1,0,1,1,2,1
,0,,0.268518519,-0.233333333,1,0,0,2.3891,plus_button,0.8891,,,,,,,,1.5,images/target_cross.jpg,asdfa,001,2022-10-25_19h14.29.664,choiceRTT,2021.2.3,Win32,60.16485169,,,,,,,0,0,2,2,6,1
,0,,0.217592593,-0.268518519,1,0,0,2.1229,plus_button,1.0229,,,,,,,,1.1,images/target_plus.jpg,asdfa,001,2022-10-25_19h14.29.664,choiceRTT,2021.2.3,Win32,60.16485169,,,,,,,1,0,3,3,7,1
,0,,0.266666667,-0.228703704,1,0,0,2.1264,plus_button,0.8264,,,,,,,,1.3,images/target_cross.jpg,asdfa,001,2022-10-25_19h14.29.664,choiceRTT,2021.2.3,Win32,60.16485169,,,,,,,0,0,4,4,3,1
