participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.025,-0.231481481,1,0,0,3.263,square_button,1,2.163,,0,0,0,5,1,1.1,images/target_square.jpg,,,,,,,,,,,
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.212037037,-0.225,1,0,0,2.4913,cross_button,0,1.3913,,0,1,1,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.185185185,-0.257407407,1,0,0,2.4076,cross_button,0,0.9076,,0,2,2,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.025925926,-0.242592593,1,0,0,2.1753,square_button,1,0.8753,,0,3,3,8,1,1.3,images/target_square.jpg,,,,,,,,,,,
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,0.212962963,-0.227777778,1,0,0,2.2049,plus_button,0,1.1049,,0,4,4,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.242592593,-0.237037037,1,0,0,2.59,cross_button,1,1.29,,0,5,5,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.22962963,-0.237037037,1,0,0,2.3422,cross_button,1,0.8422,,0,6,6,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.041666667,-0.20462963,1,0,0,2.1745,square_button,1,0.6745,,0,7,7,2,1,1.5,images/target_square.jpg,,,,,,,,,,,
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,0.185185185,-0.203703704,1,0,0,2.0967,plus_button,1,0.7967,,0,8,8,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,-0.009259259,-0.233333333,1,0,0,,,,,
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.02037037,-0.244444444,1,0,0,2.053,square_button,1,0.753,,,,,,,1.3,images/target_square.jpg,,,,,,,0,0,0,8,1
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,0.216666667,-0.234259259,1,0,0,1.9818,plus_button,1,0.8818,,,,,,,1.1,images/target_plus.jpg,,,,,,,0,1,1,7,1
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.018518519,-0.257407407,1,0,0,2.2317,square_button,1,0.7317,,,,,,,1.5,images/target_square.jpg,,,,,,,0,2,2,2,1
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,0.171296296,-0.25462963,1,0,0,2.1564,plus_button,1,0.8564,,,,,,,1.3,images/target_plus.jpg,,,,,,,0,3,3,1,1
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.157407407,-0.25,1,0,0,2.1544,cross_button,1,1.0544,,,,,,,1.1,images/target_cross.jpg,,,,,,,0,4,4,0,1
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,0.20462963,-0.25,1,0,0,2.3594,plus_button,1,0.8594,,,,,,,1.5,images/target_plus.jpg,,,,,,,0,5,5,4,1
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.193518519,-0.244444444,1,0,0,2.1801,cross_button,1,0.8801,,,,,,,1.3,images/target_cross.jpg,,,,,,,0,6,6,3,1
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,0.201851852,-0.243518519,1,0,0,2.6481,plus_button,0,1.1481,,,,,,,1.5,images/target_cross.jpg,,,,,,,0,7,7,6,1
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,0.013888889,-0.243518519,1,0,0,1.9818,square_button,1,0.8818,,,,,,,1.1,images/target_square.jpg,,,,,,,0,8,8,5,1
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,0.018518519,-0.243518519,1,0,0,1.9652,square_button,1,0.6652,,,,,,,1.3,images/target_square.jpg,,,,,,,1,0,9,8,1
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,0.018518519,-0.243518519,1,0,0,1.6158,square_button,1,0.5158,,,,,,,1.1,images/target_square.jpg,,,,,,,1,1,10,5,1
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.280555556,-0.251851852,1,0,0,2.2969,cross_button,1,0.7969,,,,,,,1.5,images/target_cross.jpg,,,,,,,1,2,11,6,1
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.247222222,-0.250925926,1,0,0,1.8652,cross_button,1,0.5652,,,,,,,1.3,images/target_cross.jpg,,,,,,,1,3,12,3,1
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,0.278703704,-0.255555556,1,0,0,2.0316,plus_button,1,0.7316,,,,,,,1.3,images/target_plus.jpg,,,,,,,1,4,13,1,1
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,0.274074074,-0.255555556,1,0,0,2.119,plus_button,1,0.619,,,,,,,1.5,images/target_plus.jpg,,,,,,,1,5,14,4,1
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.20462963,-0.255555556,1,0,0,1.9776,cross_button,1,0.8776,,,,,,,1.1,images/target_cross.jpg,,,,,,,1,6,15,0,1
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,-0.02962963,-0.256481481,1,0,0,2.2483,square_button,1,0.7483,,,,,,,1.5,images/target_square.jpg,,,,,,,1,7,16,2,1
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,0,0.257407407,-0.246296296,1,0,0,2.0986,plus_button,1,0.9986,,,,,,,1.1,images/target_plus.jpg,,,,,,,1,8,17,7,1
bb,001,2024-01-15_12h32.38.996,choiceRTT,2023.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
