response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.118055556,-0.039351852,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,bg,001,2021-12-07_20h23.31.456,choiceRTT,3.1.3,60,,,,,,
,0,-0.094907407,-0.030092593,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,bg,001,2021-12-07_20h23.31.456,choiceRTT,3.1.3,60,,,,,,
,0,-0.143518519,-0.011574074,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,bg,001,2021-12-07_20h23.31.456,choiceRTT,3.1.3,60,,,,,,
,0,0.420138889,0.016203704,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,bg,001,2021-12-07_20h23.31.456,choiceRTT,3.1.3,60,,,,,,
,0,-0.298611111,-0.005787037,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,bg,001,2021-12-07_20h23.31.456,choiceRTT,3.1.3,60,,,,,,
,0,0.474537037,0.018518519,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,bg,001,2021-12-07_20h23.31.456,choiceRTT,3.1.3,60,,,,,,
,0,-0.353009259,0.034722222,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,bg,001,2021-12-07_20h23.31.456,choiceRTT,3.1.3,60,,,,,,
,0,0.060185185,-0.001157407,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,bg,001,2021-12-07_20h23.31.456,choiceRTT,3.1.3,60,,,,,,
,0,0.472222222,0.015046296,1,0,0,targImage,,,,,,,2.111,0.375,n,bg,001,2021-12-07_20h23.31.456,choiceRTT,3.1.3,60,1,0,40,23,1,39
,0,-0.359953704,-0.003472222,1,0,0,targImage,,,,,,,2.7776,-0.375,c,bg,001,2021-12-07_20h23.31.456,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,-0.415509259,-0.030092593,1,0,0,targImage,,,,,,,2.9998,-0.375,c,bg,001,2021-12-07_20h23.31.456,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,-0.326388889,-0.008101852,1,0,0,targImage,,,,,,,1.4444,-0.375,c,bg,001,2021-12-07_20h23.31.456,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,0.37962963,0.020833333,1,0,0,targImage,,,,,,,1.6666,0.375,n,bg,001,2021-12-07_20h23.31.456,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,-0.315972222,0.021990741,1,0,0,targImage,,,,,,,2.3332,-0.375,c,bg,001,2021-12-07_20h23.31.456,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,0.342592593,0.034722222,1,0,0,targImage,,,,,,,2.5554,0.375,n,bg,001,2021-12-07_20h23.31.456,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,0.127314815,-0.005787037,1,0,0,targImage,,,,,,,2.3332,0.125,b,bg,001,2021-12-07_20h23.31.456,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,-0.164351852,0.002314815,1,0,0,targImage,,,,,,,2.9998,-0.125,v,bg,001,2021-12-07_20h23.31.456,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,0.306712963,0.020833333,1,0,0,targImage,,,,,,,1.2222,0.375,n,bg,001,2021-12-07_20h23.31.456,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,0.474537037,0.077546296,1,0,0,targImage,,,,,,,2.9998,0.375,n,bg,001,2021-12-07_20h23.31.456,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,0.121527778,0.001157407,1,0,0,targImage,,,,,,,1.8888,0.125,b,bg,001,2021-12-07_20h23.31.456,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,-0.079861111,0.03125,1,0,0,targImage,,,,,,,2.7776,-0.125,v,bg,001,2021-12-07_20h23.31.456,choiceRTT,3.1.3,60,1,0,40,33,1,39
,0,-0.075231481,0.028935185,1,0,0,targImage,,,,,,,2.111,-0.125,v,bg,001,2021-12-07_20h23.31.456,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,-0.341435185,0.03125,1,0,0,targImage,,,,,,,1.8888,-0.375,c,bg,001,2021-12-07_20h23.31.456,choiceRTT,3.1.3,60,1,0,40,16,1,39
