keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,1,2.9362,,,,,,,,1.6362,space,8.1628,0,0,0,8,1,1.3,images/target_square.jpg,biodiosjnkerjn,001,02-24-2023_08h34.31.558,choiceRTT,2021.2.3,MacIntel,59.95203837,,,,,,,,,,,
b,0,0.9025,,,,,,,,-0.1975,space,2.8508,0,1,1,0,1,1.1,images/target_cross.jpg,biodiosjnkerjn,001,02-24-2023_08h34.31.558,choiceRTT,2021.2.3,MacIntel,59.95203837,,,,,,,,,,,
b,0,2.2699,,,,,,,,0.7699,space,8.8415,0,2,2,6,1,1.5,images/target_cross.jpg,biodiosjnkerjn,001,02-24-2023_08h34.31.558,choiceRTT,2021.2.3,MacIntel,59.95203837,,,,,,,,,,,
b,1,1.6015,,,,,,,,0.5015,space,1.1108,0,3,3,7,1,1.1,images/target_plus.jpg,biodiosjnkerjn,001,02-24-2023_08h34.31.558,choiceRTT,2021.2.3,MacIntel,59.95203837,,,,,,,,,,,
c,0,2.1478,,,,,,,,0.6478,space,1.6343,0,4,4,2,1,1.5,images/target_square.jpg,biodiosjnkerjn,001,02-24-2023_08h34.31.558,choiceRTT,2021.2.3,MacIntel,59.95203837,,,,,,,,,,,
v,1,1.6483,,,,,,,,0.5483,space,0.6995,0,5,5,5,1,1.1,images/target_square.jpg,biodiosjnkerjn,001,02-24-2023_08h34.31.558,choiceRTT,2021.2.3,MacIntel,59.95203837,,,,,,,,,,,
c,0,2.1475,,,,,,,,0.6475,space,0.6315,0,6,6,4,1,1.5,images/target_plus.jpg,biodiosjnkerjn,001,02-24-2023_08h34.31.558,choiceRTT,2021.2.3,MacIntel,59.95203837,,,,,,,,,,,
b,0,2.0703,,,,,,,,0.7703,space,1.8223,0,7,7,3,1,1.3,images/target_cross.jpg,biodiosjnkerjn,001,02-24-2023_08h34.31.558,choiceRTT,2021.2.3,MacIntel,59.95203837,,,,,,,,,,,
b,1,1.987,,,,,,,,0.687,space,0.7327,0,8,8,1,1,1.3,images/target_plus.jpg,biodiosjnkerjn,001,02-24-2023_08h34.31.558,choiceRTT,2021.2.3,MacIntel,59.95203837,,,,,,,,,,,
c,1,3.4511,,,,,,,,2.3511,,,,,,,,1.1,images/target_cross.jpg,biodiosjnkerjn,001,02-24-2023_08h34.31.558,choiceRTT,2021.2.3,MacIntel,59.95203837,,-0.038837348,-0.251209852,1,0,0,0,0,0,0,1
