response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.113888889,-0.042592593,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,bl,001,2020-05-22_16h32.34.635,choiceRTT,3.1.3,60,,,,,,
,0,-0.402777778,-0.016666667,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,bl,001,2020-05-22_16h32.34.635,choiceRTT,3.1.3,60,,,,,,
,0,-0.398148148,-0.014814815,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,bl,001,2020-05-22_16h32.34.635,choiceRTT,3.1.3,60,,,,,,
,0,0.359259259,-0.02037037,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,bl,001,2020-05-22_16h32.34.635,choiceRTT,3.1.3,60,,,,,,
,0,0.097222222,-0.009259259,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,bl,001,2020-05-22_16h32.34.635,choiceRTT,3.1.3,60,,,,,,
,0,0.391666667,-0.008333333,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,bl,001,2020-05-22_16h32.34.635,choiceRTT,3.1.3,60,,,,,,
,0,0.113888889,-0.001851852,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,bl,001,2020-05-22_16h32.34.635,choiceRTT,3.1.3,60,,,,,,
,0,-0.10462963,0.021296296,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,bl,001,2020-05-22_16h32.34.635,choiceRTT,3.1.3,60,,,,,,
,0,-0.047222222,0.025,1,0,0,targImage,,,,,,,2.3332,-0.125,v,bl,001,2020-05-22_16h32.34.635,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,-0.337037037,0.031481481,1,0,0,targImage,,,,,,,1.2222,-0.375,c,bl,001,2020-05-22_16h32.34.635,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,-0.308333333,0.032407407,1,0,0,targImage,,,,,,,2.5554,-0.375,c,bl,001,2020-05-22_16h32.34.635,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,-0.307407407,0.036111111,1,0,0,targImage,,,,,,,2.3332,-0.375,c,bl,001,2020-05-22_16h32.34.635,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,-0.080555556,0.025925926,1,0,0,targImage,,,,,,,2.111,-0.125,v,bl,001,2020-05-22_16h32.34.635,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,0.386111111,0.011111111,1,0,0,targImage,,,,,,,1.2222,0.375,n,bl,001,2020-05-22_16h32.34.635,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,0.19537037,-0.022222222,1,0,0,targImage,,,,,,,2.9998,0.125,b,bl,001,2020-05-22_16h32.34.635,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,0.044444444,-0.011111111,1,0,0,targImage,,,,,,,2.3332,0.125,b,bl,001,2020-05-22_16h32.34.635,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,0.325,0.008333333,1,0,0,targImage,,,,,,,1.6666,0.375,n,bl,001,2020-05-22_16h32.34.635,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,-0.280555556,0.007407407,1,0,0,targImage,,,,,,,1.6666,-0.375,c,bl,001,2020-05-22_16h32.34.635,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,0.372222222,0.001851852,1,0,0,targImage,,,,,,,2.7776,0.375,n,bl,001,2020-05-22_16h32.34.635,choiceRTT,3.1.3,60,1,0,40,35,1,39
