keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,1,5.2736,,,,,,,,3.9736,b,7.7112,0,0,0,8,1,1.3,images/target_square.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,,,,,,,,,,,,
c,0,5.0878,,,,,,,,3.5878,space,13.5633,0,1,1,4,1,1.5,images/target_plus.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,,,,,,,,,,,,
v,1,3.1032,,,,,,,,1.6032,space,3.6802,0,2,2,2,1,1.5,images/target_square.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,,,,,,,,,,,,
c,1,2.3333,,,,,,,,1.0333,space,2.3057,0,3,3,3,1,1.3,images/target_cross.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,,,,,,,,,,,,
b,1,1.569,,,,,,,,0.469,space,4.6455,0,4,4,7,1,1.1,images/target_plus.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,,,,,,,,,,,,
c,1,2.2704,,,,,,,,0.7704,space,2.5771,0,5,5,6,1,1.5,images/target_cross.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,,,,,,,,,,,,
b,1,1.8065,,,,,,,,0.5065,space,0.9521,0,6,6,1,1,1.3,images/target_plus.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,,,,,,,,,,,,
v,1,1.5689,,,,,,,,0.4689,space,3.4109,0,7,7,5,1,1.1,images/target_square.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,,,,,,,,,,,,
c,1,1.979,,,,,,,,0.879,space,2.2919,0,8,8,0,1,1.1,images/target_cross.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,,,,,,,,,,,,
b,1,2.0633,,,,,,,,0.7633,,,,,,,,1.3,images/target_plus.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,space,6.5188,-0.076851809,-0.317592621,0,0,0,0,0,0,1,1
v,1,1.8324,,,,,,,,0.5324,,,,,,,,1.3,images/target_square.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,,,,,,,,0,1,1,8,1
b,1,2.0337,,,,,,,,0.5337,,,,,,,,1.5,images/target_plus.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,,,,,,,,0,2,2,4,1
c,1,2.032,,,,,,,,0.532,,,,,,,,1.5,images/target_cross.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,,,,,,,,0,3,3,6,1
v,1,1.6442,,,,,,,,0.5442,,,,,,,,1.1,images/target_square.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,,,,,,,,0,4,4,5,1
c,1,1.8806,,,,,,,,0.5806,,,,,,,,1.3,images/target_cross.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,,,,,,,,0,5,5,3,1
b,1,1.8246,,,,,,,,0.7246,,,,,,,,1.1,images/target_plus.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,,,,,,,,0,6,6,7,1
v,1,1.937,,,,,,,,0.437,,,,,,,,1.5,images/target_square.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,,,,,,,,0,7,7,2,1
c,1,1.7686,,,,,,,,0.6686,,,,,,,,1.1,images/target_cross.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,,,,,,,,0,8,8,0,1
b,1,1.9433,,,,,,,,0.6433,,,,,,,,1.3,images/target_plus.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,,,,,,,,1,0,9,1,1
v,1,1.5118,,,,,,,,0.4118,,,,,,,,1.1,images/target_square.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,,,,,,,,1,1,10,5,1
b,1,2.1246,,,,,,,,0.6246,,,,,,,,1.5,images/target_plus.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,,,,,,,,1,2,11,4,1
c,1,2.143,,,,,,,,0.843,,,,,,,,1.3,images/target_cross.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,,,,,,,,1,3,12,3,1
v,1,2.0259,,,,,,,,0.7259,,,,,,,,1.3,images/target_square.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,,,,,,,,1,4,13,8,1
c,1,1.7625,,,,,,,,0.6625,,,,,,,,1.1,images/target_cross.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,,,,,,,,1,5,14,0,1
c,1,1.9359,,,,,,,,0.4359,,,,,,,,1.5,images/target_cross.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,,,,,,,,1,6,15,6,1
b,1,1.5888,,,,,,,,0.4888,,,,,,,,1.1,images/target_plus.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,,,,,,,,1,7,16,7,1
v,1,2.088,,,,,,,,0.588,,,,,,,,1.5,images/target_square.jpg,bscndr,001,2022-06-05_09h32.40.568,choiceRTT,2021.2.3,Win32,144.8435689,,,,,,,,1,8,17,2,1
