response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.125925926,-0.010185185,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,,,,,,
,0,-0.125925926,-0.011111111,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,,,,,,
,0,-0.319444444,0.018518519,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,,,,,,
,0,0.086111111,0.006481481,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,,,,,,
,0,-0.334259259,-0.019444444,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,,,,,,
,0,0.065740741,-0.003703704,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,,,,,,
,0,0.412962963,-0.011111111,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,,,,,,
,0,0.375925926,0.024074074,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,,,,,,
,0,-0.125,-0.022222222,1,0,0,targImage,,,,,,,2.7776,-0.125,v,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,1,0,40,33,1,39
,0,-0.100925926,-0.003703704,1,0,0,targImage,,,,,,,1.4444,-0.125,v,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,0.141666667,-0.006481481,1,0,0,targImage,,,,,,,1,0.125,b,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,0.125,-0.009259259,1,0,0,targImage,,,,,,,2.111,0.125,b,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,0.093518519,-0.018518519,1,0,0,targImage,,,,,,,1.2222,0.125,b,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,-0.190740741,-0.025,1,0,0,targImage,,,,,,,1,-0.125,v,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,-0.07962963,-0.025,1,0,0,targImage,,,,,,,2.9998,-0.125,v,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,0.424074074,-0.011111111,1,0,0,targImage,,,,,,,2.5554,0.375,n,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,-0.146296296,-0.015740741,1,0,0,targImage,,,,,,,1.2222,-0.125,v,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,-0.142592593,-0.022222222,1,0,0,targImage,,,,,,,2.5554,-0.125,v,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,0.081481481,-0.009259259,1,0,0,targImage,,,,,,,1.6666,0.125,b,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,0.110185185,-0.037037037,1,0,0,targImage,,,,,,,1.8888,0.125,b,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,-0.383333333,0.001851852,1,0,0,targImage,,,,,,,2.3332,-0.375,c,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,0.123148148,-0.008333333,1,0,0,targImage,,,,,,,1.4444,0.125,b,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,0.384259259,-0.02962963,1,0,0,targImage,,,,,,,1.2222,0.375,n,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,0.141666667,-0.008333333,1,0,0,targImage,,,,,,,2.3332,0.125,b,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,0.387962963,0.003703704,1,0,0,targImage,,,,,,,2.111,0.375,n,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,1,0,40,23,1,39
,0,0.349074074,-0.019444444,1,0,0,targImage,,,,,,,2.3332,0.375,n,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,0.121296296,-0.014814815,1,0,0,targImage,,,,,,,2.7776,0.125,b,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,-0.347222222,-0.000925926,1,0,0,targImage,,,,,,,2.5554,-0.375,c,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,-0.361111111,-0.012037037,1,0,0,targImage,,,,,,,2.7776,-0.375,c,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,-0.37037037,0.011111111,1,0,0,targImage,,,,,,,2.111,-0.375,c,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,-0.343518519,-0.008333333,1,0,0,targImage,,,,,,,1.4444,-0.375,c,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,-0.40462963,0,1,0,0,targImage,,,,,,,1.6666,-0.375,c,bth,001,2020-08-23_16h59.16.766,choiceRTT,3.1.3,60,1,0,40,12,1,39
