participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,c,1,2.6527,,,,,,,,,1.5527,b,4.9917,,0,0,0,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,v,1,1.6831,,,,,,,,,0.5831,v,1.0247,,0,1,1,5,1,1.1,images/target_square.jpg,,,,,,,,,,,
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,b,1,1.951,,,,,,,,,0.451,b,0.7894,,0,2,2,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,b,1,1.7863,,,,,,,,,0.6863,v,1.1087,,0,3,3,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,b,0,1.6866,,,,,,,,,0.3866,b,0.7609,,0,4,4,8,1,1.3,images/target_square.jpg,,,,,,,,,,,
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,c,1,1.7658,,,,,,,,,0.4658,v,3.0088,,0,5,5,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,v,1,2.0771,,,,,,,,,0.5771,v,1.3759,,0,6,6,2,1,1.5,images/target_square.jpg,,,,,,,,,,,
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,b,1,1.7189,,,,,,,,,0.4189,b,0.6301,,0,7,7,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,v,0,2.0256,,,,,,,,,0.5256,v,0.8507,,0,8,8,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,,,,,,,,,,,,,,,,,,,,,,,,0.092592621,-0.274074131,1,0,0,,,,,
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,b,1,2.4886,,,,,,,,,0.9886,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,0,0,0,4,1
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,c,1,1.8943,,,,,,,,,0.7943,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,0,1,1,0,1
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,v,1,1.9594,,,,,,,,,0.4594,,,,,,,,,1.5,images/target_square.jpg,,,,,,,0,2,2,2,1
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,c,1,2.0229,,,,,,,,,0.7229,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,0,3,3,3,1
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,v,1,1.8527,,,,,,,,,0.5527,,,,,,,,,1.3,images/target_square.jpg,,,,,,,0,4,4,8,1
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,b,1,1.5832,,,,,,,,,0.4832,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,0,5,5,7,1
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,c,1,2.1823,,,,,,,,,0.6823,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,0,6,6,6,1
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,v,1,1.8291,,,,,,,,,0.7291,,,,,,,,,1.1,images/target_square.jpg,,,,,,,0,7,7,5,1
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,b,1,1.9932,,,,,,,,,0.6932,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,0,8,8,1,1
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,c,1,2.6074,,,,,,,,,1.3074,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,1,0,9,3,1
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,b,1,1.8842,,,,,,,,,0.7842,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,1,1,10,7,1
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,b,1,1.8629,,,,,,,,,0.5629,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,1,2,11,1,1
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,b,0,1.6421,,,,,,,,,0.5421,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,1,3,12,0,1
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,v,1,1.9667,,,,,,,,,0.6667,,,,,,,,,1.3,images/target_square.jpg,,,,,,,1,4,13,8,1
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,v,1,2.0707,,,,,,,,,0.5707,,,,,,,,,1.5,images/target_square.jpg,,,,,,,1,5,14,2,1
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,v,1,1.4727,,,,,,,,,0.3727,,,,,,,,,1.1,images/target_square.jpg,,,,,,,1,6,15,5,1
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,b,1,2.1001,,,,,,,,,0.6001,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,1,7,16,4,1
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,c,1,2.0137,,,,,,,,,0.5137,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,1,8,17,6,1
chase,001,2024-01-25_20h26.42.693,choiceRTT,2023.1.3,Win32,119.047619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
