keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,0,0.2499,,,,,,,,-0.8501,c,0.4036,0,0,0,5,1,1.1,images/target_square.jpg,撒大苏打,001,03-17-2023_12h19.50.566,choiceRTT,2021.2.3,Win32,61.31207848,,,,,,,,,,,
c,1,0.3741,,,,,,,,-0.9259,c,0.3338,0,1,1,3,1,1.3,images/target_cross.jpg,撒大苏打,001,03-17-2023_12h19.50.566,choiceRTT,2021.2.3,Win32,61.31207848,,,,,,,,,,,
c,0,0.27,,,,,,,,-1.23,c,0.28,0,2,2,4,1,1.5,images/target_plus.jpg,撒大苏打,001,03-17-2023_12h19.50.566,choiceRTT,2021.2.3,Win32,61.31207848,,,,,,,,,,,
c,1,0.2728,,,,,,,,-1.2272,c,0.3843,0,3,3,6,1,1.5,images/target_cross.jpg,撒大苏打,001,03-17-2023_12h19.50.566,choiceRTT,2021.2.3,Win32,61.31207848,,,,,,,,,,,
c,0,0.2128,,,,,,,,-1.2872,c,0.1935,0,4,4,2,1,1.5,images/target_square.jpg,撒大苏打,001,03-17-2023_12h19.50.566,choiceRTT,2021.2.3,Win32,61.31207848,,,,,,,,,,,
c,0,0.2123,,,,,,,,-1.0877,c,0.2212,0,5,5,8,1,1.3,images/target_square.jpg,撒大苏打,001,03-17-2023_12h19.50.566,choiceRTT,2021.2.3,Win32,61.31207848,,,,,,,,,,,
c,0,0.2259,,,,,,,,-1.0741,v,0.292,0,6,6,1,1,1.3,images/target_plus.jpg,撒大苏打,001,03-17-2023_12h19.50.566,choiceRTT,2021.2.3,Win32,61.31207848,,,,,,,,,,,
c,1,0.0052,,,,,,,,-1.0948,v,0.1724,0,7,7,0,1,1.1,images/target_cross.jpg,撒大苏打,001,03-17-2023_12h19.50.566,choiceRTT,2021.2.3,Win32,61.31207848,,,,,,,,,,,
c,0,0.2606,,,,,,,,-0.8394,c,0.1745,0,8,8,7,1,1.1,images/target_plus.jpg,撒大苏打,001,03-17-2023_12h19.50.566,choiceRTT,2021.2.3,Win32,61.31207848,,,,,,,,,,,
c,1,0.7152,,,,,,,,-0.7848,,,,,,,,1.5,images/target_cross.jpg,撒大苏打,001,03-17-2023_12h19.50.566,choiceRTT,2021.2.3,Win32,61.31207848,,0.067592593,-0.231481481,1,0,0,0,0,0,6,1
c,1,0.3014,,,,,,,,-0.9986,,,,,,,,1.3,images/target_cross.jpg,撒大苏打,001,03-17-2023_12h19.50.566,choiceRTT,2021.2.3,Win32,61.31207848,,,,,,,0,1,1,3,1
