keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,1,3.4156,,,,,,,,1.9156,v,2.2166,0,0,0,4,1,1.5,images/target_plus.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
c,1,0.0033,,,,,,,,-1.0967,c,0.4623,0,1,1,0,1,1.1,images/target_cross.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
c,1,2.905,,,,,,,,1.605,c,1.0999,0,2,2,3,1,1.3,images/target_cross.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
v,1,1.5372,,,,,,,,0.4372,v,0.5654,0,3,3,5,1,1.1,images/target_square.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
b,1,0.0834,,,,,,,,-1.2166,b,0.7708,0,4,4,1,1,1.3,images/target_plus.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
c,0,1.955,,,,,,,,0.455,c,0.6834,0,5,5,2,1,1.5,images/target_square.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
v,1,1.6947,,,,,,,,0.3947,b,2.1478,0,6,6,8,1,1.3,images/target_square.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
b,1,2.0898,,,,,,,,0.9898,b,0.6802,0,7,7,7,1,1.1,images/target_plus.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
v,0,2.18,,,,,,,,0.68,c,0.0469,0,8,8,6,1,1.5,images/target_cross.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
c,1,2.4581,,,,,,,,1.3581,,,,,,,,1.1,images/target_cross.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,space,3.0052,-0.15718316,-0.204678819,0,0,0,0,0,0,0,1
v,1,2.0864,,,,,,,,0.7864,,,,,,,,1.3,images/target_square.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,1,1,8,1
c,1,2.2061,,,,,,,,0.7061,,,,,,,,1.5,images/target_cross.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,2,2,6,1
v,1,1.748,,,,,,,,0.648,,,,,,,,1.1,images/target_square.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,3,3,5,1
b,1,1.6569,,,,,,,,0.5569,,,,,,,,1.1,images/target_plus.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,4,4,7,1
b,1,2.6484,,,,,,,,1.1484,,,,,,,,1.5,images/target_plus.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,5,5,4,1
v,0,1.8178,,,,,,,,0.5178,,,,,,,,1.3,images/target_cross.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,6,6,3,1
c,0,0.0756,,,,,,,,-1.2244,,,,,,,,1.3,images/target_plus.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,7,7,1,1
v,1,2.3288,,,,,,,,0.8288,,,,,,,,1.5,images/target_square.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,0,8,8,2,1
b,1,1.8936,,,,,,,,0.7936,,,,,,,,1.1,images/target_plus.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,1,0,9,7,1
c,1,1.8753,,,,,,,,0.5753,,,,,,,,1.3,images/target_cross.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,1,1,10,3,1
v,1,1.6811,,,,,,,,0.5811,,,,,,,,1.1,images/target_square.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,1,2,11,5,1
v,1,2.1893,,,,,,,,0.6893,,,,,,,,1.5,images/target_square.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,1,3,12,2,1
v,1,1.7271,,,,,,,,0.4271,,,,,,,,1.3,images/target_square.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,1,4,13,8,1
b,1,2.1612,,,,,,,,0.6612,,,,,,,,1.5,images/target_plus.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,1,5,14,4,1
b,1,1.9744,,,,,,,,0.6744,,,,,,,,1.3,images/target_plus.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,1,6,15,1,1
c,1,1.9406,,,,,,,,0.4406,,,,,,,,1.5,images/target_cross.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,1,7,16,6,1
v,0,1.9363,,,,,,,,0.8363,,,,,,,,1.1,images/target_cross.jpg,宇宙超级无敌橙门弟子,001,2023-05-04_20h42.19.817,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,1,8,17,0,1
