participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,001,2023-08-12_01h03.23.951,choiceRTT,2023.1.3,Win32,72.15007215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2023-08-12_01h03.23.951,choiceRTT,2023.1.3,Win32,72.15007215,v,1,0.6907,,,,,,,,,-0.4093,,0,0,0,5,1,1.1,images/target_square.jpg,,,,,,,,,,,
,001,2023-08-12_01h03.23.951,choiceRTT,2023.1.3,Win32,72.15007215,b,1,4.2015,,,,,,,,,2.7015,,0,1,1,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,
,001,2023-08-12_01h03.23.951,choiceRTT,2023.1.3,Win32,72.15007215,v,1,2.7268,,,,,,,,,1.4268,,0,2,2,8,1,1.3,images/target_square.jpg,,,,,,,,,,,
,001,2023-08-12_01h03.23.951,choiceRTT,2023.1.3,Win32,72.15007215,v,1,2.4568,,,,,,,,,0.9568,,0,3,3,2,1,1.5,images/target_square.jpg,,,,,,,,,,,
,001,2023-08-12_01h03.23.951,choiceRTT,2023.1.3,Win32,72.15007215,b,1,1.8028,,,,,,,,,0.5028,,0,4,4,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,
,001,2023-08-12_01h03.23.951,choiceRTT,2023.1.3,Win32,72.15007215,c,1,2.169,,,,,,,,,0.869,,0,5,5,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,
,001,2023-08-12_01h03.23.951,choiceRTT,2023.1.3,Win32,72.15007215,c,1,1.6868,,,,,,,,,0.5868,,0,6,6,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,
,001,2023-08-12_01h03.23.951,choiceRTT,2023.1.3,Win32,72.15007215,b,1,1.8932,,,,,,,,,0.7932,,0,7,7,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,
,001,2023-08-12_01h03.23.951,choiceRTT,2023.1.3,Win32,72.15007215,c,1,2.2246,,,,,,,,,0.7246,,0,8,8,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,
