participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton
,001,2023-08-28_18h54.19.304,choiceRTT,2023.1.3,MacIntel,60.45949214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2023-08-28_18h54.19.304,choiceRTT,2023.1.3,MacIntel,60.45949214,c,1,2.449,,,,,,,,,0.949,c,3.716,,0,0,0,6,1,1.5,images/target_cross.jpg,,,,,,,,
,001,2023-08-28_18h54.19.304,choiceRTT,2023.1.3,MacIntel,60.45949214,b,0,2.213,,,,,,,,,0.713,space,1.587,,0,1,1,2,1,1.5,images/target_square.jpg,,,,,,,,
,001,2023-08-28_18h54.19.304,choiceRTT,2023.1.3,MacIntel,60.45949214,b,1,2.258,,,,,,,,,0.758,space,0.904,,0,2,2,4,1,1.5,images/target_plus.jpg,,,,,,,,
,001,2023-08-28_18h54.19.304,choiceRTT,2023.1.3,MacIntel,60.45949214,c,1,1.924,,,,,,,,,0.824,space,0.515,,0,3,3,0,1,1.1,images/target_cross.jpg,,,,,,,,
,001,2023-08-28_18h54.19.304,choiceRTT,2023.1.3,MacIntel,60.45949214,c,1,1.873,,,,,,,,,0.573,space,0.306,,0,4,4,3,1,1.3,images/target_cross.jpg,,,,,,,,
,001,2023-08-28_18h54.19.304,choiceRTT,2023.1.3,MacIntel,60.45949214,v,1,2.311,,,,,,,,,1.011,space,0.604,,0,5,5,8,1,1.3,images/target_square.jpg,,,,,,,,
,001,2023-08-28_18h54.19.304,choiceRTT,2023.1.3,MacIntel,60.45949214,c,0,1.892,,,,,,,,,0.792,space,0.776,,0,6,6,7,1,1.1,images/target_plus.jpg,,,,,,,,
,001,2023-08-28_18h54.19.304,choiceRTT,2023.1.3,MacIntel,60.45949214,b,1,2.079,,,,,,,,,0.779,space,0.588,,0,7,7,1,1,1.3,images/target_plus.jpg,,,,,,,,
,001,2023-08-28_18h54.19.304,choiceRTT,2023.1.3,MacIntel,60.45949214,v,1,2.208,,,,,,,,,1.108,space,0.691,,0,8,8,5,1,1.1,images/target_square.jpg,,,,,,,,
,001,2023-08-28_18h54.19.304,choiceRTT,2023.1.3,MacIntel,60.45949214,,,,,,,,,,,,,,,,,,,,,,,space,3.101,,0.320138889,-0.196527778,0,0,0
