participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,keyResp.rt,keyResp.duration,moveOnKeys.rt,moveOnKeys.duration,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,001,2023-11-28_16h40.16.980,choiceRTT,2023.1.3,Win32,59.9268892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2023-11-28_16h40.16.980,choiceRTT,2023.1.3,Win32,59.9268892,,0,-0.313888889,-0.276851852,1,0,0,2.5934,cross_button,0,1.4934,,0,0,0,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,,,,,
,001,2023-11-28_16h40.16.980,choiceRTT,2023.1.3,Win32,59.9268892,,0,-0.286111111,-0.237962963,1,0,0,2.5497,cross_button,1,1.2497,,0,1,1,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,,,,,
,001,2023-11-28_16h40.16.980,choiceRTT,2023.1.3,Win32,59.9268892,,0,0.277777778,-0.234259259,1,0,0,2.4042,plus_button,1,1.1042,,0,2,2,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,,,,,
,001,2023-11-28_16h40.16.980,choiceRTT,2023.1.3,Win32,59.9268892,c,1,,,,,,,,,2.8986,space,0,3,3,6,1,1.5,images/target_cross.jpg,4.3986,,2.1573,,,,,,,,,,,,,,
,001,2023-11-28_16h40.16.980,choiceRTT,2023.1.3,Win32,59.9268892,b,1,,,,,,,,,1.3135,space,0,4,4,4,1,1.5,images/target_plus.jpg,2.8135,,2.9306,,,,,,,,,,,,,,
,001,2023-11-28_16h40.16.980,choiceRTT,2023.1.3,Win32,59.9268892,c,1,,,,,,,,,0.6399,space,0,5,5,0,1,1.1,images/target_cross.jpg,1.7399,,0.588,,,,,,,,,,,,,,
,001,2023-11-28_16h40.16.980,choiceRTT,2023.1.3,Win32,59.9268892,v,1,,,,,,,,,0.737,space,0,6,6,2,1,1.5,images/target_square.jpg,2.237,,0.8644,,,,,,,,,,,,,,
,001,2023-11-28_16h40.16.980,choiceRTT,2023.1.3,Win32,59.9268892,v,1,,,,,,,,,0.749,space,0,7,7,8,1,1.3,images/target_square.jpg,2.049,,0.3977,,,,,,,,,,,,,,
,001,2023-11-28_16h40.16.980,choiceRTT,2023.1.3,Win32,59.9268892,c,0,,,,,,,,,0.9277,space,0,8,8,7,1,1.1,images/target_plus.jpg,2.0277,,0.6575,,,,,,,,,,,,,,
,001,2023-11-28_16h40.16.980,choiceRTT,2023.1.3,Win32,59.9268892,,,,,,,,,,,,,,,,,,,,,,,,space,2.0541,,-0.185185185,-0.277777778,0,0,0,,,,,
,001,2023-11-28_16h40.16.980,choiceRTT,2023.1.3,Win32,59.9268892,v,1,,,,,,,,,0.8431,,,,,,,1.1,images/target_square.jpg,1.9431,,,,,,,,,,,,0,0,0,5,1
,001,2023-11-28_16h40.16.980,choiceRTT,2023.1.3,Win32,59.9268892,c,1,,,,,,,,,1.2063,,,,,,,1.1,images/target_cross.jpg,2.3063,,,,,,,,,,,,0,1,1,0,1
,001,2023-11-28_16h40.16.980,choiceRTT,2023.1.3,Win32,59.9268892,b,1,,,,,,,,,0.7224,,,,,,,1.3,images/target_plus.jpg,2.0224,,,,,,,,,,,,0,2,2,1,1
,001,2023-11-28_16h40.16.980,choiceRTT,2023.1.3,Win32,59.9268892,c,0,,,,,,,,,0.8059,,,,,,,1.1,images/target_plus.jpg,1.9059,,,,,,,,,,,,0,3,3,7,1
,001,2023-11-28_16h40.16.980,choiceRTT,2023.1.3,Win32,59.9268892,v,1,,,,,,,,,0.7059,,,,,,,1.3,images/target_square.jpg,2.0059,,,,,,,,,,,,0,4,4,8,1
,001,2023-11-28_16h40.16.980,choiceRTT,2023.1.3,Win32,59.9268892,c,1,,,,,,,,,0.637,,,,,,,1.3,images/target_cross.jpg,1.937,,,,,,,,,,,,0,5,5,3,1
,001,2023-11-28_16h40.16.980,choiceRTT,2023.1.3,Win32,59.9268892,c,1,,,,,,,,,0.7661,,,,,,,1.5,images/target_cross.jpg,2.2661,,,,,,,,,,,,0,6,6,6,1
,001,2023-11-28_16h40.16.980,choiceRTT,2023.1.3,Win32,59.9268892,b,1,,,,,,,,,0.702,,,,,,,1.5,images/target_plus.jpg,2.202,,,,,,,,,,,,0,7,7,4,1
,001,2023-11-28_16h40.16.980,choiceRTT,2023.1.3,Win32,59.9268892,v,1,,,,,,,,,0.7557,,,,,,,1.5,images/target_square.jpg,2.2557,,,,,,,,,,,,0,8,8,2,1
,001,2023-11-28_16h40.16.980,choiceRTT,2023.1.3,Win32,59.9268892,c,1,,,,,,,,,0.8551,,,,,,,1.5,images/target_cross.jpg,2.3551,,,,,,,,,,,,1,0,9,6,1
