participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,0,0.018518519,-0.268518519,1,0,0,4.243,square_button,0,2.943,,0,0,0,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,0,0.22037037,-0.272222222,1,0,0,0.9835,plus_button,1,-0.1165,,0,1,1,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,0,0.025925926,-0.258333333,1,0,0,1.5165,square_button,0,0.0165,,0,2,2,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,0,-0.198148148,-0.251851852,1,0,0,1.0447,cross_button,1,-0.2553,,0,3,3,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,0,0.217592593,-0.283333333,1,0,0,0.9495,plus_button,1,-0.5505,,0,4,4,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,0,0.062037037,-0.262962963,1,0,0,0.6003,square_button,0,-0.4997,,0,5,5,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,0,-0.228703704,-0.215740741,1,0,0,0.7827,cross_button,0,-0.7173,,0,6,6,2,1,1.5,images/target_square.jpg,,,,,,,,,,,
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,0,-0.228703704,-0.216666667,1,0,0,0.4163,cross_button,0,-0.8837,,0,7,7,8,1,1.3,images/target_square.jpg,,,,,,,,,,,
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,0,-0.228703704,-0.216666667,1,0,0,0.2828,cross_button,0,-0.8172,,0,8,8,5,1,1.1,images/target_square.jpg,,,,,,,,,,,
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,-0.228703704,-0.216666667,1,0,0,,,,,
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,0,-0.228703704,-0.216666667,1,0,0,0.1468,cross_button,0,-1.1532,,,,,,,1.3,images/target_square.jpg,,,,,,,0,0,0,8,1
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,0,-0.228703704,-0.216666667,1,0,0,0.1493,cross_button,0,-0.9507,,,,,,,1.1,images/target_plus.jpg,,,,,,,0,1,1,7,1
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,0,-0.226851852,-0.217592593,1,0,0,0.183,cross_button,1,-1.317,,,,,,,1.5,images/target_cross.jpg,,,,,,,0,2,2,6,1
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,0,-0.226851852,-0.217592593,1,0,0,0.3999,cross_button,1,-0.9001,,,,,,,1.3,images/target_cross.jpg,,,,,,,0,3,3,3,1
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,0,-0.027777778,-0.241666667,1,0,0,0.5334,square_button,1,-0.9666,,,,,,,1.5,images/target_square.jpg,,,,,,,0,4,4,2,1
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,0,0.190740741,-0.263888889,1,0,0,0.865,plus_button,1,-0.435,,,,,,,1.3,images/target_plus.jpg,,,,,,,0,5,5,1,1
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,0,0.183333333,-0.272222222,1,0,0,0.8164,plus_button,1,-0.6836,,,,,,,1.5,images/target_plus.jpg,,,,,,,0,6,6,4,1
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,0,0.008333333,-0.266666667,1,0,0,0.8499,square_button,0,-0.2501,,,,,,,1.1,images/target_cross.jpg,,,,,,,0,7,7,0,1
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,0,0.202777778,-0.253703704,1,0,0,2.9493,plus_button,0,1.8493,,,,,,,1.1,images/target_square.jpg,,,,,,,0,8,8,5,1
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,0,-0.225,-0.232407407,1,0,0,2.7996,cross_button,1,1.2996,,,,,,,1.5,images/target_cross.jpg,,,,,,,1,0,9,6,1
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,0,-0.031481481,-0.222222222,1,0,0,1.8494,square_button,1,0.7494,,,,,,,1.1,images/target_square.jpg,,,,,,,1,1,10,5,1
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,0,0.187962963,-0.237962963,1,0,0,2.3329,plus_button,0,0.8329,,,,,,,1.5,images/target_square.jpg,,,,,,,1,2,11,2,1
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,0,0.051851852,-0.260185185,1,0,0,1.7444,square_button,0,0.4444,,,,,,,1.3,images/target_plus.jpg,,,,,,,1,3,12,1,1
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,0,0.05,-0.263888889,1,0,0,0.5831,square_button,1,-0.7169,,,,,,,1.3,images/target_square.jpg,,,,,,,1,4,13,8,1
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,0,0.042592593,-0.258333333,1,0,0,0.183,square_button,0,-1.317,,,,,,,1.5,images/target_plus.jpg,,,,,,,1,5,14,4,1
,001,2023-12-18_01h28.51.830,choiceRTT,2023.1.3,Win32,60.60606061,,0,0.042592593,-0.258333333,1,0,0,0.183,square_button,0,-1.117,,,,,,,1.3,images/target_cross.jpg,,,,,,,1,6,15,3,1
