participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran,correctMouseResp
,001,2024-01-05_15h18.48.504,choiceRTT,2023.1.3,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2024-01-05_15h18.48.504,choiceRTT,2023.1.3,Win32,144.9275362,c,1,2.8234,,,,,,,,,1.7234,space,10.643,,0,0,0,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,
,001,2024-01-05_15h18.48.504,choiceRTT,2023.1.3,Win32,144.9275362,c,1,2.4201,,,,,,,,,1.1201,space,2.979,,0,1,1,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,
,001,2024-01-05_15h18.48.504,choiceRTT,2023.1.3,Win32,144.9275362,b,1,4.4256,,,,,,,,,2.9256,space,8.6171,,0,2,2,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,
,001,2024-01-05_15h18.48.504,choiceRTT,2023.1.3,Win32,144.9275362,b,1,2.4128,,,,,,,,,1.1128,space,0.669,,0,3,3,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,
,001,2024-01-05_15h18.48.504,choiceRTT,2023.1.3,Win32,144.9275362,v,1,1.9832,,,,,,,,,0.8832,space,0.2775,,0,4,4,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,
,001,2024-01-05_15h18.48.504,choiceRTT,2023.1.3,Win32,144.9275362,v,1,2.1936,,,,,,,,,0.6936,space,0.2483,,0,5,5,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,
,001,2024-01-05_15h18.48.504,choiceRTT,2023.1.3,Win32,144.9275362,b,1,1.9422,,,,,,,,,0.8422,space,0.236,,0,6,6,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,
,001,2024-01-05_15h18.48.504,choiceRTT,2023.1.3,Win32,144.9275362,v,1,2.1571,,,,,,,,,0.8571,space,3.2593,,0,7,7,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,
,001,2024-01-05_15h18.48.504,choiceRTT,2023.1.3,Win32,144.9275362,c,1,2.2062,,,,,,,,,0.7062,space,1.0138,,0,8,8,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,
,001,2024-01-05_15h18.48.504,choiceRTT,2023.1.3,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,-0.046296296,-0.223148148,1,0,0,,,,,,
,001,2024-01-05_15h18.48.504,choiceRTT,2023.1.3,Win32,144.9275362,v,1,2.2302,,,,,,,,,0.7302,,,,,,,,,1.5,images/target_square.jpg,,,,,,,0,0,0,2,1,
,001,2024-01-05_15h18.48.504,choiceRTT,2023.1.3,Win32,144.9275362,c,0,2.3154,,,,,,,,,1.0154,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,0,1,1,1,1,
,001,2024-01-05_15h18.48.504,choiceRTT,2023.1.3,Win32,144.9275362,c,1,2.1422,,,,,,,,,0.6422,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,0,2,2,6,1,
,001,2024-01-05_15h18.48.504,choiceRTT,2023.1.3,Win32,144.9275362,v,0,2.1516,,,,,,,,,0.6516,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,0,3,3,4,1,
,001,2024-01-05_15h18.48.504,choiceRTT,2023.1.3,Win32,144.9275362,b,1,1.8807,,,,,,,,,0.7807,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,0,4,4,7,1,
,001,2024-01-05_15h18.48.504,choiceRTT,2023.1.3,Win32,144.9275362,v,1,1.7217,,,,,,,,,0.6217,,,,,,,,,1.1,images/target_square.jpg,,,,,,,0,5,5,5,1,
