participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,keyResp.rt,keyResp.duration,moveOnKeys.rt,moveOnKeys.duration,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,001,2024-01-08_15h11.33.704,choiceRTT,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2024-01-08_15h11.33.704,choiceRTT,2023.1.3,Win32,59.88023952,,0,-0.294444444,-0.258333333,1,0,0,2.9246,cross_button,0,1.6246,,0,0,0,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,,,
,001,2024-01-08_15h11.33.704,choiceRTT,2023.1.3,Win32,59.88023952,,0,0.048148148,-0.256481481,1,0,0,3.9036,square_button,1,2.4036,,0,1,1,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,,,
,001,2024-01-08_15h11.33.704,choiceRTT,2023.1.3,Win32,59.88023952,c,0,,,,,,,,,1.8343,space,0,2,2,4,1,1.5,images/target_plus.jpg,3.3343,,2.9246,,,,,,,,,,,,
,001,2024-01-08_15h11.33.704,choiceRTT,2023.1.3,Win32,59.88023952,c,1,,,,,,,,,1.1928,c,0,3,3,6,1,1.5,images/target_cross.jpg,2.6928,,4.4347,,,,,,,,,,,,
,001,2024-01-08_15h11.33.704,choiceRTT,2023.1.3,Win32,59.88023952,b,1,,,,,,,,,7.1141,,0,4,4,7,1,1.1,images/target_plus.jpg,8.2141,,,,,,,,,,,,,,
,001,2024-01-08_15h11.33.704,choiceRTT,2023.1.3,Win32,59.88023952,,0,-0.188888889,-0.244444444,1,0,0,2.6794,cross_button,1,1.5794,,0,5,5,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,,,
,001,2024-01-08_15h11.33.704,choiceRTT,2023.1.3,Win32,59.88023952,,0,0.021296296,-0.24537037,1,0,0,2.0519,square_button,1,0.9519,,0,6,6,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,,,
,001,2024-01-08_15h11.33.704,choiceRTT,2023.1.3,Win32,59.88023952,,0,-0.221296296,-0.252777778,1,0,0,2.6143,cross_button,1,1.3143,,0,7,7,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,,,
,001,2024-01-08_15h11.33.704,choiceRTT,2023.1.3,Win32,59.88023952,,0,0.036111111,-0.25462963,1,0,0,3.9645,square_button,1,2.6645,,0,8,8,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,,,
,001,2024-01-08_15h11.33.704,choiceRTT,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,-0.001851852,-0.251851852,1,0,0,,,,,
,001,2024-01-08_15h11.33.704,choiceRTT,2023.1.3,Win32,59.88023952,,0,0.287962963,-0.239814815,1,0,0,3.0774,plus_button,1,1.5774,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,,,0,0,0,4,1
,001,2024-01-08_15h11.33.704,choiceRTT,2023.1.3,Win32,59.88023952,,0,0.249074074,-0.234259259,1,0,0,1.9969,plus_button,1,0.8969,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,,,0,1,1,7,1
,001,2024-01-08_15h11.33.704,choiceRTT,2023.1.3,Win32,59.88023952,,0,-0.013888889,-0.258333333,1,0,0,2.0181,square_button,1,0.7181,,,,,,,1.3,images/target_square.jpg,,,,,,,,,,,0,2,2,8,1
,001,2024-01-08_15h11.33.704,choiceRTT,2023.1.3,Win32,59.88023952,,0,0.266666667,-0.234259259,1,0,0,2.1852,plus_button,1,0.8852,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,,,0,3,3,1,1
,001,2024-01-08_15h11.33.704,choiceRTT,2023.1.3,Win32,59.88023952,,0,-0.177777778,-0.261111111,1,0,0,2.2015,cross_button,1,0.7015,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,,,0,4,4,6,1
,001,2024-01-08_15h11.33.704,choiceRTT,2023.1.3,Win32,59.88023952,,0,-0.02037037,-0.25462963,1,0,0,2.3354,square_button,1,0.8354,,,,,,,1.5,images/target_square.jpg,,,,,,,,,,,0,5,5,2,1
,001,2024-01-08_15h11.33.704,choiceRTT,2023.1.3,Win32,59.88023952,,0,-0.02037037,-0.25462963,1,0,0,1.6181,square_button,1,0.5181,,,,,,,1.1,images/target_square.jpg,,,,,,,,,,,0,6,6,5,1
,001,2024-01-08_15h11.33.704,choiceRTT,2023.1.3,Win32,59.88023952,,0,-0.227777778,-0.252777778,1,0,0,2.6354,cross_button,1,1.3354,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,,,0,7,7,3,1
