participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,001,2024-01-27_18h15.36.664,choiceRTT,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2024-01-27_18h15.36.664,choiceRTT,2023.1.3,MacIntel,59.88023952,c,1,3.2717,,,,,,,,,1.7717,space,3.8094,,0,0,0,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
,001,2024-01-27_18h15.36.664,choiceRTT,2023.1.3,MacIntel,59.88023952,v,1,3.6614,,,,,,,,,2.3614,space,5.1149,,0,1,1,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
,001,2024-01-27_18h15.36.664,choiceRTT,2023.1.3,MacIntel,59.88023952,b,1,1.6748,,,,,,,,,0.5748,space,0.5636,,0,2,2,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
,001,2024-01-27_18h15.36.664,choiceRTT,2023.1.3,MacIntel,59.88023952,v,1,1.8072,,,,,,,,,0.7072,space,0.3672,,0,3,3,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
,001,2024-01-27_18h15.36.664,choiceRTT,2023.1.3,MacIntel,59.88023952,v,0,2.1765,,,,,,,,,0.6765,space,0.2478,,0,4,4,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
,001,2024-01-27_18h15.36.664,choiceRTT,2023.1.3,MacIntel,59.88023952,b,0,1.7588,,,,,,,,,0.4588,space,0.223,,0,5,5,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,
,001,2024-01-27_18h15.36.664,choiceRTT,2023.1.3,MacIntel,59.88023952,b,1,2.3758,,,,,,,,,1.0758,space,0.1977,,0,6,6,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
,001,2024-01-27_18h15.36.664,choiceRTT,2023.1.3,MacIntel,59.88023952,c,0,1.9407,,,,,,,,,0.4407,space,0.297,,0,7,7,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
,001,2024-01-27_18h15.36.664,choiceRTT,2023.1.3,MacIntel,59.88023952,c,1,2.2599,,,,,,,,,1.1599,space,0.1814,,0,8,8,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
,001,2024-01-27_18h15.36.664,choiceRTT,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,space,3.1702,,-0.079678819,-0.252877604,0,0,0,,,,,
,001,2024-01-27_18h15.36.664,choiceRTT,2023.1.3,MacIntel,59.88023952,c,1,2.1633,,,,,,,,,0.8633,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,0,0,0,3,1
,001,2024-01-27_18h15.36.664,choiceRTT,2023.1.3,MacIntel,59.88023952,v,1,1.9994,,,,,,,,,0.8994,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,,0,1,1,5,1
,001,2024-01-27_18h15.36.664,choiceRTT,2023.1.3,MacIntel,59.88023952,c,0,1.9142,,,,,,,,,0.6142,,,,,,,,,1.3,images/target_square.jpg,,,,,,,,,0,2,2,8,1
,001,2024-01-27_18h15.36.664,choiceRTT,2023.1.3,MacIntel,59.88023952,b,1,2.3129,,,,,,,,,0.8129,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,0,3,3,4,1
,001,2024-01-27_18h15.36.664,choiceRTT,2023.1.3,MacIntel,59.88023952,v,1,1.9467,,,,,,,,,0.4467,,,,,,,,,1.5,images/target_square.jpg,,,,,,,,,0,4,4,2,1
,001,2024-01-27_18h15.36.664,choiceRTT,2023.1.3,MacIntel,59.88023952,c,1,2.2431,,,,,,,,,0.7431,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,0,5,5,6,1
,001,2024-01-27_18h15.36.664,choiceRTT,2023.1.3,MacIntel,59.88023952,v,0,1.8429,,,,,,,,,0.7429,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,0,6,6,7,1
,001,2024-01-27_18h15.36.664,choiceRTT,2023.1.3,MacIntel,59.88023952,b,1,0.8973,,,,,,,,,-0.4027,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,0,7,7,1,1
