participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,correctMouseResp,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,001,2024-02-01_10h42.20.174,choiceRTT,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2024-02-01_10h42.20.174,choiceRTT,2023.1.3,Win32,59.88023952,c,1,2.3772,,,,,,,,,1.2772,space,5.5688,,0,0,0,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,,
,001,2024-02-01_10h42.20.174,choiceRTT,2023.1.3,Win32,59.88023952,b,1,2.4279,,,,,,,,,1.3279,space,9.1344,,0,1,1,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,,
,001,2024-02-01_10h42.20.174,choiceRTT,2023.1.3,Win32,59.88023952,,0,,,0.193518533,-0.232407393,1,0,0,3.1065,plus_button,1.6065,space,3.7397,,0,2,2,4,1,1.5,images/target_plus.jpg,1,,,,,,,,,,,,,
,001,2024-02-01_10h42.20.174,choiceRTT,2023.1.3,Win32,59.88023952,,0,,,-0.068518533,-0.229629658,1,0,0,2.1043,square_button,0.6043,space,4.9024,,0,3,3,2,1,1.5,images/target_square.jpg,1,,,,,,,,,,,,,
,001,2024-02-01_10h42.20.174,choiceRTT,2023.1.3,Win32,59.88023952,,0,,,-0.238888847,-0.229629658,1,0,0,2.8803,cross_button,1.5803,space,6.6265,,0,4,4,1,1,1.3,images/target_plus.jpg,0,,,,,,,,,,,,,
,001,2024-02-01_10h42.20.174,choiceRTT,2023.1.3,Win32,59.88023952,,0,,,-0.214814787,-0.238888917,1,0,0,3.1139,cross_button,1.6139,,,,0,5,5,6,1,1.5,images/target_cross.jpg,1,,,,,,,,,,,,,
,001,2024-02-01_10h42.20.174,choiceRTT,2023.1.3,Win32,59.88023952,,0,,,-0.015740712,-0.27870369,1,0,0,1.7144,square_button,0.4144,space,7.0134,,0,6,6,8,1,1.3,images/target_square.jpg,1,,,,,,,,,,,,,
,001,2024-02-01_10h42.20.174,choiceRTT,2023.1.3,Win32,59.88023952,,0,,,-0.207407422,-0.244444459,1,0,0,3.0817,cross_button,1.7817,space,2.6093,,0,7,7,3,1,1.3,images/target_cross.jpg,1,,,,,,,,,,,,,
,001,2024-02-01_10h42.20.174,choiceRTT,2023.1.3,Win32,59.88023952,,0,,,-0.013888889,-0.233333376,1,0,0,2.2549,square_button,1.1549,space,8.2185,,0,8,8,5,1,1.1,images/target_square.jpg,1,,,,,,,,,,,,,
,001,2024-02-01_10h42.20.174,choiceRTT,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,space,5.7801,,-0.013888889,-0.233333376,0,0,0,,,,,
,001,2024-02-01_10h42.20.174,choiceRTT,2023.1.3,Win32,59.88023952,,0,,,-0.236111111,-0.242592635,1,0,0,2.9476,cross_button,1.8476,,,,,,,,,1.1,images/target_cross.jpg,1,,,,,,,,,0,0,0,0,1
,001,2024-02-01_10h42.20.174,choiceRTT,2023.1.3,Win32,59.88023952,,0,,,-0.235185199,-0.243518547,1,0,0,2.0649,cross_button,0.7649,,,,,,,,,1.3,images/target_cross.jpg,1,,,,,,,,,0,1,1,3,1
,001,2024-02-01_10h42.20.174,choiceRTT,2023.1.3,Win32,59.88023952,,0,,,-0.237962935,-0.236111111,1,0,0,2.5041,cross_button,1.0041,,,,,,,,,1.5,images/target_cross.jpg,1,,,,,,,,,0,2,2,6,1
,001,2024-02-01_10h42.20.174,choiceRTT,2023.1.3,Win32,59.88023952,,0,,,-0.060185185,-0.244444459,1,0,0,2.4089,square_button,0.9089,,,,,,,,,1.5,images/target_square.jpg,1,,,,,,,,,0,3,3,2,1
,001,2024-02-01_10h42.20.174,choiceRTT,2023.1.3,Win32,59.88023952,,0,,,0.224074116,-0.264814801,1,0,0,2.6157,plus_button,1.3157,,,,,,,,,1.3,images/target_plus.jpg,1,,,,,,,,,0,4,4,1,1
