participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,correctMouseResp
,001,2024-02-01_13h48.11.402,choiceRTT,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,
,001,2024-02-01_13h48.11.402,choiceRTT,2023.1.3,Win32,59.88023952,b,1,3.4856,,,,,,,,,2.3856,space,3.8059,,0,0,0,7,1,1.1,images/target_plus.jpg,
,001,2024-02-01_13h48.11.402,choiceRTT,2023.1.3,Win32,59.88023952,b,1,1.9947,,,,,,,,,0.6947,space,2.975,,0,1,1,1,1,1.3,images/target_plus.jpg,
,001,2024-02-01_13h48.11.402,choiceRTT,2023.1.3,Win32,59.88023952,c,1,2.1857,,,,,,,,,0.6857,space,3.0509,,0,2,2,6,1,1.5,images/target_cross.jpg,
,001,2024-02-01_13h48.11.402,choiceRTT,2023.1.3,Win32,59.88023952,v,1,1.67,,,,,,,,,0.57,space,5.5771,,0,3,3,5,1,1.1,images/target_square.jpg,
,001,2024-02-01_13h48.11.402,choiceRTT,2023.1.3,Win32,59.88023952,c,1,2.3439,,,,,,,,,1.2439,space,1.4041,,0,4,4,0,1,1.1,images/target_cross.jpg,
,001,2024-02-01_13h48.11.402,choiceRTT,2023.1.3,Win32,59.88023952,b,0,2.6455,,,,,,,,,1.1455,,,,0,5,5,2,1,1.5,images/target_square.jpg,
,001,2024-02-01_13h48.11.402,choiceRTT,2023.1.3,Win32,59.88023952,,0,,,0.275833333,-0.258333333,1,0,0,2.6326,plus_button,1.1326,,,,0,6,6,4,1,1.5,images/target_plus.jpg,1
,001,2024-02-01_13h48.11.402,choiceRTT,2023.1.3,Win32,59.88023952,,0,,,-0.0275,-0.256666667,1,0,0,2.2924,square_button,0.9924,,,,0,7,7,8,1,1.3,images/target_square.jpg,1
,001,2024-02-01_13h48.11.402,choiceRTT,2023.1.3,Win32,59.88023952,,0,,,-0.340833333,-0.223333333,1,0,0,2.2926,cross_button,0.9926,,,,0,8,8,3,1,1.3,images/target_cross.jpg,1
