participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,moveOnKeys.rt,moveOnKeys.duration,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran,correctMouseResp
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,v,1,2.7968,,,,,,,,,1.6968,,0,0,0,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,,,,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,v,1,2.6139,,,,,,,,,1.1139,space,0,1,1,2,1,1.5,images/target_square.jpg,6.1698,,,,,,,,,,,,,,,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,c,0,1.8109,,,,,,,,,0.7109,space,0,2,2,7,1,1.1,images/target_plus.jpg,1.5779,,,,,,,,,,,,,,,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,c,0,1.8847,,,,,,,,,0.5847,space,0,3,3,8,1,1.3,images/target_square.jpg,1.5042,,,,,,,,,,,,,,,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,c,1,2.5666,,,,,,,,,1.0666,space,0,4,4,6,1,1.5,images/target_cross.jpg,2.0175,,,,,,,,,,,,,,,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,c,0,2.6257,,,,,,,,,1.1257,space,0,5,5,4,1,1.5,images/target_plus.jpg,0.9726,,,,,,,,,,,,,,,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,v,0,1.8446,,,,,,,,,0.7446,space,0,6,6,0,1,1.1,images/target_cross.jpg,0.9725,,,,,,,,,,,,,,,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,c,0,2.0263,,,,,,,,,0.7263,space,0,7,7,1,1,1.3,images/target_plus.jpg,1.3373,,,,,,,,,,,,,,,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,c,1,13.0927,,,,,,,,,11.7927,space,0,8,8,3,1,1.3,images/target_cross.jpg,2.1355,,,,,,,,,,,,,,,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,space,3.1074,,-0.19921875,-0.291666667,0,0,0,,,,,,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,c,0,2.6528,,,,,,,,,1.1528,,,,,,,1.5,images/target_square.jpg,,,,,,,,,,,0,0,0,2,1,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,c,0,2.1917,,,,,,,,,0.8917,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,,,0,1,1,1,1,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,c,1,2.3948,,,,,,,,,0.8948,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,,,0,2,2,6,1,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,c,1,1.7728,,,,,,,,,0.6728,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,,,0,3,3,0,1,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,v,1,1.9501,,,,,,,,,0.8501,,,,,,,1.1,images/target_square.jpg,,,,,,,,,,,0,4,4,5,1,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,c,1,2.044,,,,,,,,,0.744,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,,,0,5,5,3,1,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,c,0,2.2757,,,,,,,,,1.1757,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,,,0,6,6,7,1,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,v,1,2.1283,,,,,,,,,0.8283,,,,,,,1.3,images/target_square.jpg,,,,,,,,,,,0,7,7,8,1,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,,0,,,-0.19921875,-0.291666667,1,0,0,2.2333,cross_button,0.7333,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,,,0,8,8,4,1,0
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,b,0,0.1551,,,,,,,,,-1.1449,,,,,,,1.3,images/target_square.jpg,,,,,,,,,,,1,0,9,8,1,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,c,1,3.2251,,,,,,,,,1.7251,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,,,1,1,10,6,1,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,c,0,1.8211,,,,,,,,,0.7211,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,,,1,2,11,7,1,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,b,1,2.479,,,,,,,,,1.179,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,,,1,3,12,1,1,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,c,1,2.3192,,,,,,,,,1.2192,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,,,1,4,13,0,1,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,v,1,1.9827,,,,,,,,,0.8827,,,,,,,1.1,images/target_square.jpg,,,,,,,,,,,1,5,14,5,1,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,c,0,2.2182,,,,,,,,,0.7182,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,,,1,6,15,4,1,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,v,1,2.2741,,,,,,,,,0.7741,,,,,,,1.5,images/target_square.jpg,,,,,,,,,,,1,7,16,2,1,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,c,1,2.3791,,,,,,,,,1.0791,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,,,1,8,17,3,1,
,001,2024-02-07_09h13.16.529,choiceRTT,2023.1.3,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
