response.keys, response.corr, response.rt, practiceTrials.thisRepN, practiceTrials.thisTrialN, practiceTrials.thisN, practiceTrials.thisIndex, practiceTrials.ran, practiceTrials.order, isi, xPos, corrAns, participant, session, date, expName, frameRate, practiceTrials.thisRepN, practiceTrials.thisTrialN, practiceTrials.thisN, practiceTrials.thisIndex, practiceTrials.ran, practiceTrials.order, isi, xPos, corrAns, mainTrials.thisRepN, mainTrials.thisTrialN, mainTrials.thisN, mainTrials.thisIndex, mainTrials.ran, mainTrials.order, isi, xPos, corrAns, participant, session, date, expName, frameRate
c, 0, 10.791, 1, 0, 8, 3, 1, 7, 1, 0.375, n, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60, 1, 0, 8, 3, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60
c, 0, 0.5210000000000008, 1, 0, 8, 3, 1, 7, 1, 0.375, n, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60, 1, 0, 8, 3, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60
c, 0, 0.3440000000000012, 1, 0, 8, 3, 1, 7, 1, 0.375, n, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60, 1, 0, 8, 3, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60
c, 1, 0.3739999999999988, 1, 0, 8, 3, 1, 7, 1, 0.375, n, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60, 1, 0, 8, 3, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60
c, 0, 0.8829999999999991, 1, 0, 8, 3, 1, 7, 1, 0.375, n, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60, 1, 0, 8, 3, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60
c, 0, 0.41699999999999804, 1, 0, 8, 3, 1, 7, 1, 0.375, n, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60, 1, 0, 8, 3, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60
c, 1, 0.3009999999999984, 1, 0, 8, 3, 1, 7, 1, 0.375, n, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60, 1, 0, 8, 3, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60
c, 0, 0.34299999999999997, 1, 0, 8, 3, 1, 7, 1, 0.375, n, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60, 1, 0, 8, 3, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60
c, 0, 0.4759999999999991, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, 1, 0, 40, 9, 1, 39, 1.4444, -0.125, v, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60
c, 0, 0.31099999999999994, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, 1, 0, 40, 9, 1, 39, 1.4444, -0.125, v, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60
c, 1, 0.3190000000000026, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, 1, 0, 40, 9, 1, 39, 1.4444, -0.125, v, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60
c, 0, 1.266999999999996, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, 1, 0, 40, 9, 1, 39, 1.4444, -0.125, v, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60
c, 0, 0.4819999999999993, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, 1, 0, 40, 9, 1, 39, 1.4444, -0.125, v, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60
c, 0, 0.36700000000000443, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, 1, 0, 40, 9, 1, 39, 1.4444, -0.125, v, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60
c, 0, 0.36599999999999966, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, 1, 0, 40, 9, 1, 39, 1.4444, -0.125, v, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60
c, 0, 0.36699999999999733, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, 1, 0, 40, 9, 1, 39, 1.4444, -0.125, v, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60
c, 0, 0.5009999999999977, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, 1, 0, 40, 9, 1, 39, 1.4444, -0.125, v, 3, 001, 2018-09-18_17:58:42.948, choiceRTT, 60
