participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
clemad,001,2024-02-09_14h12.46.506,choiceRTT,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clemad,001,2024-02-09_14h12.46.506,choiceRTT,2023.1.3,MacIntel,59.88023952,b,0,3.2136,,,,,,,,,1.7136,space,9.9273,,0,0,0,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
clemad,001,2024-02-09_14h12.46.506,choiceRTT,2023.1.3,MacIntel,59.88023952,b,1,2.29,,,,,,,,,0.79,space,1.8469,,0,1,1,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
clemad,001,2024-02-09_14h12.46.506,choiceRTT,2023.1.3,MacIntel,59.88023952,b,0,2.2902,,,,,,,,,1.1902,space,2.8439,,0,2,2,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
clemad,001,2024-02-09_14h12.46.506,choiceRTT,2023.1.3,MacIntel,59.88023952,c,1,2.1016,,,,,,,,,0.8016,space,1.0525,,0,3,3,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,
clemad,001,2024-02-09_14h12.46.506,choiceRTT,2023.1.3,MacIntel,59.88023952,v,1,1.858,,,,,,,,,0.758,space,0.8989,,0,4,4,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
clemad,001,2024-02-09_14h12.46.506,choiceRTT,2023.1.3,MacIntel,59.88023952,b,1,1.9667,,,,,,,,,0.6667,space,0.7954,,0,5,5,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
clemad,001,2024-02-09_14h12.46.506,choiceRTT,2023.1.3,MacIntel,59.88023952,b,1,1.6958,,,,,,,,,0.5958,space,0.5785,,0,6,6,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
clemad,001,2024-02-09_14h12.46.506,choiceRTT,2023.1.3,MacIntel,59.88023952,c,1,1.9703,,,,,,,,,0.4703,space,0.8821,,0,7,7,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
clemad,001,2024-02-09_14h12.46.506,choiceRTT,2023.1.3,MacIntel,59.88023952,v,1,2.0834,,,,,,,,,0.7834,space,1.0909,,0,8,8,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
clemad,001,2024-02-09_14h12.46.506,choiceRTT,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,space,5.028,,-0.001294623,0.044517008,0,0,0,,,,,
clemad,001,2024-02-09_14h12.46.506,choiceRTT,2023.1.3,MacIntel,59.88023952,c,1,1.8304,,,,,,,,,0.7304,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,0,0,0,0,1
clemad,001,2024-02-09_14h12.46.506,choiceRTT,2023.1.3,MacIntel,59.88023952,v,1,1.6893,,,,,,,,,0.5893,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,,0,1,1,5,1
clemad,001,2024-02-09_14h12.46.506,choiceRTT,2023.1.3,MacIntel,59.88023952,v,1,2.0892,,,,,,,,,0.5892,,,,,,,,,1.5,images/target_square.jpg,,,,,,,,,0,2,2,2,1
clemad,001,2024-02-09_14h12.46.506,choiceRTT,2023.1.3,MacIntel,59.88023952,c,1,2.1786,,,,,,,,,0.6786,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,0,3,3,6,1
