participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,v,1,2.412,,,,,,,,,1.312,space,4.621,,0,0,0,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,b,1,2.632,,,,,,,,,1.332,space,0.803,,0,1,1,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,v,1,2.767,,,,,,,,,1.267,space,0.507,,0,2,2,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,c,1,2.383,,,,,,,,,0.883,space,0.634,,0,3,3,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,c,1,2.045,,,,,,,,,0.745,space,0.355,,0,4,4,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,b,1,1.948,,,,,,,,,0.848,space,0.294,,0,5,5,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,v,1,2.1,,,,,,,,,0.8,space,0.394,,0,6,6,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,c,0,2.199,,,,,,,,,0.699,space,0.904,,0,7,7,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,c,1,1.983,,,,,,,,,0.883,space,0.319,,0,8,8,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,,,,,,,,,,,,,,,,,,,,,,,space,2.499,,-0.184444444,0.024444444,0,0,0,,,,,
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,c,1,2.185,,,,,,,,,0.685,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,0,0,0,6,1
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,b,1,1.925,,,,,,,,,0.825,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,0,1,1,7,1
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,v,1,2.088,,,,,,,,,0.788,,,,,,,,,1.3,images/target_square.jpg,,,,,,,,,0,2,2,8,1
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,v,1,2.348,,,,,,,,,0.848,,,,,,,,,1.5,images/target_square.jpg,,,,,,,,,0,3,3,2,1
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,v,1,1.698,,,,,,,,,0.598,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,,0,4,4,5,1
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,v,0,2.297,,,,,,,,,0.997,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,0,5,5,1,1
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,b,1,2.883,,,,,,,,,1.383,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,0,6,6,4,1
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,c,1,2.387,,,,,,,,,1.287,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,0,7,7,0,1
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,c,1,1.892,,,,,,,,,0.592,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,0,8,8,3,1
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,v,1,2.309,,,,,,,,,0.809,,,,,,,,,1.5,images/target_square.jpg,,,,,,,,,1,0,9,2,1
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,v,1,2.049,,,,,,,,,0.749,,,,,,,,,1.3,images/target_square.jpg,,,,,,,,,1,1,10,8,1
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,c,1,1.805,,,,,,,,,0.705,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,1,2,11,0,1
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,c,1,1.776,,,,,,,,,0.476,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,1,3,12,3,1
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,c,1,2.06,,,,,,,,,0.56,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,1,4,13,6,1
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,v,1,1.963,,,,,,,,,0.863,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,,1,5,14,5,1
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,b,1,2.751,,,,,,,,,1.251,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,1,6,15,4,1
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,b,1,1.979,,,,,,,,,0.879,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,1,7,16,7,1
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,b,1,1.799,,,,,,,,,0.499,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,1,8,17,1,1
crems,001,2024-01-18_11h03.55.013,choiceRTT,2023.1.3,MacIntel,47.61904762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
