participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,correctMouseResp,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
cuicui,001,2024-02-04_15h29.09.314,choiceRTT,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuicui,001,2024-02-04_15h29.09.314,choiceRTT,2023.1.3,Win32,59.88023952,v,0,5.4658,,,,,,,,,3.9658,space,10.5,,0,0,0,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,
cuicui,001,2024-02-04_15h29.09.314,choiceRTT,2023.1.3,Win32,59.88023952,v,1,3.8062,,,,,,,,,2.3062,space,4.9282,,0,1,1,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,
cuicui,001,2024-02-04_15h29.09.314,choiceRTT,2023.1.3,Win32,59.88023952,c,0,2.5522,,,,,,,,,1.4522,space,5.0367,,0,2,2,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,
cuicui,001,2024-02-04_15h29.09.314,choiceRTT,2023.1.3,Win32,59.88023952,b,0,3.352,,,,,,,,,2.052,v,4.9115,,0,3,3,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,
cuicui,001,2024-02-04_15h29.09.314,choiceRTT,2023.1.3,Win32,59.88023952,,0,,,0.04,-0.240833333,1,0,0,2.1119,square_button,1.0119,space,4.8614,,0,4,4,5,1,1.1,images/target_square.jpg,1,,,,,,,,,,,
cuicui,001,2024-02-04_15h29.09.314,choiceRTT,2023.1.3,Win32,59.88023952,,0,,,0.02,-0.244166667,1,0,0,2.4955,square_button,1.1955,space,1.3847,,0,5,5,8,1,1.3,images/target_square.jpg,1,,,,,,,,,,,
cuicui,001,2024-02-04_15h29.09.314,choiceRTT,2023.1.3,Win32,59.88023952,,0,,,-0.2825,-0.2425,1,0,0,2.6455,cross_button,1.5455,space,2.2668,,0,6,6,0,1,1.1,images/target_cross.jpg,1,,,,,,,,,,,
cuicui,001,2024-02-04_15h29.09.314,choiceRTT,2023.1.3,Win32,59.88023952,,0,,,0.261666667,-0.265,1,0,0,3.1305,plus_button,1.8305,space,1.0277,,0,7,7,1,1,1.3,images/target_plus.jpg,1,,,,,,,,,,,
cuicui,001,2024-02-04_15h29.09.314,choiceRTT,2023.1.3,Win32,59.88023952,,0,,,0.224166667,-0.2575,1,0,0,2.5287,plus_button,1.0287,,,,0,8,8,4,1,1.5,images/target_plus.jpg,1,,,,,,,,,,,
cuicui,001,2024-02-04_15h29.09.314,choiceRTT,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,0.0375,-0.259166667,1,0,0,,,,,
cuicui,001,2024-02-04_15h29.09.314,choiceRTT,2023.1.3,Win32,59.88023952,,0,,,0.2575,-0.255833333,1,0,0,2.697,plus_button,1.397,,,,,,,,,1.3,images/target_plus.jpg,1,,,,,,,0,0,0,1,1
cuicui,001,2024-02-04_15h29.09.314,choiceRTT,2023.1.3,Win32,59.88023952,,0,,,0.010833333,-0.2525,1,0,0,2.5184,square_button,1.0184,,,,,,,,,1.5,images/target_square.jpg,1,,,,,,,0,1,1,2,1
cuicui,001,2024-02-04_15h29.09.314,choiceRTT,2023.1.3,Win32,59.88023952,,0,,,-0.2175,-0.2525,1,0,0,2.4286,cross_button,1.3286,,,,,,,,,1.1,images/target_cross.jpg,1,,,,,,,0,2,2,0,1
cuicui,001,2024-02-04_15h29.09.314,choiceRTT,2023.1.3,Win32,59.88023952,,0,,,-0.206666667,-0.2625,1,0,0,2.8351,cross_button,1.5351,,,,,,,,,1.3,images/target_cross.jpg,1,,,,,,,0,3,3,3,1
cuicui,001,2024-02-04_15h29.09.314,choiceRTT,2023.1.3,Win32,59.88023952,,0,,,-0.0175,-0.26,1,0,0,2.1684,square_button,0.8684,,,,,,,,,1.3,images/target_square.jpg,1,,,,,,,0,4,4,8,1
cuicui,001,2024-02-04_15h29.09.314,choiceRTT,2023.1.3,Win32,59.88023952,,0,,,0.21,-0.2575,1,0,0,2.7024,plus_button,1.2024,,,,,,,,,1.5,images/target_plus.jpg,1,,,,,,,0,5,5,4,1
