response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.117777778,-0.021111111,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,demie,001,2020-11-05_14h46.18.747,choiceRTT,3.1.3,60,,,,,,
,0,0.413333333,0.053333333,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,demie,001,2020-11-05_14h46.18.747,choiceRTT,3.1.3,60,,,,,,
,0,-0.377777778,0.021111111,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,demie,001,2020-11-05_14h46.18.747,choiceRTT,3.1.3,60,,,,,,
,0,-0.321111111,-0.016666667,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,demie,001,2020-11-05_14h46.18.747,choiceRTT,3.1.3,60,,,,,,
,0,0.373333333,-0.053333333,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,demie,001,2020-11-05_14h46.18.747,choiceRTT,3.1.3,60,,,,,,
,0,0.117777778,0.035555556,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,demie,001,2020-11-05_14h46.18.747,choiceRTT,3.1.3,60,,,,,,
,0,0.134444444,-0.007777778,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,demie,001,2020-11-05_14h46.18.747,choiceRTT,3.1.3,60,,,,,,
,0,-0.133333333,0.041111111,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,demie,001,2020-11-05_14h46.18.747,choiceRTT,3.1.3,60,,,,,,
,0,0.382222222,-0.026666667,1,0,0,targImage,,,,,,,2.3332,0.375,n,demie,001,2020-11-05_14h46.18.747,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,0.107777778,-0.034444444,1,0,0,targImage,,,,,,,2.111,0.125,b,demie,001,2020-11-05_14h46.18.747,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,0.141111111,-0.013333333,1,0,0,targImage,,,,,,,1.2222,0.125,b,demie,001,2020-11-05_14h46.18.747,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,-0.101111111,-0.024444444,1,0,0,targImage,,,,,,,1.8888,-0.125,v,demie,001,2020-11-05_14h46.18.747,choiceRTT,3.1.3,60,1,0,40,17,1,39
