response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.0975,-0.0275,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,demo,001,2020-09-06_03h27.59.209,choiceRTT,3.1.3,60,,,,,,
,0,-0.1125,-0.015,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,demo,001,2020-09-06_03h27.59.209,choiceRTT,3.1.3,60,,,,,,
,0,-0.415,0.02,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,demo,001,2020-09-06_03h27.59.209,choiceRTT,3.1.3,60,,,,,,
,0,-0.345,0.03125,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,demo,001,2020-09-06_03h27.59.209,choiceRTT,3.1.3,60,,,,,,
,0,0.1525,0.045,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,demo,001,2020-09-06_03h27.59.209,choiceRTT,3.1.3,60,,,,,,
,0,0.1525,0.045,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,demo,001,2020-09-06_03h27.59.209,choiceRTT,3.1.3,60,,,,,,
,0,0.39625,0.02125,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,demo,001,2020-09-06_03h27.59.209,choiceRTT,3.1.3,60,,,,,,
,0,0.39625,0.02125,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,demo,001,2020-09-06_03h27.59.209,choiceRTT,3.1.3,60,,,,,,
,0,0.145,-0.01,1,0,0,targImage,,,,,,,1,0.125,b,demo,001,2020-09-06_03h27.59.209,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,-0.12625,-0.02375,1,0,0,targImage,,,,,,,1.4444,-0.125,v,demo,001,2020-09-06_03h27.59.209,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,0.3275,-0.025,1,0,0,targImage,,,,,,,1.8888,0.375,n,demo,001,2020-09-06_03h27.59.209,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,-0.1225,-0.00875,1,0,0,targImage,,,,,,,2.3332,-0.125,v,demo,001,2020-09-06_03h27.59.209,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,-0.33625,-0.0425,1,0,0,targImage,,,,,,,1.4444,-0.375,c,demo,001,2020-09-06_03h27.59.209,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,0.33,0.0375,1,0,0,targImage,,,,,,,2.3332,0.375,n,demo,001,2020-09-06_03h27.59.209,choiceRTT,3.1.3,60,1,0,40,27,1,39
