response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.393518519,-0.032407407,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,,,,,,
,0,-0.149305556,-0.068287037,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,,,,,,
,0,-0.447916667,0.00462963,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,,,,,,
,0,0.408564815,0.03125,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,,,,,,
,0,-0.099537037,0.020833333,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,,,,,,
,0,0.381944444,-0.005787037,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,,,,,,
,0,0.127314815,0.001157407,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,,,,,,
,0,0.115740741,-0.041666667,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,,,,,,
,0,-0.351851852,0.010416667,1,0,0,targImage,,,,,,,2.111,-0.375,c,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,-0.112268519,0.039351852,1,0,0,targImage,,,,,,,2.7776,-0.125,v,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,33,1,39
,0,-0.153935185,0.040509259,1,0,0,targImage,,,,,,,1.4444,-0.125,v,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,-0.354166667,0.006944444,1,0,0,targImage,,,,,,,1.8888,-0.375,c,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,0.40625,0,1,0,0,targImage,,,,,,,2.7776,0.375,n,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,0.136574074,-0.015046296,1,0,0,targImage,,,,,,,2.9998,0.125,b,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,0.30787037,0.011574074,1,0,0,targImage,,,,,,,2.9998,0.375,n,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,-0.103009259,0.008101852,1,0,0,targImage,,,,,,,1,-0.125,v,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,0.173611111,-0.009259259,1,0,0,targImage,,,,,,,1.6666,0.125,b,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,0.128472222,-0.034722222,1,0,0,targImage,,,,,,,1.8888,0.125,b,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,-0.372685185,0.0625,1,0,0,targImage,,,,,,,1.4444,-0.375,c,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,0.123842593,0.011574074,1,0,0,targImage,,,,,,,1.2222,0.125,b,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,0.303240741,-0.016203704,1,0,0,targImage,,,,,,,1.2222,0.375,n,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,-0.384259259,0.015046296,1,0,0,targImage,,,,,,,2.5554,-0.375,c,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,0.152777778,0.015046296,1,0,0,targImage,,,,,,,1.4444,0.125,b,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,0.40162037,0.021990741,1,0,0,targImage,,,,,,,1.4444,0.375,n,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,-0.375,0.024305556,1,0,0,targImage,,,,,,,2.9998,-0.375,c,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,0.354166667,-0.030092593,1,0,0,targImage,,,,,,,1,0.375,n,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,0.122685185,-0.020833333,1,0,0,targImage,,,,,,,2.111,0.125,b,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,-0.112268519,0.039351852,1,0,0,targImage,,,,,,,1.8888,-0.125,v,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,-0.123842593,-0.040509259,1,0,0,targImage,,,,,,,2.111,-0.125,v,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,0.136574074,0.006944444,1,0,0,targImage,,,,,,,2.5554,0.125,b,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,0.125,-0.009259259,1,0,0,targImage,,,,,,,1,0.125,b,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,-0.380787037,0.010416667,1,0,0,targImage,,,,,,,1.6666,-0.375,c,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,-0.123842593,-0.027777778,1,0,0,targImage,,,,,,,2.3332,-0.125,v,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,0.400462963,0.002314815,1,0,0,targImage,,,,,,,2.5554,0.375,n,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,-0.136574074,0.006944444,1,0,0,targImage,,,,,,,1.6666,-0.125,v,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,0.346064815,-0.002314815,1,0,0,targImage,,,,,,,1.6666,0.375,n,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,-0.33912037,-0.037037037,1,0,0,targImage,,,,,,,2.7776,-0.375,c,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,0.138888889,0.03125,1,0,0,targImage,,,,,,,2.7776,0.125,b,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,0.362268519,-0.008101852,1,0,0,targImage,,,,,,,2.3332,0.375,n,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,-0.395833333,-0.009259259,1,0,0,targImage,,,,,,,1.2222,-0.375,c,dh,001,2020-04-17_17h22.52.219,choiceRTT,3.1.3,60,1,0,40,4,1,39
